Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,100 yr Probability,100 yr Supra-Seis Prob
5.0,8.01584,6.81,9.42,7.98,8.0,1.0,1.0
5.1,6.34332,5.38,7.52,6.31,6.45,1.0,1.0
5.2,5.01778,4.2,6.01,4.99,5.12,1.0,1.0
5.3,3.96307,3.27,4.75,3.95,3.95,1.0,1.0
5.4,3.12683,2.55,3.76,3.11,3.08,1.0,1.0
5.5,2.46844,1.99,2.99,2.45,2.38,1.0,1.0
5.6,1.94097,1.54,2.41,1.93,2.02,1.0,1.0
5.7,1.52056,1.19,1.91,1.51,1.6,1.0,1.0
5.8,1.18412,0.91,1.51,1.18,1.17,1.0,1.0
5.9,0.91047,0.68,1.17,0.91,0.94,1.0,1.0
6.0,0.72297,0.53,0.96,0.72,0.72,1.0,1.0
6.1,0.55809,0.39,0.75,0.55,0.6,1.0,1.0
6.2,0.43857,0.29,0.6,0.44,0.44,1.0,1.0
6.3,0.34409,0.23,0.48,0.34,0.37,1.0,1.0
6.4,0.26496,0.16,0.38,0.26,0.27,1.0,1.0
6.5,0.20121,0.11,0.3,0.2,0.18,1.0,1.0
6.6,0.15396,0.08,0.24,0.15,0.15,1.0,1.0
6.7,0.11589,0.05,0.19,0.11,0.12,1.0,1.0
6.8,0.08813,0.03,0.15,0.09,0.09,1.0,1.0
6.9,0.06731,0.02,0.12,0.07,0.07,1.0,0.997
7.0,0.05018,0.01,0.1,0.05,0.04,0.994,0.989
7.1,0.03575,0.0,0.08,0.03,0.03,0.969,0.962
7.2,0.02462,0.0,0.06,0.02,0.02,0.924,0.905
7.3,0.01822,0.0,0.05,0.02,0.01,0.852,0.837
7.4,0.01215,0.0,0.04,0.01,0.01,0.708,0.698
7.5,0.00748,0.0,0.03,0.01,0.0,0.53,0.527
7.6,0.00442,0.0,0.02,0.0,0.0,0.37,0.369
7.7,0.00218,0.0,0.01,0.0,0.0,0.204,0.204
7.8,0.00112,0.0,0.01,0.0,0.0,0.109,0.109
7.9,5.3E-4,0.0,0.01,0.0,0.0,0.052,0.052
8.0,2.7E-4,0.0,0.01,0.0,0.0,0.027,0.027
8.1,9.0E-5,0.0,0.0,0.0,0.0,0.009,0.009
8.2,4.0E-5,0.0,0.0,0.0,0.0,0.004,0.004
8.3,2.0E-5,0.0,0.0,0.0,0.0,0.002,0.002
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
