Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,100 yr Probability,100 yr Supra-Seis Prob
5.0,7.17341,5.67,9.1,7.12,7.51,1.0,1.0
5.1,5.67686,4.44,7.17,5.62,5.39,1.0,1.0
5.2,4.49236,3.49,5.68,4.46,4.5,1.0,1.0
5.3,3.5448,2.72,4.48,3.52,3.68,1.0,1.0
5.4,2.79691,2.13,3.59,2.77,2.84,1.0,1.0
5.5,2.2053,1.66,2.8,2.19,2.02,1.0,1.0
5.6,1.73387,1.29,2.22,1.72,1.75,1.0,1.0
5.7,1.35823,1.0,1.74,1.34,1.33,1.0,1.0
5.8,1.05747,0.77,1.38,1.05,1.08,1.0,1.0
5.9,0.81241,0.59,1.09,0.81,0.8,1.0,1.0
6.0,0.64782,0.45,0.87,0.64,0.68,1.0,1.0
6.1,0.50132,0.34,0.69,0.5,0.52,1.0,1.0
6.2,0.39679,0.27,0.55,0.4,0.41,1.0,1.0
6.3,0.31241,0.19,0.45,0.31,0.3,1.0,1.0
6.4,0.24422,0.14,0.37,0.24,0.23,1.0,1.0
6.5,0.18969,0.1,0.29,0.19,0.2,1.0,1.0
6.6,0.14759,0.08,0.23,0.15,0.15,1.0,1.0
6.7,0.11477,0.05,0.19,0.11,0.11,1.0,1.0
6.8,0.09,0.04,0.15,0.09,0.08,1.0,1.0
6.9,0.06961,0.02,0.12,0.07,0.06,1.0,1.0
7.0,0.05414,0.02,0.1,0.05,0.05,0.998,0.998
7.1,0.04087,0.01,0.08,0.04,0.04,0.988,0.985
7.2,0.03037,0.0,0.06,0.03,0.03,0.975,0.97
7.3,0.02462,0.0,0.05,0.02,0.02,0.954,0.952
7.4,0.01847,0.0,0.04,0.02,0.01,0.898,0.895
7.5,0.01295,0.0,0.03,0.01,0.01,0.807,0.807
7.6,0.00986,0.0,0.03,0.01,0.01,0.714,0.714
7.7,0.00681,0.0,0.02,0.01,0.01,0.578,0.578
7.8,0.00515,0.0,0.02,0.0,0.0,0.479,0.479
7.9,0.00308,0.0,0.01,0.0,0.0,0.306,0.306
8.0,0.00156,0.0,0.01,0.0,0.0,0.156,0.156
8.1,5.4E-4,0.0,0.01,0.0,0.0,0.054,0.054
8.2,1.7E-4,0.0,0.0,0.0,0.0,0.017,0.017
8.3,2.0E-5,0.0,0.0,0.0,0.0,0.002,0.002
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
