Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km),Min Hypo Dist To Largest (km),Min Hypo Poly Dist To Largest (km)
Little Lake,"327, 90, 180",0,,0,,5.149,1.410,5.149,1.410,16.936,4.928
Airport Lake,"358, 50, -90",0,,0,,12.124,1.599,13.299,1.599,12.221,2.716
Garlock (Central),"69, 90, 0",0,,0,,14.413,2.407,14.413,2.407,22.766,10.797
So Sierra Nevada,"3, 50, -90",0,,0,,15.988,15.982,15.988,15.982,22.039,21.742
Tank Canyon,"189, 50, -90",0,,0,,16.989,16.985,16.989,16.985,17.039,16.895
Blackwater,"325, 90, 180",0,,0,,23.586,22.224,23.586,22.224,29.622,27.613
Panamint Valley,"336, 90, -150",0,,0,,34.237,22.311,36.935,25.016,34.350,22.425
Ash Hill,"157, 90, 180",0,,0,,35.431,27.240,40.166,32.223,35.690,27.529
Gravel Hills-Harper Lk,"311, 90, 180",0,,0,,40.714,36.033,40.714,36.033,50.134,42.769
Scodie Lineament,"221, 68, 0",0,,0,,41.537,36.342,41.537,36.342,45.848,41.237
Garlock (West),"41, 90, 0",0,,0,,53.146,51.765,53.146,51.765,66.575,64.463
