
X-Axis: Magnitude
Y-Axis: 4 Year Probability
Number of Data Sets: 4


DATASET #1

     Name: UCERF3-TI
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.010734817
6.1	  0.010734817
6.2	  0.010734817
6.3	  0.010505628
6.4	  0.010505628
6.5	  0.010362327
6.6	  0.009832645
6.7	  0.009669261
6.8	  0.009260561
6.9	  0.006830362
7.0	  0.0059864987
7.1	  0.0050568148
7.2	  0.0048062233
7.3	  0.0045833546
7.4	  0.004533812
7.5	  0.004483909
7.6	  0.0043313587
7.7	  0.00389112
7.8	  1.8045233E-4
7.9	  1.3353102E-6
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #2

     Name: UCERF3-TD
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.013281427
6.1	  0.013281427
6.2	  0.013281427
6.3	  0.0130239865
6.4	  0.0130239865
6.5	  0.012863933
6.6	  0.012092818
6.7	  0.011886933
6.8	  0.011316381
6.9	  0.007954664
7.0	  0.006840953
7.1	  0.0056538233
7.2	  0.0053533656
7.3	  0.0051051746
7.4	  0.0050527467
7.5	  0.004999606
7.6	  0.0048329853
7.7	  0.0043453868
7.8	  1.903436E-4
7.9	  1.3929973E-6
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #3

     Name: UCERF3-ETAS
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.015373271
6.1	  0.015373271
6.2	  0.015373271
6.3	  0.014988069
6.4	  0.014988069
6.5	  0.014719749
6.6	  0.0137920175
6.7	  0.013537081
6.8	  0.012878502
6.9	  0.008946709
7.0	  0.007575891
7.1	  0.0060913353
7.2	  0.005641813
7.3	  0.005373796
7.4	  0.005311433
7.5	  0.005248356
7.6	  0.0050718253
7.7	  0.004524605
7.8	  2.003417E-4
7.9	  1.3929973E-6
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0



DATASET #4

     Name: ETAS Triggered Only
   Points: 31
     Info: 

Data[x,y]:
6.0	  0.00212
6.1	  0.00212
6.2	  0.00212
6.3	  0.00199
6.4	  0.00199
6.5	  0.00188
6.6	  0.00172
6.7	  0.00167
6.8	  0.00158
6.9	  0.001
7.0	  7.4E-4
7.1	  4.4E-4
7.2	  2.9E-4
7.3	  2.7E-4
7.4	  2.6E-4
7.5	  2.5E-4
7.6	  2.4E-4
7.7	  1.8E-4
7.8	  1.0E-5
7.9	  0.0
8.0	  0.0
8.1	  0.0
8.2	  0.0
8.3	  0.0
8.4	  0.0
8.5	  0.0
8.6	  0.0
8.7	  0.0
8.8	  0.0
8.9	  0.0
9.0	  0.0


