Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob
2.5,2236.273,1770.0,4310.0,2030.0,1942.0,1.0,0.15575
2.6,1776.2554,1401.0,3422.0,1613.0,1538.0,1.0,0.15575
2.7,1410.8545,1108.0,2720.0,1282.0,1221.0,1.0,0.15575
2.8,1120.6527,875.0,2160.0,1019.0,971.0,1.0,0.15575
2.9,890.1084,691.0,1715.0,810.0,780.0,1.0,0.15575
3.0,707.0501,544.0,1363.0,644.0,607.0,1.0,0.15575
3.1,561.62463,428.0,1085.0,512.0,499.0,1.0,0.15575
3.2,446.06305,337.0,864.0,407.0,388.0,1.0,0.15575
3.3,354.29437,264.0,687.0,324.0,315.0,1.0,0.15575
3.4,281.39038,207.0,544.0,257.0,247.0,1.0,0.15575
3.5,223.47707,162.0,433.0,205.0,201.0,1.0,0.15575
3.6,177.4569,126.0,344.0,163.0,161.0,1.0,0.15575
3.7,140.89996,98.0,274.0,129.0,123.0,1.0,0.15575
3.8,111.86101,76.0,218.0,103.0,98.0,1.0,0.15575
3.9,88.8158,58.0,174.0,82.0,78.0,1.0,0.15575
4.0,70.51375,45.0,139.0,65.0,62.0,1.0,0.15575
4.1,55.97215,34.0,111.0,52.0,48.0,1.0,0.15575
4.2,44.40844,26.0,88.0,41.0,39.0,1.0,0.15575
4.3,35.22963,19.0,71.0,32.0,30.0,1.0,0.15575
4.4,27.93651,14.0,57.0,26.0,24.0,1.0,0.15575
4.5,22.14838,11.0,46.0,20.0,19.0,1.0,0.15575
4.6,17.55343,8.0,37.0,16.0,15.0,1.0,0.15575
4.7,13.90247,5.0,30.0,13.0,12.0,0.99999,0.15575
4.8,11.00458,4.0,24.0,10.0,9.0,0.99976,0.15575
4.9,8.70121,2.0,20.0,8.0,7.0,0.99871,0.15575
5.0,6.87196,2.0,16.0,6.0,5.0,0.99554,0.15575
5.1,5.42001,1.0,13.0,5.0,4.0,0.98691,0.15575
5.2,4.26204,0.0,11.0,4.0,3.0,0.96827,0.15575
5.3,3.3457,0.0,9.0,3.0,2.0,0.93537,0.15575
5.4,2.61685,0.0,8.0,2.0,2.0,0.88499,0.15575
5.5,2.04051,0.0,6.0,2.0,1.0,0.81888,0.15575
5.6,1.58043,0.0,5.0,1.0,1.0,0.73749,0.15574
5.7,1.21477,0.0,5.0,1.0,0.0,0.64686,0.15574
5.8,0.92448,0.0,4.0,1.0,0.0,0.55121,0.15574
5.9,0.69755,0.0,3.0,0.0,0.0,0.45902,0.15548
6.0,0.53326,0.0,3.0,0.0,0.0,0.3763,0.15525
6.1,0.38903,0.0,2.0,0.0,0.0,0.29474,0.13469
6.2,0.25608,0.0,2.0,0.0,0.0,0.20869,0.10533
6.3,0.19314,0.0,1.0,0.0,0.0,0.16333,0.09014
6.4,0.14556,0.0,1.0,0.0,0.0,0.12494,0.07728
6.5,0.1131,0.0,1.0,0.0,0.0,0.09884,0.06757
6.6,0.09323,0.0,1.0,0.0,0.0,0.08425,0.06219
6.7,0.07609,0.0,1.0,0.0,0.0,0.06963,0.05458
6.8,0.06177,0.0,1.0,0.0,0.0,0.05754,0.04747
6.9,0.04856,0.0,1.0,0.0,0.0,0.04612,0.03936
7.0,0.03781,0.0,1.0,0.0,0.0,0.03647,0.0322
7.1,0.0313,0.0,1.0,0.0,0.0,0.03046,0.02795
7.2,0.02297,0.0,0.0,0.0,0.0,0.02247,0.02118
7.3,0.01594,0.0,0.0,0.0,0.0,0.01569,0.01501
7.4,0.014,0.0,0.0,0.0,0.0,0.01381,0.01352
7.5,0.01055,0.0,0.0,0.0,0.0,0.01047,0.01038
7.6,0.00558,0.0,0.0,0.0,0.0,0.00554,0.00551
7.7,0.00175,0.0,0.0,0.0,0.0,0.00175,0.00175
7.8,9.6E-4,0.0,0.0,0.0,0.0,9.6E-4,9.6E-4
7.9,4.8E-4,0.0,0.0,0.0,0.0,4.8E-4,4.8E-4
8.0,1.9E-4,0.0,0.0,0.0,0.0,1.9E-4,1.9E-4
8.1,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,2.0E-5
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
