Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob
2.5,507.34937,445.0,610.0,496.0,487.0,1.0,0.03977
2.6,402.96823,349.0,487.0,394.0,389.0,1.0,0.03977
2.7,320.08835,274.0,389.0,313.0,313.0,1.0,0.03977
2.8,254.23994,214.0,311.0,249.0,246.0,1.0,0.03977
2.9,201.93462,167.0,249.0,198.0,192.0,1.0,0.03977
3.0,160.3844,130.0,200.0,157.0,154.0,1.0,0.03977
3.1,127.41526,101.0,161.0,125.0,124.0,1.0,0.03977
3.2,101.18711,79.0,130.0,99.0,98.0,1.0,0.03977
3.3,80.36773,61.0,105.0,79.0,79.0,1.0,0.03977
3.4,63.81828,46.0,85.0,63.0,62.0,1.0,0.03977
3.5,50.67725,36.0,69.0,50.0,49.0,1.0,0.03977
3.6,40.23645,27.0,56.0,39.0,39.0,1.0,0.03977
3.7,31.94576,20.0,46.0,31.0,31.0,1.0,0.03977
3.8,25.36796,15.0,38.0,25.0,25.0,1.0,0.03977
3.9,20.14848,11.0,31.0,20.0,19.0,1.0,0.03977
4.0,15.99903,8.0,26.0,16.0,15.0,1.0,0.03977
4.1,12.70147,6.0,21.0,12.0,12.0,1.0,0.03977
4.2,10.07475,4.0,18.0,10.0,9.0,0.99994,0.03977
4.3,7.99111,3.0,15.0,8.0,7.0,0.99948,0.03977
4.4,6.33905,2.0,12.0,6.0,6.0,0.9973,0.03977
4.5,5.02165,1.0,10.0,5.0,4.0,0.99025,0.03977
4.6,3.98155,1.0,9.0,4.0,3.0,0.97538,0.03977
4.7,3.15206,0.0,7.0,3.0,2.0,0.94834,0.03977
4.8,2.49476,0.0,6.0,2.0,2.0,0.90405,0.03977
4.9,1.97485,0.0,5.0,2.0,1.0,0.84556,0.03977
5.0,1.5579,0.0,5.0,1.0,1.0,0.77219,0.03977
5.1,1.23016,0.0,4.0,1.0,1.0,0.69036,0.03977
5.2,0.96719,0.0,3.0,1.0,0.0,0.60269,0.03977
5.3,0.75954,0.0,3.0,1.0,0.0,0.51679,0.03977
5.4,0.59268,0.0,3.0,0.0,0.0,0.43413,0.03977
5.5,0.46274,0.0,2.0,0.0,0.0,0.35987,0.03977
5.6,0.36007,0.0,2.0,0.0,0.0,0.29372,0.03976
5.7,0.27615,0.0,2.0,0.0,0.0,0.23426,0.03976
5.8,0.21007,0.0,1.0,0.0,0.0,0.18393,0.03976
5.9,0.15852,0.0,1.0,0.0,0.0,0.14256,0.03975
6.0,0.11989,0.0,1.0,0.0,0.0,0.11039,0.03975
6.1,0.08826,0.0,1.0,0.0,0.0,0.08249,0.03503
6.2,0.05743,0.0,1.0,0.0,0.0,0.05481,0.02664
6.3,0.04385,0.0,1.0,0.0,0.0,0.04228,0.0229
6.4,0.0328,0.0,1.0,0.0,0.0,0.03165,0.01954
6.5,0.0257,0.0,0.0,0.0,0.0,0.02489,0.01724
6.6,0.02178,0.0,0.0,0.0,0.0,0.02128,0.01598
6.7,0.0178,0.0,0.0,0.0,0.0,0.01744,0.01397
6.8,0.01482,0.0,0.0,0.0,0.0,0.01463,0.01224
6.9,0.01197,0.0,0.0,0.0,0.0,0.0119,0.01024
7.0,0.00927,0.0,0.0,0.0,0.0,0.00923,0.00817
7.1,0.00772,0.0,0.0,0.0,0.0,0.00771,0.00707
7.2,0.00555,0.0,0.0,0.0,0.0,0.00554,0.00523
7.3,0.00382,0.0,0.0,0.0,0.0,0.00381,0.00363
7.4,0.00342,0.0,0.0,0.0,0.0,0.00342,0.00333
7.5,0.00259,0.0,0.0,0.0,0.0,0.00259,0.00255
7.6,0.00126,0.0,0.0,0.0,0.0,0.00126,0.00126
7.7,3.4E-4,0.0,0.0,0.0,0.0,3.4E-4,3.4E-4
7.8,1.9E-4,0.0,0.0,0.0,0.0,1.9E-4,1.9E-4
7.9,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
8.0,5.0E-5,0.0,0.0,0.0,0.0,5.0E-5,5.0E-5
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
