Subsection Index,Subsection Name,Total 10 Year Mean Count,Total 1 Day Prob,Total 1 Week Prob,Total 1 Month Prob,Total 1 Year Prob,Total 10 Year Prob,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
0,"Airport Lake, Subsection 0",0.03932,0.01454,0.02004,0.02476,0.03178,0.03932,0.03823,0.01454,0.02004,0.02476,0.03167,0.03823,0.02524
1,"Airport Lake, Subsection 1",0.04182,0.01533,0.02114,0.02618,0.03369,0.0418,0.04062,0.01533,0.02114,0.02618,0.03356,0.0406,0.02674
2,"Airport Lake, Subsection 2",0.03648,0.01336,0.01837,0.02274,0.02926,0.03644,0.03522,0.01336,0.01837,0.02274,0.02911,0.03518,0.02307
3,"Airport Lake, Subsection 3",0.028,0.00994,0.01387,0.0172,0.02207,0.02798,0.0267,0.00994,0.01387,0.0172,0.02192,0.02668,0.01742
4,"Airport Lake, Subsection 4",0.01903,0.00671,0.00939,0.0115,0.01477,0.01902,0.01792,0.00671,0.00939,0.0115,0.01465,0.01791,0.01158
5,"Airport Lake, Subsection 5",0.01523,0.00524,0.00739,0.00909,0.01177,0.01522,0.01423,0.00524,0.00739,0.00909,0.01165,0.01422,0.00923
6,"Almanor 2011 CFM, Subsection 0",0.0053,0.0,1.0E-5,4.0E-5,5.7E-4,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"Almanor 2011 CFM, Subsection 1",0.00584,0.0,1.0E-5,4.0E-5,6.4E-4,0.00584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Almanor 2011 CFM, Subsection 2",0.00592,0.0,1.0E-5,4.0E-5,6.5E-4,0.00592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"Almanor 2011 CFM, Subsection 3",0.00599,0.0,1.0E-5,4.0E-5,6.5E-4,0.00599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"Almanor 2011 CFM, Subsection 4",0.00599,0.0,1.0E-5,4.0E-5,6.5E-4,0.00599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"Almanor 2011 CFM, Subsection 5",0.00599,0.0,1.0E-5,4.0E-5,6.5E-4,0.00599,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"Almanor 2011 CFM, Subsection 6",0.00519,0.0,1.0E-5,3.0E-5,5.5E-4,0.00519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"Anacapa-Dume alt 1, Subsection 0",0.00124,0.0,0.0,1.0E-5,1.1E-4,0.00124,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
14,"Anacapa-Dume alt 1, Subsection 1",0.00139,0.0,0.0,1.0E-5,1.2E-4,0.00139,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
15,"Anacapa-Dume alt 1, Subsection 2",0.00124,0.0,0.0,1.0E-5,1.2E-4,0.00124,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
16,"Anacapa-Dume alt 1, Subsection 3",0.00123,0.0,0.0,1.0E-5,1.3E-4,0.00123,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
17,"Anacapa-Dume alt 1, Subsection 4",8.4E-4,0.0,0.0,1.0E-5,1.0E-4,8.4E-4,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
18,"Anaheim, Subsection 0",1.6E-4,0.0,0.0,0.0,1.0E-5,1.6E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"Anaheim, Subsection 1",2.1E-4,0.0,0.0,0.0,1.0E-5,2.1E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"Anaheim, Subsection 2",2.1E-4,0.0,0.0,0.0,1.0E-5,2.1E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"Antelope Valley 2011, Subsection 0",0.00358,0.0,0.0,1.0E-5,3.6E-4,0.00358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
