Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob
2.5,1449.8438,1205.0,2408.0,1352.0,1316.0,1.0,0.10624
2.6,1151.6345,953.0,1911.0,1075.0,1035.0,1.0,0.10624
2.7,914.7639,751.0,1519.0,854.0,832.0,1.0,0.10624
2.8,726.6107,592.0,1209.0,679.0,665.0,1.0,0.10624
2.9,577.109,466.0,961.0,540.0,522.0,1.0,0.10624
3.0,458.4051,366.0,765.0,429.0,422.0,1.0,0.10624
3.1,364.12305,288.0,607.0,341.0,334.0,1.0,0.10624
3.2,289.21237,225.0,482.0,272.0,267.0,1.0,0.10624
3.3,229.69408,176.0,385.0,216.0,210.0,1.0,0.10624
3.4,182.43552,137.0,305.0,172.0,165.0,1.0,0.10624
3.5,144.88113,107.0,243.0,136.0,131.0,1.0,0.10624
3.6,115.04756,83.0,194.0,108.0,105.0,1.0,0.10624
3.7,91.34638,64.0,154.0,86.0,85.0,1.0,0.10624
3.8,72.51472,49.0,123.0,68.0,68.0,1.0,0.10624
3.9,57.57673,37.0,99.0,54.0,51.0,1.0,0.10624
4.0,45.72044,28.0,79.0,43.0,43.0,1.0,0.10624
4.1,36.30215,21.0,63.0,34.0,32.0,1.0,0.10624
4.2,28.80192,16.0,51.0,27.0,26.0,1.0,0.10624
4.3,22.84613,12.0,41.0,21.0,20.0,1.0,0.10624
4.4,18.11624,9.0,33.0,17.0,16.0,1.0,0.10624
4.5,14.36331,6.0,27.0,13.0,13.0,1.0,0.10624
4.6,11.38501,4.0,22.0,11.0,10.0,0.9999,0.10624
4.7,9.01625,3.0,18.0,8.0,8.0,0.99942,0.10624
4.8,7.13429,2.0,15.0,7.0,6.0,0.99762,0.10624
4.9,5.64115,1.0,13.0,5.0,4.0,0.99149,0.10624
5.0,4.45267,1.0,11.0,4.0,3.0,0.97769,0.10624
5.1,3.51166,0.0,9.0,3.0,3.0,0.95139,0.10624
5.2,2.76099,0.0,8.0,2.0,2.0,0.90936,0.10624
5.3,2.16767,0.0,6.0,2.0,1.0,0.84991,0.10624
5.4,1.69509,0.0,5.0,1.0,1.0,0.77486,0.10624
5.5,1.32127,0.0,5.0,1.0,1.0,0.6896,0.10624
5.6,1.0235,0.0,4.0,1.0,0.0,0.59903,0.10623
5.7,0.78549,0.0,3.0,1.0,0.0,0.50725,0.10623
5.8,0.59653,0.0,3.0,0.0,0.0,0.41763,0.10623
5.9,0.4503,0.0,2.0,0.0,0.0,0.33813,0.10616
6.0,0.34258,0.0,2.0,0.0,0.0,0.27101,0.10612
6.1,0.2509,0.0,2.0,0.0,0.0,0.20858,0.09255
6.2,0.16372,0.0,1.0,0.0,0.0,0.14314,0.07168
6.3,0.12399,0.0,1.0,0.0,0.0,0.11135,0.06159
6.4,0.09344,0.0,1.0,0.0,0.0,0.08459,0.05285
6.5,0.07266,0.0,1.0,0.0,0.0,0.06657,0.04627
6.6,0.0606,0.0,1.0,0.0,0.0,0.05688,0.04272
6.7,0.0495,0.0,1.0,0.0,0.0,0.04682,0.03727
6.8,0.04052,0.0,1.0,0.0,0.0,0.03885,0.03247
6.9,0.03201,0.0,1.0,0.0,0.0,0.03105,0.02676
7.0,0.025,0.0,0.0,0.0,0.0,0.02449,0.02177
7.1,0.02062,0.0,0.0,0.0,0.0,0.02032,0.01877
7.2,0.01514,0.0,0.0,0.0,0.0,0.01497,0.01414
7.3,0.01035,0.0,0.0,0.0,0.0,0.01023,0.00978
7.4,0.00913,0.0,0.0,0.0,0.0,0.00905,0.00885
7.5,0.00691,0.0,0.0,0.0,0.0,0.00687,0.00681
7.6,0.00364,0.0,0.0,0.0,0.0,0.00362,0.00361
7.7,0.00112,0.0,0.0,0.0,0.0,0.00112,0.00112
7.8,6.3E-4,0.0,0.0,0.0,0.0,6.3E-4,6.3E-4
7.9,3.1E-4,0.0,0.0,0.0,0.0,3.1E-4,3.1E-4
8.0,1.2E-4,0.0,0.0,0.0,0.0,1.2E-4,1.2E-4
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
