Subsection Index,Subsection Name,Total 10 Year Mean Count,Total 1 Day Prob,Total 1 Week Prob,Total 1 Month Prob,Total 1 Year Prob,Total 10 Year Prob,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
0,"Airport Lake, Subsection 0",0.05044,0.01884,0.02586,0.03173,0.04076,0.05038,0.0492,0.01884,0.02586,0.03173,0.04066,0.04915,0.03288
1,"Airport Lake, Subsection 1",0.05358,0.01988,0.02729,0.03356,0.04321,0.05349,0.05221,0.01988,0.02729,0.03356,0.04309,0.05213,0.03482
2,"Airport Lake, Subsection 2",0.03893,0.01421,0.01958,0.02422,0.03121,0.03887,0.03743,0.01421,0.01958,0.02422,0.03105,0.03737,0.02453
3,"Airport Lake, Subsection 3",0.02983,0.01053,0.01474,0.01826,0.02347,0.0298,0.0283,0.01053,0.01474,0.01826,0.02331,0.02827,0.01844
4,"Airport Lake, Subsection 4",0.02037,0.00675,0.00947,0.0116,0.01501,0.02036,0.01821,0.00675,0.00947,0.0116,0.01482,0.0182,0.01165
5,"Airport Lake, Subsection 5",0.01655,0.00528,0.00747,0.00919,0.01201,0.01654,0.01451,0.00528,0.00747,0.00919,0.01182,0.0145,0.0093
6,"Almanor 2011 CFM, Subsection 0",0.01321,0.0,1.0E-5,9.0E-5,0.0014,0.01305,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
7,"Almanor 2011 CFM, Subsection 1",0.01384,0.0,1.0E-5,9.0E-5,0.0015,0.01366,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8,"Almanor 2011 CFM, Subsection 2",0.01204,0.0,1.0E-5,7.0E-5,0.00127,0.01193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"Almanor 2011 CFM, Subsection 3",0.01108,0.0,1.0E-5,6.0E-5,0.00117,0.01093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
