Parent ID,Parent Name,Total 10 Year Mean Count,Total 1 Day Prob,Total 1 Week Prob,Total 1 Month Prob,Total 1 Year Prob,Total 10 Year Prob,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
191,Big Pine (East),0.00531,1.0E-5,2.0E-5,8.0E-5,5.2E-4,0.00526,1.2E-4,0.0,1.0E-5,5.0E-5,9.0E-5,1.2E-4,1.0E-5
200,Big Pine (West),2.0E-4,0.0,0.0,0.0,3.0E-5,2.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Blackwater,0.02268,0.00206,0.00365,0.00528,0.00952,0.02164,0.01309,0.00206,0.00365,0.0052,0.00852,0.01245,0.00287
169,Blue Cut,0.0083,2.0E-5,5.0E-5,1.1E-4,7.4E-4,0.00801,1.3E-4,1.0E-5,3.0E-5,6.0E-5,9.0E-5,1.3E-4,1.0E-5
170,Brawley (Seismic Zone) alt 1,0.13368,0.0,2.1E-4,9.2E-4,0.01274,0.12933,1.6E-4,0.0,3.0E-5,8.0E-5,1.1E-4,1.6E-4,6.0E-5
541,Breckenridge 2011,2.0E-4,0.0,0.0,0.0,4.0E-5,2.0E-4,2.0E-5,0.0,0.0,0.0,2.0E-5,2.0E-5,0.0
882,Bullion Mountains,0.00454,0.0,0.0,2.0E-5,4.4E-4,0.00453,2.0E-5,0.0,0.0,1.0E-5,1.0E-5,2.0E-5,0.0
94,Burnt Mtn,0.00368,0.0,1.0E-5,1.0E-5,3.4E-4,0.00368,2.0E-5,0.0,0.0,0.0,1.0E-5,2.0E-5,0.0
561,Butano 2011 CFM,0.0022,0.0,1.0E-5,3.0E-5,2.3E-4,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Cady,0.00733,7.0E-5,1.2E-4,2.0E-4,9.2E-4,0.00714,3.7E-4,7.0E-5,1.2E-4,1.8E-4,2.9E-4,3.6E-4,8.0E-5
602,Calaveras (Central) 2011 CFM,0.07741,1.0E-5,1.4E-4,5.9E-4,0.00652,0.06958,2.0E-5,0.0,0.0,1.0E-5,2.0E-5,2.0E-5,1.0E-5
601,Calaveras (No) 2011 CFM,0.02481,0.0,2.0E-5,1.4E-4,0.0022,0.02454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621,Calaveras (So) - Paicines extension 2011 CFM,0.09076,2.0E-5,2.1E-4,7.3E-4,0.00797,0.08402,3.0E-5,1.0E-5,2.0E-5,2.0E-5,2.0E-5,3.0E-5,1.0E-5
603,Calaveras (So) 2011 CFM,0.08874,1.0E-5,1.4E-4,6.6E-4,0.0083,0.08616,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,0.0
88,Calico-Hidalgo,0.01458,8.0E-5,1.3E-4,3.1E-4,0.00144,0.01422,3.4E-4,7.0E-5,9.0E-5,1.5E-4,2.2E-4,3.1E-4,8.0E-5
