Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob
2.5,2992.8833,2276.0,6215.0,2661.0,2508.0,1.0,0.20681
2.6,2377.2522,1803.0,4949.0,2114.0,1947.0,1.0,0.20681
2.7,1888.2405,1427.0,3934.0,1680.0,1584.0,1.0,0.20681
2.8,1499.8544,1128.0,3126.0,1335.0,1239.0,1.0,0.20681
2.9,1191.306,892.0,2485.0,1062.0,1004.0,1.0,0.20681
3.0,946.25226,704.0,1974.0,844.0,798.0,1.0,0.20681
3.1,751.63214,555.0,1570.0,671.0,632.0,1.0,0.20681
3.2,596.97986,437.0,1250.0,533.0,508.0,1.0,0.20681
3.3,474.1443,344.0,995.0,424.0,397.0,1.0,0.20681
3.4,376.60983,270.0,790.0,337.0,320.0,1.0,0.20681
3.5,299.11166,212.0,629.0,268.0,251.0,1.0,0.20681
3.6,237.54169,165.0,501.0,213.0,200.0,1.0,0.20681
3.7,188.60332,129.0,399.0,169.0,160.0,1.0,0.20681
3.8,149.73572,100.0,317.0,135.0,127.0,1.0,0.20681
3.9,118.87272,77.0,253.0,107.0,101.0,1.0,0.20681
4.0,94.36331,60.0,201.0,85.0,82.0,1.0,0.20681
4.1,74.90708,46.0,160.0,68.0,63.0,1.0,0.20681
4.2,59.4306,35.0,129.0,54.0,50.0,1.0,0.20681
4.3,47.15607,26.0,103.0,43.0,39.0,1.0,0.20681
4.4,37.39189,20.0,82.0,34.0,32.0,1.0,0.20681
4.5,29.65423,15.0,66.0,27.0,25.0,1.0,0.20681
4.6,23.50109,11.0,53.0,21.0,19.0,1.0,0.20681
4.7,18.61401,8.0,43.0,17.0,16.0,1.0,0.20681
4.8,14.73824,5.0,34.0,13.0,11.0,0.99997,0.20681
4.9,11.6586,4.0,28.0,10.0,10.0,0.99975,0.20681
5.0,9.20489,3.0,22.0,8.0,7.0,0.99902,0.20681
5.1,7.26126,2.0,18.0,6.0,6.0,0.99589,0.20681
5.2,5.71197,1.0,15.0,5.0,4.0,0.98764,0.20681
5.3,4.48588,0.0,12.0,4.0,3.0,0.96987,0.20681
5.4,3.51187,0.0,10.0,3.0,2.0,0.9379,0.20681
5.5,2.74025,0.0,8.0,2.0,2.0,0.88898,0.20681
5.6,2.12608,0.0,7.0,2.0,1.0,0.82164,0.2068
5.7,1.63651,0.0,6.0,1.0,1.0,0.7399,0.2068
5.8,1.24746,0.0,5.0,1.0,0.0,0.64665,0.20679
5.9,0.94289,0.0,4.0,1.0,0.0,0.55132,0.20598
6.0,0.72365,0.0,3.0,0.0,0.0,0.46219,0.20525
6.1,0.52964,0.0,3.0,0.0,0.0,0.3707,0.17811
6.2,0.35339,0.0,2.0,0.0,0.0,0.27049,0.14193
6.3,0.26633,0.0,2.0,0.0,0.0,0.21377,0.12139
6.4,0.20149,0.0,2.0,0.0,0.0,0.16557,0.10448
6.5,0.15587,0.0,1.0,0.0,0.0,0.13144,0.09077
6.6,0.12783,0.0,1.0,0.0,0.0,0.11205,0.08324
6.7,0.10403,0.0,1.0,0.0,0.0,0.09255,0.07287
6.8,0.08392,0.0,1.0,0.0,0.0,0.07666,0.06313
6.9,0.06561,0.0,1.0,0.0,0.0,0.06132,0.05225
7.0,0.05096,0.0,1.0,0.0,0.0,0.04858,0.04274
7.1,0.04176,0.0,1.0,0.0,0.0,0.04029,0.03694
7.2,0.03084,0.0,1.0,0.0,0.0,0.03,0.02816
7.3,0.02143,0.0,0.0,0.0,0.0,0.02099,0.02002
7.4,0.01864,0.0,0.0,0.0,0.0,0.0183,0.01788
7.5,0.01421,0.0,0.0,0.0,0.0,0.01401,0.01388
7.6,0.00764,0.0,0.0,0.0,0.0,0.00753,0.00748
7.7,0.0027,0.0,0.0,0.0,0.0,0.00269,0.00267
7.8,0.00157,0.0,0.0,0.0,0.0,0.00157,0.00156
7.9,8.4E-4,0.0,0.0,0.0,0.0,8.4E-4,8.4E-4
8.0,3.5E-4,0.0,0.0,0.0,0.0,3.5E-4,3.5E-4
8.1,7.0E-5,0.0,0.0,0.0,0.0,7.0E-5,7.0E-5
8.2,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
