Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only
6.0,1.7296055E-5,1.81066E-5,0.002818056,155.63693,0.0028,7.412385E-5,7.759753E-5,0.00339734,43.781548,0.00332,9.0208417E-4,9.4436115E-4,0.005899677,6.247268,0.00496
6.1,1.7296055E-5,1.81066E-5,0.002818056,155.63693,0.0028,7.412385E-5,7.759753E-5,0.00339734,43.781548,0.00332,9.0208417E-4,9.4436115E-4,0.005899677,6.247268,0.00496
6.2,1.7296055E-5,1.81066E-5,0.002818056,155.63693,0.0028,7.412385E-5,7.759753E-5,0.00339734,43.781548,0.00332,9.0208417E-4,9.4436115E-4,0.005899677,6.247268,0.00496
6.3,1.0669118E-5,1.1137076E-5,0.0021311135,191.35304,0.00212,4.5723988E-5,4.772947E-5,0.002527611,52.95703,0.00248,5.5654737E-4,5.8095413E-4,0.0039390023,6.780229,0.00336
6.4,1.0669118E-5,1.1137076E-5,0.0021311135,191.35304,0.00212,4.5723988E-5,4.772947E-5,0.002527611,52.95703,0.00248,5.5654737E-4,5.8095413E-4,0.0039390023,6.780229,0.00336
6.5,8.790038E-6,9.171543E-6,0.0016491564,179.81233,0.00164,3.767105E-5,3.930603E-5,0.0019592305,49.845547,0.00192,4.585485E-4,4.784474E-4,0.0029972417,6.264517,0.00252
6.6,7.396949E-6,7.716665E-6,0.0015677046,203.15831,0.00156,3.1700827E-5,3.3071006E-5,0.0018330115,55.426537,0.0018,3.858892E-4,4.0256613E-4,0.0026816484,6.6613855,0.00228
6.7,6.4600285E-6,6.739015E-6,0.0014467293,214.67963,0.00144,2.7685543E-5,2.8881179E-5,0.001628835,56.3978,0.0016,3.3701936E-4,3.515724E-4,0.0023908552,6.800463,0.00204
6.8,5.600104E-6,5.8368437E-6,0.0011658301,199.73639,0.00116,2.4000226E-5,2.5014808E-5,0.0013049828,52.168415,0.00128,2.9216358E-4,3.0451332E-4,0.0020239896,6.6466374,0.00172
6.9,4.839122E-6,5.0402173E-6,0.0011650344,231.14766,0.00116,2.0738931E-5,2.1600754E-5,0.0013015731,60.25591,0.00128,2.5246723E-4,2.629579E-4,0.0019825057,7.539251,0.00172
7.0,3.6937633E-6,3.8457424E-6,9.238422E-4,240.22466,9.2E-4,1.5830317E-5,1.6481652E-5,0.0010164651,61.67253,0.001,1.9271708E-4,2.0064594E-4,0.001600365,7.9760647,0.0014
7.1,2.7858857E-6,2.8982486E-6,7.2289613E-4,249.42517,7.2E-4,1.1939455E-5,1.2421007E-5,7.3241204E-4,58.96559,7.2E-4,1.4535317E-4,1.5121548E-4,0.0011910582,7.876562,0.00104
7.2,2.1672065E-6,2.2543188E-6,4.4225334E-4,196.18047,4.4E-4,9.2879945E-6,9.661331E-6,4.496571E-4,46.541935,4.4E-4,1.1307546E-4,1.1762055E-4,7.1755E-4,6.1005497,6.0E-4
7.3,1.4823496E-6,1.5424213E-6,3.2154194E-4,208.4657,3.2E-4,6.3529114E-6,6.610361E-6,3.2660825E-4,49.40853,3.2E-4,7.734395E-5,8.047833E-5,4.8044615E-4,5.969882,4.0E-4
7.4,4.2321457E-7,4.411508E-7,1.6044108E-4,363.68762,1.6E-4,1.8137755E-6,1.8906451E-6,1.6189035E-4,85.62704,1.6E-4,2.2082493E-5,2.3018407E-5,1.8301472E-4,7.9507985,1.6E-4
7.5,5.6942316E-8,5.9424394E-8,5.9424394E-8,1.0,0.0,2.440385E-7,2.5467594E-7,2.5467594E-7,1.0,0.0,2.9711643E-6,3.1006762E-6,3.1006762E-6,1.0,0.0
