Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,2802.9985,1897.0,7046.0,2250.0,2010.0,1.0,0.0,1498.3905
2.6,2226.0908,1504.0,5654.0,1786.0,1717.0,1.0,0.0,1190.1288
2.7,1768.4393,1192.0,4517.0,1423.0,1334.0,1.0,0.0,945.32654
2.8,1405.0597,938.0,3551.0,1129.0,1036.0,1.0,0.0,751.38257
2.9,1116.0946,740.0,2798.0,897.0,825.0,1.0,0.0,596.86255
3.0,886.30835,586.0,2256.0,713.0,672.0,1.0,0.0,474.05746
3.1,704.0444,462.0,1791.0,567.0,550.0,1.0,0.0,376.79126
3.2,559.11707,364.0,1421.0,451.0,414.0,1.0,0.0,299.27347
3.3,444.272,287.0,1137.0,359.0,342.0,1.0,0.0,237.89673
3.4,352.95782,222.0,903.0,286.0,271.0,1.0,0.0,188.98328
3.5,280.41745,174.0,720.0,227.0,222.0,1.0,0.0,150.05309
3.6,222.93527,137.0,569.0,181.0,162.0,1.0,0.0,119.445816
3.7,177.25163,105.0,453.0,145.0,133.0,1.0,0.0,94.92582
3.8,140.66692,82.0,364.0,115.0,105.0,1.0,0.0,75.34909
3.9,111.843636,64.0,289.0,92.0,93.0,1.0,0.0,59.98909
4.0,89.07418,50.0,229.0,73.0,66.0,1.0,0.0,47.845818
4.1,70.709816,38.0,183.0,58.0,49.0,1.0,0.0,38.035637
4.2,56.321453,28.0,145.0,46.0,45.0,1.0,0.0,30.326546
4.3,44.611637,22.0,114.0,37.0,34.0,1.0,0.0,23.990545
4.4,35.45018,16.0,89.0,29.0,29.0,1.0,0.0,19.030546
4.5,28.215273,12.0,72.0,23.0,23.0,1.0,0.0,15.127273
4.6,22.344727,9.0,60.0,19.0,17.0,1.0,0.0,11.960728
4.7,17.760727,6.0,48.0,15.0,13.0,1.0,0.0,9.510546
4.8,14.069091,4.0,39.0,12.0,10.0,1.0,0.0,7.538909
4.9,11.213819,3.0,31.0,9.0,8.0,0.9992727,0.0,6.0276365
5.0,8.928,2.0,23.0,7.0,7.0,0.9978182,0.0,4.784
5.1,7.093091,1.0,19.0,6.0,5.0,0.9927273,0.0,3.7665455
5.2,5.629818,1.0,15.0,5.0,4.0,0.98327273,0.0,2.9861817
5.3,4.461091,0.0,13.0,4.0,3.0,0.9672727,0.0,2.3490908
5.4,3.5745454,0.0,11.0,3.0,2.0,0.92872727,0.0,1.8952727
5.5,2.8283637,0.0,9.0,2.0,1.0,0.8661818,0.0,1.5003636
5.6,2.2312727,0.0,8.0,2.0,1.0,0.8029091,0.0,1.184
5.7,1.7854545,0.0,7.0,1.0,1.0,0.7236364,0.0,0.9367273
5.8,1.408,0.0,5.0,1.0,0.0,0.6421818,0.0,0.73963636
5.9,1.1403637,0.0,5.0,1.0,0.0,0.5723636,0.0,0.5949091
6.0,0.9127273,0.0,4.0,0.0,0.0,0.49672726,0.0,0.48
6.1,0.73309094,0.0,4.0,0.0,0.0,0.432,0.0,0.3970909
6.2,0.5709091,0.0,3.0,0.0,0.0,0.3549091,0.0,0.3141818
6.3,0.45236364,0.0,3.0,0.0,0.0,0.29672727,0.0,0.24945454
6.4,0.35927272,0.0,2.0,0.0,0.0,0.24727273,0.0,0.20654546
6.5,0.28218183,0.0,2.0,0.0,0.0,0.208,0.0,0.16218182
6.6,0.22836363,0.0,2.0,0.0,0.0,0.1730909,0.0,0.12945454
6.7,0.1730909,0.0,2.0,0.0,0.0,0.13745454,0.0,0.09890909
6.8,0.136,0.0,1.0,0.0,0.0,0.10981818,0.0,0.07490909
6.9,0.09890909,0.0,1.0,0.0,0.0,0.08072727,0.0,0.054545455
7.0,0.08072727,0.0,1.0,0.0,0.0,0.069818184,0.0,0.04509091
7.1,0.06545454,0.0,1.0,0.0,0.0,0.057454545,0.0,0.03709091
7.2,0.046545453,0.0,1.0,0.0,0.0,0.040727273,0.0,0.02690909
7.3,0.034909092,0.0,1.0,0.0,0.0,0.031272728,0.0,0.018181818
7.4,0.028363636,0.0,1.0,0.0,0.0,0.02690909,0.0,0.013818182
7.5,0.019636363,0.0,0.0,0.0,0.0,0.018181818,0.0,0.010909091
7.6,0.013090909,0.0,0.0,0.0,0.0,0.012363636,0.0,0.0072727273
7.7,0.012363636,0.0,0.0,0.0,0.0,0.011636363,0.0,0.0065454547
7.8,0.009454546,0.0,0.0,0.0,0.0,0.008727273,0.0,0.005090909
7.9,0.0065454547,0.0,0.0,0.0,0.0,0.0058181817,0.0,0.0029090908
8.0,0.0043636365,0.0,0.0,0.0,0.0,0.0043636365,0.0,0.0021818182
8.1,0.0021818182,0.0,0.0,0.0,0.0,0.0021818182,0.0,7.272727E-4
8.2,7.272727E-4,0.0,0.0,0.0,0.0,7.272727E-4,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
