Duration (years),Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
1.0,7.48444,5.0,3.0,20.005474,0.0,2.0,10.0,30.0
4.0,7.48444,5.0,3.75,12.2497015,2.0,3.25,9.25,29.0
8.0,7.4861712,5.25,4.125,9.475448,2.5,3.625,9.375,27.25
12.0,7.4888873,5.4166665,4.6666665,8.29009,2.8333333,3.8333333,9.5,25.75
16.0,7.4861712,5.5625,4.5,7.5877337,3.0,3.9375,9.6875,24.875
20.0,7.48444,5.6,5.15,6.839815,3.2,4.05,9.75,24.35
24.0,7.493979,5.6666665,5.0,6.414972,3.2916667,4.1666665,9.875,22.458334
28.0,7.4867306,5.785714,5.142857,6.146593,3.392857,4.178571,9.821428,22.035715
32.0,7.493979,5.84375,4.40625,5.9006577,3.4375,4.28125,9.9375,22.0
36.0,7.472009,5.861111,5.0277777,5.5277224,3.5277777,4.3333335,9.916667,21.472221
40.0,7.493979,5.9,4.675,5.255571,3.575,4.375,9.95,21.675
44.0,7.491423,5.931818,4.659091,5.1134787,3.6363637,4.409091,10.0,20.681818
48.0,7.493979,6.0416665,5.125,5.065207,3.6875,4.4791665,9.854167,20.729166
52.0,7.472009,6.0384617,4.480769,4.8991413,3.75,4.480769,9.846154,20.173077
56.0,7.4939017,6.142857,5.017857,4.7924685,3.7857144,4.535714,9.910714,20.321428
60.0,7.493979,6.15,4.8333335,4.644587,3.7333333,4.5666666,9.916667,18.983334
64.0,7.4939017,6.203125,5.203125,4.5602927,3.796875,4.59375,9.8125,20.109375
68.0,7.4867306,6.1911764,5.102941,4.4058843,3.8676472,4.647059,9.838235,19.941177
72.0,7.488959,6.25,4.8472223,4.2435613,3.8888888,4.6666665,9.722222,19.875
76.0,7.481431,6.263158,5.6710525,4.229953,3.9078948,4.6973686,9.697369,20.026316
80.0,7.493979,6.2375,4.3625,4.194374,3.925,4.675,9.8,19.225
84.0,7.482368,6.3095236,4.845238,4.063563,3.9404762,4.75,9.666667,18.547619
88.0,7.500976,6.375,5.25,4.023673,3.9772727,4.75,9.647727,17.670454
92.0,7.4750338,6.369565,5.3152175,3.9783835,4.0,4.75,9.597826,17.934782
96.0,7.493979,6.375,6.6875,4.0058994,3.9791667,4.7604165,9.583333,18.520834
100.0,7.48444,6.33,6.03,3.933753,3.98,4.81,9.81,18.24
200.0,7.4913487,6.75,7.445,3.0055842,4.31,5.105,9.5,15.375
300.0,7.496266,6.8566666,6.6466665,2.615894,4.556667,5.3433332,9.59,13.866667
400.0,7.4913487,6.8875,7.8425,2.3876894,4.6125,5.5275,9.35,12.6875
500.0,7.48444,7.03,6.708,2.158712,4.688,5.67,9.432,12.082
