Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,Fault System Solution,500 yr Probability,500 yr Supra-Seis Prob
5.0,7.536422,4.776,13.774,6.996,8.136,8.26085,1.0,0.0
5.1,5.983718,3.792,10.926,5.57,5.058,6.5605116,1.0,0.0
5.2,4.753722,2.996,8.726,4.424,4.138,5.209887,1.0,0.0
5.3,3.773888,2.364,6.87,3.506,3.076,4.1370463,1.0,0.0
5.4,2.997964,1.886,5.44,2.792,2.82,3.2848597,1.0,0.0
5.5,2.37847,1.482,4.338,2.214,1.884,2.6079438,1.0,0.0
5.6,1.889092,1.172,3.392,1.762,1.762,2.0702507,1.0,0.0
5.7,1.499562,0.914,2.7,1.404,1.27,1.6430597,1.0,0.0
5.8,1.190518,0.728,2.164,1.108,0.938,1.303433,1.0,0.0
5.9,0.944006,0.574,1.736,0.88,0.808,1.0200237,1.0,0.0
6.0,0.748246,0.45,1.388,0.696,0.648,0.8275897,1.0,0.0
6.1,0.592998,0.35,1.086,0.55,0.458,0.65619826,1.0,0.0
6.2,0.469972,0.274,0.878,0.436,0.38,0.52713495,1.0,0.0
6.3,0.373438,0.214,0.698,0.346,0.316,0.41929665,1.0,0.0
6.4,0.29627,0.166,0.568,0.276,0.274,0.33203986,1.0,0.0
6.5,0.234264,0.128,0.444,0.22,0.224,0.2598822,1.0,0.0
6.6,0.185102,0.096,0.35,0.172,0.148,0.20532691,1.0,0.0
6.7,0.146128,0.072,0.282,0.136,0.12,0.16012195,1.0,0.0
6.8,0.115144,0.054,0.22,0.106,0.102,0.12682982,1.0,0.0
6.9,0.090524,0.042,0.178,0.084,0.08,0.09972132,1.0,0.0
7.0,0.071202,0.032,0.146,0.066,0.06,0.07791837,1.0,0.0
7.1,0.055984,0.024,0.112,0.052,0.046,0.059600532,1.0,0.0
7.2,0.043654,0.016,0.09,0.04,0.038,0.045235075,1.0,0.0
7.3,0.033904,0.012,0.072,0.032,0.024,0.035290748,1.0,0.0
7.4,0.026136,0.008,0.058,0.024,0.02,0.026937455,1.0,0.0
7.5,0.020066,0.004,0.046,0.018,0.018,0.019023271,0.998,0.0
7.6,0.015252,0.002,0.038,0.014,0.012,0.013821093,0.994,0.0
7.7,0.011298,0.002,0.028,0.01,0.01,0.009578839,0.987,0.0
7.8,0.008122,0.0,0.022,0.008,0.006,0.0061918446,0.965,0.0
7.9,0.005714,0.0,0.016,0.004,0.004,0.0035149523,0.906,0.0
8.0,0.003778,0.0,0.012,0.004,0.002,0.0020316083,0.791,0.0
8.1,0.00213,0.0,0.008,0.002,0.0,0.0010248122,0.619,0.0
8.2,9.88E-4,0.0,0.006,0.0,0.0,4.4834707E-4,0.367,0.0
8.3,0.0,0.0,0.0,0.0,0.0,1.0199686E-4,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
