Magnitude,1 yr TI Prob,TD Prob,ETAS Prob,ETAS/TD Gain,ETAS Triggered Only,10 yr TI Prob,TD Prob,ETAS Prob,ETAS/TD Gain,ETAS Triggered Only
6.0,3.7451705E-4,3.9402005E-4,4.0401611E-4,1.0253694,1.0E-5,0.003738865,0.003937214,0.0039471746,1.0025299,1.0E-5
6.1,3.7451705E-4,3.9402005E-4,4.0401611E-4,1.0253694,1.0E-5,0.003738865,0.003937214,0.0039471746,1.0025299,1.0E-5
6.2,3.7451705E-4,3.9402005E-4,4.0401611E-4,1.0253694,1.0E-5,0.003738865,0.003937214,0.0039471746,1.0025299,1.0E-5
6.3,3.7451705E-4,3.9402005E-4,4.0401611E-4,1.0253694,1.0E-5,0.003738865,0.003937214,0.0039471746,1.0025299,1.0E-5
6.4,3.7451705E-4,3.9402005E-4,4.0401611E-4,1.0253694,1.0E-5,0.003738865,0.003937214,0.0039471746,1.0025299,1.0E-5
6.5,2.744814E-4,2.8868974E-4,2.8868974E-4,1.0,0.0,0.002741426,0.0028868972,0.0028868972,1.0,0.0
6.6,2.744814E-4,2.8868974E-4,2.8868974E-4,1.0,0.0,0.002741426,0.0028868972,0.0028868972,1.0,0.0
