Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,Fault System Solution,500 yr Probability,500 yr Supra-Seis Prob,Primary Aftershocks Mean
5.0,0.34543,0.158,0.96,0.276,0.234,8.608642,1.0,0.996,0.09389
5.1,0.273588,0.12,0.766,0.222,0.18,6.830068,1.0,0.996,0.07481
5.2,0.216164,0.094,0.606,0.174,0.154,5.4173,1.0,0.996,0.059624
5.3,0.170832,0.072,0.478,0.14,0.122,4.2950974,1.0,0.996,0.047782
5.4,0.134168,0.056,0.366,0.11,0.1,3.4037008,1.0,0.996,0.038182
5.5,0.105676,0.042,0.286,0.088,0.084,2.6956394,1.0,0.996,0.030738
5.6,0.082964,0.032,0.222,0.07,0.064,2.1332066,1.0,0.996,0.024682
5.7,0.064712,0.024,0.172,0.054,0.05,1.6863642,1.0,0.996,0.019882
5.8,0.050214,0.018,0.128,0.042,0.034,1.3311276,1.0,0.996,0.0161
5.9,0.037624,0.012,0.094,0.032,0.026,1.0356472,1.0,0.994,0.012568
6.0,0.02943,0.01,0.074,0.026,0.024,0.83624506,1.0,0.994,0.01028
6.1,0.0223,0.006,0.054,0.02,0.016,0.66032434,0.999,0.991,0.007952
6.2,0.017912,0.004,0.044,0.016,0.012,0.5290011,0.998,0.987,0.006638
6.3,0.014446,0.002,0.036,0.012,0.01,0.42016467,0.994,0.98,0.005444
6.4,0.011186,0.002,0.028,0.01,0.008,0.33243415,0.987,0.968,0.004304
6.5,0.008594,0.0,0.022,0.008,0.008,0.2601263,0.969,0.938,0.003364
6.6,0.006696,0.0,0.018,0.006,0.004,0.20548344,0.934,0.894,0.00264
6.7,0.005142,0.0,0.014,0.004,0.004,0.16021843,0.877,0.838,0.00207
6.8,0.00409,0.0,0.012,0.004,0.002,0.12689023,0.811,0.768,0.00167
6.9,0.00325,0.0,0.01,0.002,0.002,0.09975841,0.742,0.703,0.00133
7.0,0.002658,0.0,0.01,0.002,0.0,0.077940285,0.664,0.635,0.001104
7.1,0.002052,0.0,0.008,0.002,0.0,0.05961322,0.574,0.559,8.6E-4
7.2,0.001598,0.0,0.006,0.002,0.0,0.045241926,0.503,0.494,6.94E-4
7.3,0.001328,0.0,0.006,0.0,0.0,0.035294022,0.448,0.445,5.84E-4
7.4,9.96E-4,0.0,0.004,0.0,0.0,0.026938815,0.354,0.352,4.44E-4
7.5,7.64E-4,0.0,0.004,0.0,0.0,0.019023713,0.297,0.297,3.6E-4
7.6,6.22E-4,0.0,0.004,0.0,0.0,0.013821237,0.252,0.252,2.92E-4
7.7,4.64E-4,0.0,0.004,0.0,0.0,0.009578903,0.201,0.201,2.24E-4
7.8,3.42E-4,0.0,0.002,0.0,0.0,0.006191872,0.152,0.152,1.64E-4
7.9,1.92E-4,0.0,0.002,0.0,0.0,0.0035149523,0.09,0.09,9.8E-5
8.0,1.02E-4,0.0,0.002,0.0,0.0,0.0020316083,0.049,0.049,4.8E-5
8.1,4.2E-5,0.0,0.0,0.0,0.0,0.0010248122,0.021,0.021,2.0E-5
8.2,2.6E-5,0.0,0.0,0.0,0.0,4.4834707E-4,0.013,0.013,1.4E-5
8.3,6.0E-6,0.0,0.0,0.0,0.0,1.0199686E-4,0.003,0.003,2.0E-6
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
