Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob,Triggered Mean Annual Rate,Triggered 500 Year Prob,Triggered Primary Mean Annual Rate,Long-Term Fault System Solution Rate
134,Great Valley 04a Trout Creek,2.92E-4,0.146,1.6E-5,0.008,1.0E-5,4.4478936E-4
381,Great Valley 04b Gordon Valley,1.72E-4,0.086,1.4E-5,0.007,1.0E-5,2.8020548E-4
717,Great Valley 05 Pittsburg - Kirby Hills alt1,0.0,0.0,0.0,0.0,0.0,0.0
645,Great Valley 06 (Midland) 2011 CFM alt1,5.0E-5,0.025,0.0,0.0,0.0,6.4830434E-5
136,Great Valley 07 (Orestimba),0.0,0.0,0.0,0.0,0.0,0.0
137,Great Valley 08 (Quinto),8.0E-6,0.004,0.0,0.0,0.0,1.4103558E-5
151,Great Valley 09 (Laguna Seca),4.8E-5,0.024,2.0E-6,0.001,2.0E-6,1.3992583E-4
138,Great Valley 10 (Panoche),5.2E-5,0.026,2.0E-6,0.001,2.0E-6,1.6859228E-4
139,Great Valley 11,6.2E-5,0.031,2.0E-6,0.001,2.0E-6,2.3286787E-4
140,Great Valley 12,8.0E-5,0.04,2.0E-6,0.001,2.0E-6,2.7779874E-4
142,Great Valley 13 (Coalinga),7.6E-5,0.038,0.0,0.0,0.0,3.3030586E-4
141,Great Valley 14 (Kettleman Hills),9.4E-5,0.047,0.0,0.0,0.0,3.2380995E-4
623,Green Valley 2011 CFM,4.4E-4,0.204,1.6E-5,0.007,8.0E-6,7.703266E-4
636,Greenville (No) 2011 CFM,3.24E-4,0.156,1.6E-5,0.008,6.0E-6,6.3933566E-4
635,Greenville (So) 2011 CFM,2.08E-4,0.1,1.2E-5,0.006,6.0E-6,4.2564902E-4
702,Hartley Springs 2011 CFM,2.4E-5,0.012,2.0E-6,0.001,0.0,9.583507E-5
37,Hat Creek-McArthur-Mayfield,6.6E-5,0.033,2.0E-6,0.001,0.0,1.38341E-4
639,Hayward (No) 2011 CFM,0.00234,0.797,8.6E-5,0.04,3.6E-5,0.0028100798
638,Hayward (So) 2011 CFM,0.002012,0.703,8.6E-5,0.042,4.2E-5,0.0022261087
637,Hayward (So) extension 2011 CFM,5.9E-4,0.269,2.8E-5,0.014,1.6E-5,6.527399E-4
167,Hector Mine,7.0E-5,0.035,1.2E-5,0.006,6.0E-6,2.6068455E-4
84,Helendale-So Lockhart,1.08E-4,0.054,4.0E-6,0.002,4.0E-6,1.9273565E-4
703,Hilton Creek 2011 CFM,7.8E-5,0.039,4.0E-6,0.002,0.0,2.8115537E-4
108,Hollywood,2.34E-4,0.115,1.0E-5,0.005,6.0E-6,4.4219464E-4
228,Holser alt 1,6.6E-5,0.033,0.0,0.0,0.0,1.5307438E-4
723,Homestead Valley 2011,1.0E-5,0.005,4.0E-6,0.002,4.0E-6,1.6005126E-4
704,Honey Lake 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0
30,Hosgri,3.26E-4,0.158,1.0E-5,0.005,0.0,6.2775466E-4
208,Hosgri (Extension),5.4E-5,0.027,2.0E-6,0.001,0.0,1.0961761E-4
50,Hunter Mountain-Saline Valley,5.56E-4,0.262,8.0E-6,0.004,2.0E-6,9.11168E-4
677,Hunting Creek - Bartlett Springs connector 2011,7.14E-4,0.341,8.0E-6,0.004,4.0E-6,0.0013929813
640,Hunting Creek - Berryessa 2011 CFM,4.6E-4,0.219,6.0E-6,0.003,4.0E-6,8.5654604E-4
97,Imperial,0.003634,0.947,1.74E-4,0.082,7.6E-5,0.0038191879
678,Incline Village 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0
65,Independence rev 2011,6.2E-5,0.031,1.0E-5,0.005,4.0E-6,7.850526E-5
892,Jess Valley,0.0,0.0,0.0,0.0,0.0,0.0
91,Johnson Valley (No) 2011 rev,7.8E-5,0.039,1.0E-5,0.005,2.0E-6,3.3994426E-4
168,Joshua Tree (Seismicity),2.6E-5,0.013,0.0,0.0,0.0,2.2177855E-5
679,Keddie Ridge 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0
542,Kern Canyon (Lake Isabella) 2011,3.4E-5,0.017,0.0,0.0,0.0,7.186332E-5
544,Kern Canyon (North Kern) 2011,2.8E-5,0.014,0.0,0.0,0.0,5.983736E-5
543,Kern Canyon (South Kern) 2011,4.6E-5,0.022,0.0,0.0,0.0,8.939367E-5
92,Kickapoo,4.0E-6,0.002,2.0E-6,0.001,2.0E-6,9.508004E-5
680,King Range 2011 CFM,9.6E-5,0.046,2.0E-6,0.001,2.0E-6,1.5377485E-4
641,La Panza 2011,3.4E-5,0.017,2.0E-6,0.001,0.0,3.5375855E-5
104,Laguna Salada,4.2E-5,0.021,4.0E-6,0.002,2.0E-6,1.0932959E-4
207,Lake Isabella (Seismicity),3.4E-5,0.017,0.0,0.0,0.0,8.845892E-5
642,Las Positas,0.0,0.0,0.0,0.0,0.0,0.0
890,Last Chance,2.4E-5,0.012,4.0E-6,0.002,2.0E-6,6.0627925E-5
85,Lenwood-Lockhart-Old Woman Springs,2.64E-4,0.131,6.0E-6,0.003,6.0E-6,4.2288622E-4
705,Likely 2011 CFM,3.6E-5,0.018,0.0,0.0,0.0,6.320352E-5
681,Lions Head 2011 CFM,2.0E-6,0.001,0.0,0.0,0.0,1.3459191E-5
144,Little Lake,4.0E-5,0.02,2.0E-6,0.001,2.0E-6,1.1952053E-4
16,Little Salmon (Offshore),5.48E-4,0.268,1.6E-5,0.008,6.0E-6,7.853599E-4
17,Little Salmon (Onshore),6.92E-4,0.328,1.0E-5,0.005,4.0E-6,9.6066925E-4
683,Los Alamos 2011 CFM,2.02E-4,0.1,4.0E-6,0.002,2.0E-6,1.6534318E-4
780,Los Alamos extension,2.3E-4,0.113,4.0E-6,0.002,2.0E-6,1.8950521E-4
643,Los Medanos - Roe Island,1.8E-5,0.009,0.0,0.0,0.0,3.5994537E-5
74,Los Osos 2011,6.6E-5,0.033,6.0E-6,0.003,0.0,1.0061542E-4
201,Lost Hills,0.0,0.0,0.0,0.0,0.0,0.0
166,Ludlow,4.6E-5,0.023,4.0E-6,0.002,0.0,8.9138215E-5
644,Maacama 2011 CFM,0.00228,0.758,1.6E-5,0.006,8.0E-6,0.0036327762
22,Mad River (alt1),2.36E-4,0.112,4.0E-6,0.002,0.0,3.497078E-4
221,Malibu Coast (Extension) alt 1,1.1E-4,0.054,1.0E-5,0.005,4.0E-6,2.0764014E-4
220,Malibu Coast alt 1,1.28E-4,0.061,6.0E-6,0.003,2.0E-6,2.6646326E-4
164,Manix-Afton Hills,9.2E-5,0.046,1.4E-5,0.007,1.0E-5,1.7469274E-4
21,McKinleyville (alt1),1.22E-4,0.059,4.0E-6,0.001,0.0,1.9718963E-4
155,McLean Lake,0.0,0.0,0.0,0.0,0.0,0.0
13,Mendocino,0.00373,0.961,2.58E-4,0.115,1.16E-4,0.004784016
605,Mission (connected) 2011 CFM,1.66E-4,0.079,6.0E-6,0.003,2.0E-6,2.3273149E-4
250,Mission Creek,2.24E-4,0.112,1.4E-5,0.007,4.0E-6,3.0505977E-4
779,Mission Hills 2011,1.6E-5,0.008,0.0,0.0,0.0,6.640258E-5
78,Mission Ridge-Arroyo Parida-Santa Ana,2.62E-4,0.124,1.0E-5,0.005,8.0E-6,4.976814E-4
686,Mohawk Valley 2011 CFM,5.0E-5,0.025,2.0E-6,0.001,0.0,1.3186446E-4
707,Mono Lake 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0
646,Monte Vista - Shannon 2011 CFM,3.22E-4,0.155,4.8E-5,0.022,1.0E-5,2.8865447E-4
11,Monterey Bay-Tularcitos,1.4E-4,0.069,2.0E-6,0.001,0.0,2.2746678E-4
188,Morales (East),3.0E-5,0.015,4.0E-6,0.002,4.0E-6,3.2837157E-5
187,Morales (West),6.0E-6,0.003,0.0,0.0,0.0,2.257481E-5
711,Mount Diablo Thrust North CFM,2.58E-4,0.129,1.4E-5,0.007,6.0E-6,5.309415E-4
713,Mount Diablo Thrust South,1.94E-4,0.095,1.0E-5,0.005,4.0E-6,3.265072E-4
156,Nelson Lake,0.0,0.0,0.0,0.0,0.0,0.0
122,Newport-Inglewood (Offshore),2.08E-4,0.102,2.0E-6,0.001,0.0,3.8648912E-4
235,Newport-Inglewood alt 1,1.94E-4,0.095,4.0E-6,0.002,0.0,4.5593578E-4
83,North Frontal  (East),6.2E-5,0.031,0.0,0.0,0.0,1.1723846E-4
82,North Frontal  (West),8.4E-5,0.042,0.0,0.0,0.0,1.3246997E-4
199,North Salt Lake,8.0E-6,0.004,0.0,0.0,0.0,1.2568424E-5
687,North Tahoe 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0
130,Northridge,2.46E-4,0.117,4.0E-6,0.002,2.0E-6,5.536416E-4
211,Northridge Hills,9.4E-5,0.047,4.0E-6,0.002,4.0E-6,2.5312632E-4
116,Oak Ridge (Onshore),5.82E-4,0.253,2.0E-5,0.01,4.0E-6,0.0012989475
709,Oceanic - West Huasna,1.66E-4,0.083,2.0E-6,0.001,0.0,2.8492315E-4
777,Oceanside alt1,1.8E-4,0.088,4.0E-6,0.002,0.0,2.7413946E-4
921,Ortigalita (North),1.72E-4,0.085,2.0E-6,0.001,2.0E-6,2.022232E-4
9,Ortigalita (South),1.74E-4,0.086,2.0E-6,0.001,2.0E-6,2.045316E-4
64,Owens Valley,3.22E-4,0.158,5.2E-5,0.026,3.6E-5,0.0010890675
891,Owens Valley Keough Hot Springs,1.62E-4,0.08,2.0E-5,0.01,1.2E-5,5.7324074E-4
47,Owl Lake,3.08E-4,0.15,4.0E-6,0.002,2.0E-6,3.2007715E-4
841,Ozena,5.0E-5,0.025,2.0E-6,0.001,0.0,4.5748355E-5
109,Palos Verdes,4.7E-4,0.234,8.0E-6,0.004,4.0E-6,8.9218153E-4
244,Panamint Valley,6.3E-4,0.302,8.0E-6,0.004,2.0E-6,9.576881E-4
162,Paradise,1.2E-4,0.06,1.4E-5,0.007,6.0E-6,2.157114E-4
186,Peralta Hills,2.2E-5,0.011,0.0,0.0,0.0,5.2024217E-5
647,Pilarcitos 2011 CFM,1.34E-4,0.066,8.0E-6,0.004,4.0E-6,1.5622345E-4
193,Pine Mtn,1.98E-4,0.095,2.0E-6,0.001,2.0E-6,2.3415689E-4
93,Pinto Mtn,5.68E-4,0.269,6.6E-5,0.032,2.8E-5,0.0011384723
89,Pisgah-Bullion Mtn-Mesquite Lk,7.6E-5,0.038,1.2E-5,0.006,6.0E-6,3.5602713E-4
212,Pitas Point (Lower West),4.12E-4,0.201,1.4E-5,0.007,4.0E-6,4.228326E-4
215,Pitas Point (Lower)-Montalvo,2.54E-4,0.127,6.0E-6,0.003,0.0,2.741659E-4
688,Pittville 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0
58,Pleito,3.62E-4,0.169,3.0E-5,0.015,6.0E-6,3.7437645E-4
666,Point Reyes 2011 CFM,2.8E-5,0.014,0.0,0.0,0.0,1.3990542E-5
