Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob,Triggered Mean Annual Rate,Triggered 500 Year Prob,Triggered Primary Mean Annual Rate,Long-Term Fault System Solution Rate
115,Simi-Santa Rosa,1.72E-4,0.081,4.0E-6,0.002,4.0E-6,3.8638103E-4
202,Sisar,1.32E-4,0.066,2.0E-6,0.001,0.0,2.362572E-4
694,Skinner Flat 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0
63,So Sierra Nevada,1.04E-4,0.052,2.0E-6,0.001,2.0E-6,2.344117E-4
189,South Cuyama,3.6E-5,0.018,2.0E-6,0.001,0.0,4.2931453E-5
719,South Klamath Lake East,0.0,0.0,0.0,0.0,0.0,0.0
720,South Klamath Lake West,0.0,0.0,0.0,0.0,0.0,0.0
98,Superstition Hills,2.64E-4,0.126,1.6E-5,0.008,4.0E-6,4.198259E-4
708,Surprise Valley 2011 CFM,8.2E-5,0.041,0.0,0.0,0.0,1.4337864E-4
695,Swain Ravine - Spenceville,2.0E-5,0.01,2.0E-6,0.001,0.0,2.5329942E-5
15,Table Bluff,2.6E-4,0.129,0.0,0.0,0.0,3.7495163E-4
145,Tank Canyon,6.2E-5,0.031,2.0E-6,0.001,2.0E-6,9.907341E-5
174,Thirty Mile Bank,6.2E-5,0.03,2.0E-6,0.001,2.0E-6,1.12796646E-4
887,Tin Mountain,1.2E-5,0.006,2.0E-6,0.001,2.0E-6,2.4131961E-5
886,Towne Pass,1.0E-5,0.005,0.0,0.0,0.0,1.8564006E-5
19,Trinidad (alt1),5.48E-4,0.269,1.8E-5,0.009,6.0E-6,6.709462E-4
117,Ventura-Pitas Point,3.96E-4,0.184,1.8E-5,0.009,8.0E-6,7.080078E-4
112,Verdugo,1.32E-4,0.065,4.0E-6,0.002,4.0E-6,2.1766477E-4
696,Walker Spring 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0
665,West Napa 2011 CFM,7.4E-5,0.037,0.0,0.0,0.0,1.1536279E-4
321,West Tahoe,1.52E-4,0.076,6.0E-6,0.003,4.0E-6,2.7024842E-4
44,White Mountains,8.4E-5,0.042,8.0E-6,0.004,2.0E-6,2.6025908E-4
253,White Wolf,2.8E-5,0.014,4.0E-6,0.002,0.0,2.4393685E-4
254,White Wolf (Extension),2.4E-5,0.012,4.0E-6,0.002,0.0,1.476559E-4
236,Whittier alt 1,2.6E-4,0.129,6.0E-6,0.003,2.0E-6,5.721305E-4
697,Wight Way 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0
206,Yorba Linda,2.2E-5,0.011,2.0E-6,0.001,2.0E-6,3.933897E-5
715,Zayante-Vergeles 2011 CFM,2.6E-5,0.013,2.0E-6,0.001,0.0,4.3523294E-5
