Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob
2.5,140.67346,93.0,230.0,123.0,122.0,1.0,0.0
2.6,111.89796,79.0,192.0,100.0,86.0,1.0,0.0
2.7,88.97959,59.0,161.0,81.0,83.0,1.0,0.0
2.8,70.34694,41.0,124.0,64.0,65.0,1.0,0.0
2.9,55.734695,32.0,98.0,50.0,49.0,1.0,0.0
3.0,44.10204,25.0,80.0,40.0,40.0,1.0,0.0
3.1,35.10204,20.0,61.0,31.0,29.0,1.0,0.0
3.2,27.571428,14.0,49.0,25.0,24.0,1.0,0.0
3.3,22.22449,10.0,43.0,20.0,21.0,1.0,0.0
3.4,17.489796,7.0,35.0,16.0,17.0,1.0,0.0
3.5,13.897959,6.0,28.0,12.0,11.0,1.0,0.0
3.6,10.857142,4.0,26.0,10.0,10.0,1.0,0.0
3.7,8.32653,2.0,23.0,8.0,8.0,1.0,0.0
3.8,6.734694,2.0,19.0,6.0,4.0,1.0,0.0
3.9,5.408163,1.0,14.0,5.0,3.0,1.0,0.0
4.0,4.367347,0.0,13.0,3.0,3.0,0.9591837,0.0
4.1,3.3061225,0.0,8.0,3.0,2.0,0.93877554,0.0
4.2,2.857143,0.0,7.0,3.0,1.0,0.9183673,0.0
4.3,2.2653062,0.0,6.0,2.0,2.0,0.85714287,0.0
4.4,1.7346939,0.0,6.0,1.0,0.0,0.71428573,0.0
4.5,1.2857143,0.0,4.0,1.0,0.0,0.63265306,0.0
4.6,1.1632653,0.0,4.0,1.0,0.0,0.59183675,0.0
4.7,0.97959185,0.0,4.0,1.0,0.0,0.5714286,0.0
4.8,0.75510204,0.0,4.0,0.0,0.0,0.40816328,0.0
4.9,0.5714286,0.0,3.0,0.0,0.0,0.36734694,0.0
5.0,0.36734694,0.0,2.0,0.0,0.0,0.2857143,0.0
5.1,0.2857143,0.0,2.0,0.0,0.0,0.20408164,0.0
5.2,0.20408164,0.0,2.0,0.0,0.0,0.14285715,0.0
5.3,0.1632653,0.0,1.0,0.0,0.0,0.14285715,0.0
5.4,0.14285715,0.0,1.0,0.0,0.0,0.12244898,0.0
5.5,0.10204082,0.0,1.0,0.0,0.0,0.08163265,0.0
5.6,0.08163265,0.0,1.0,0.0,0.0,0.08163265,0.0
5.7,0.020408163,0.0,0.0,0.0,0.0,0.020408163,0.0
5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
