Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,10.0,3.0,23.0,9.0,10.0,1.0,0.0,8.551021
2.6,8.183674,2.0,21.0,8.0,8.0,1.0,0.0,7.102041
2.7,6.4693875,1.0,16.0,6.0,6.0,1.0,0.0,5.591837
2.8,5.0408163,1.0,11.0,5.0,5.0,1.0,0.0,4.4489794
2.9,4.0612245,1.0,10.0,4.0,2.0,0.97959185,0.0,3.5510204
3.0,3.122449,1.0,9.0,3.0,2.0,0.97959185,0.0,2.7551022
3.1,2.5510204,0.0,8.0,2.0,2.0,0.93877554,0.0,2.2653062
3.2,2.0,0.0,6.0,2.0,2.0,0.877551,0.0,1.755102
3.3,1.6122448,0.0,5.0,1.0,1.0,0.7755102,0.0,1.4285715
3.4,1.2857143,0.0,4.0,1.0,1.0,0.71428573,0.0,1.1428572
3.5,0.8979592,0.0,3.0,1.0,0.0,0.5714286,0.0,0.7755102
3.6,0.63265306,0.0,3.0,0.0,0.0,0.4489796,0.0,0.5714286
3.7,0.53061223,0.0,2.0,0.0,0.0,0.40816328,0.0,0.46938777
3.8,0.42857143,0.0,2.0,0.0,0.0,0.3877551,0.0,0.3877551
3.9,0.30612245,0.0,1.0,0.0,0.0,0.30612245,0.0,0.2857143
4.0,0.20408164,0.0,1.0,0.0,0.0,0.20408164,0.0,0.18367347
4.1,0.18367347,0.0,1.0,0.0,0.0,0.18367347,0.0,0.1632653
4.2,0.1632653,0.0,1.0,0.0,0.0,0.1632653,0.0,0.14285715
4.3,0.14285715,0.0,1.0,0.0,0.0,0.14285715,0.0,0.12244898
4.4,0.06122449,0.0,1.0,0.0,0.0,0.06122449,0.0,0.06122449
4.5,0.06122449,0.0,1.0,0.0,0.0,0.06122449,0.0,0.06122449
4.6,0.06122449,0.0,1.0,0.0,0.0,0.06122449,0.0,0.06122449
4.7,0.06122449,0.0,1.0,0.0,0.0,0.06122449,0.0,0.06122449
4.8,0.06122449,0.0,1.0,0.0,0.0,0.06122449,0.0,0.06122449
4.9,0.040816326,0.0,1.0,0.0,0.0,0.040816326,0.0,0.040816326
5.0,0.020408163,0.0,0.0,0.0,0.0,0.020408163,0.0,0.020408163
5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
