Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km),Min Hypo Dist To Largest (km),Min Hypo Poly Dist To Largest (km)
Airport Lake,"359, 50, -90",1076,7.1,1076,7.1,0.108,0.000,0.108,0.000,5.612,0.000
Little Lake,"327, 90, 180",348,5.5,349,7.1,0.187,0.000,0.187,0.000,13.471,1.469
Garlock (Central),"71, 90, 0",147,4.73,148,7.1,0.225,0.000,4.496,0.000,22.766,10.797
So Sierra Nevada,"2, 50, -90",110,4.62,110,4.62,1.097,0.000,2.006,1.025,16.191,15.188
Ash Hill,"162, 90, 180",24,3.57,24,3.57,0.088,0.000,33.561,21.600,35.690,25.242
Panamint Valley,"334, 90, -150",17,3.57,17,3.57,6.249,0.000,28.960,17.026,34.350,22.425
Blackwater,"323, 90, 180",2,3.54,2,3.54,5.396,0.000,12.517,7.767,29.622,27.613
Tank Canyon,"189, 50, -90",1,3.0,1,3.0,1.252,0.000,8.074,8.068,17.039,16.895
Sierra Nevada  (No Extension),"344, 50, -90",0,,0,,5.696,1.331,39.260,39.217,58.680,58.391
Owens Valley,"346, 90, 180",0,,0,,13.143,7.068,49.023,47.970,68.299,66.819
Lenwood-Lockhart-Old Woman Springs,"301, 90, 180",0,,0,,18.221,16.222,42.034,30.819,59.786,48.595
Towne Pass,"186, 50, -90",0,,0,,18.237,18.158,48.483,48.471,59.662,59.451
Garlock (West),"55, 90, 0",0,,0,,18.439,18.373,49.038,46.326,66.575,62.627
Scodie Lineament,"221, 68, 0",0,,0,,20.820,19.945,25.947,21.338,36.559,32.668
Gravel Hills-Harper Lk,"311, 90, 180",0,,0,,23.045,11.043,34.306,24.987,50.134,42.769
Kern Canyon (North Kern) 2011,"1, 60, -90",0,,0,,25.249,22.240,63.556,63.492,81.168,80.888
Kern Canyon (South Kern) 2011,"357, 60, -90",0,,0,,25.746,22.804,52.901,52.826,64.327,63.973
Goldstone Lake,"325, 90, 180",0,,0,,28.405,17.134,39.400,33.432,56.861,52.490
McLean Lake,"91, 90, 0",0,,0,,28.565,24.208,37.134,36.833,54.042,51.306
Paradise,"347, 90, 180",0,,0,,29.748,17.987,44.813,36.072,63.073,55.355
Nelson Lake,"89, 90, 0",0,,0,,31.025,29.620,43.964,42.570,61.695,58.028
White Wolf (Extension),"46, 75, 60",0,,0,,31.400,29.133,31.400,29.133,45.679,43.721
Independence rev 2011,"313, 50, -90",0,,0,,32.212,31.326,72.979,72.933,92.154,92.123
Lake Isabella (Seismicity),"9, 90, 0",0,,0,,33.080,22.562,52.328,40.437,65.700,53.653
Helendale-So Lockhart,"322, 90, 180",0,,0,,36.688,32.065,49.819,42.847,66.879,58.781
Owl Lake,"58, 90, 0",0,,0,,38.968,32.111,44.027,39.852,57.675,50.152
Garlock (East),"91, 90, 0",0,,0,,38.982,34.913,43.810,43.662,57.701,56.627
Coyote Canyon,"96, 90, 0",0,,0,,39.908,39.266,57.107,52.052,75.557,69.236
Death Valley (Black Mtns Frontal),"167, 60, -150",0,,0,,40.923,39.458,63.059,63.042,68.782,68.724
Hunter Mountain-Saline Valley,"304, 90, -150",0,,0,,41.141,32.957,64.382,53.594,77.497,67.795
Kern Canyon (Lake Isabella) 2011,"20, 60, -90",0,,0,,45.858,44.528,54.614,54.550,66.376,66.044
Coyote Lake,"73, 90, 0",0,,0,,46.035,35.165,69.238,58.063,89.071,77.908
Calico-Hidalgo,"306, 90, 180",0,,0,,51.131,51.031,74.430,74.141,94.213,93.988
Garlic Springs,"130, 90, 180",0,,0,,51.893,48.252,70.263,69.128,88.845,88.468
Death Valley (So),"318, 90, 180",0,,0,,53.020,45.781,70.207,58.377,76.238,65.398
Bicycle Lake,"109, 90, 0",0,,0,,53.507,53.322,71.059,69.892,89.373,87.038
White Wolf,"41, 75, 60",0,,0,,55.588,52.068,73.267,72.635,89.285,88.663
Death Valley (No),"313, 90, 180",0,,0,,63.196,51.636,99.066,87.166,107.220,95.600
Manix-Afton Hills,"72, 90, 0",0,,0,,67.164,57.257,90.144,79.781,109.989,99.575
