Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob,Primary Aftershocks Mean
2.5,503.47592,35.0,2401.0,276.0,88.0,1.0,0.03750801,454.56152
2.6,399.98038,27.0,1909.0,218.0,93.0,1.0,0.03750801,361.11884
2.7,317.6437,22.0,1516.0,174.0,61.0,1.0,0.03750801,286.79227
2.8,252.26196,17.0,1208.0,138.0,53.0,1.0,0.03750801,227.76785
2.9,200.40239,13.0,959.0,110.0,42.0,0.9998521,0.03750801,180.94475
3.0,159.1144,10.0,761.0,87.0,25.0,0.9998521,0.03750801,143.65868
3.1,126.38977,8.0,605.0,69.0,18.0,0.9998521,0.03750801,114.10582
3.2,100.42417,6.0,481.0,55.0,23.0,0.9996057,0.03750801,90.66041
3.3,79.769775,5.0,380.0,44.0,15.0,0.9991621,0.03750801,71.996254
3.4,63.372368,4.0,302.0,35.0,13.0,0.99807775,0.03750801,57.18488
3.5,50.34255,3.0,240.0,28.0,7.0,0.99650055,0.03750801,45.43457
3.6,39.97521,2.0,189.0,22.0,6.0,0.99457836,0.03750801,36.067276
3.7,31.73907,1.0,152.0,17.0,6.0,0.99063534,0.03750801,28.629553
3.8,25.19237,1.0,121.0,14.0,3.0,0.98442507,0.03750801,22.7232
3.9,19.9931,1.0,96.0,11.0,4.0,0.9757504,0.03750801,18.029524
4.0,15.848243,0.0,76.0,9.0,3.0,0.9652028,0.03750801,14.28858
4.1,12.567007,0.0,60.0,7.0,2.0,0.9493814,0.03750801,11.33639
4.2,9.971758,0.0,48.0,5.0,1.0,0.9294199,0.03750801,8.993592
4.3,7.9163094,0.0,38.0,4.0,1.0,0.9011287,0.03750801,7.143575
4.4,6.2753215,0.0,31.0,3.0,1.0,0.8667258,0.03750801,5.6620336
4.5,4.990734,0.0,25.0,3.0,1.0,0.8292671,0.03750801,4.502588
4.6,3.9637735,0.0,20.0,2.0,0.0,0.7853517,0.03750801,3.5781457
4.7,3.1340628,0.0,16.0,2.0,0.0,0.73571885,0.03750801,2.830253
4.8,2.4706984,0.0,13.0,1.0,0.0,0.6843117,0.03750801,2.232737
4.9,1.9587461,0.0,10.0,1.0,0.0,0.6285672,0.03750801,1.7703189
5.0,1.5433487,0.0,8.0,1.0,0.0,0.5692247,0.03750801,1.3962245
5.1,1.2148948,0.0,7.0,1.0,0.0,0.50968504,0.03750801,1.0976391
5.2,0.95174724,0.0,5.0,0.0,0.0,0.44639954,0.03750801,0.860762
5.3,0.7464636,0.0,4.0,0.0,0.0,0.39065504,0.03750801,0.6755878
5.4,0.5842575,0.0,4.0,0.0,0.0,0.33614275,0.03750801,0.5288087
5.5,0.4533984,0.0,3.0,0.0,0.0,0.28399625,0.03750801,0.40968013
5.6,0.3529006,0.0,2.0,0.0,0.0,0.23672926,0.03750801,0.3197792
5.7,0.2724629,0.0,2.0,0.0,0.0,0.19434176,0.03750801,0.2470304
5.8,0.20641728,0.0,2.0,0.0,0.0,0.15599586,0.03750801,0.18660358
5.9,0.15432008,0.0,1.0,0.0,0.0,0.12361378,0.03750801,0.13992804
6.0,0.117009215,0.0,1.0,0.0,0.0,0.09758983,0.03750801,0.10641234
6.1,0.08615506,0.0,1.0,0.0,0.0,0.07516388,0.03366356,0.07876189
6.2,0.056138795,0.0,1.0,0.0,0.0,0.05130859,0.026368968,0.051407166
