Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,35.3611,17.0,74.0,29.0,27.0,1.0,0.0025,23.92246
2.6,28.08922,12.0,60.0,23.0,21.0,1.0,0.0025,19.00073
2.7,22.31584,9.0,48.0,18.0,17.0,1.0,0.0025,15.09606
2.8,17.72995,7.0,39.0,14.0,13.0,0.99999,0.0025,11.99531
2.9,14.07976,5.0,31.0,11.0,11.0,0.99995,0.0025,9.5255
3.0,11.1748,3.0,25.0,9.0,8.0,0.99955,0.0025,7.56145
3.1,8.87481,2.0,21.0,7.0,6.0,0.99794,0.0025,6.0037
3.2,7.04734,1.0,17.0,6.0,5.0,0.99301,0.0025,4.76809
3.3,5.59562,1.0,14.0,4.0,4.0,0.98154,0.0025,3.7824
3.4,4.44949,0.0,12.0,3.0,3.0,0.9596,0.0025,3.00802
3.5,3.53685,0.0,10.0,3.0,2.0,0.92378,0.0025,2.3911
3.6,2.80835,0.0,8.0,2.0,2.0,0.87143,0.0025,1.89861
3.7,2.23145,0.0,7.0,2.0,1.0,0.80649,0.0025,1.50791
3.8,1.77354,0.0,6.0,1.0,1.0,0.7321,0.0025,1.19907
3.9,1.40762,0.0,5.0,1.0,0.0,0.65161,0.0025,0.95256
4.0,1.1173,0.0,4.0,1.0,0.0,0.56946,0.0025,0.75697
4.1,0.88799,0.0,4.0,0.0,0.0,0.49111,0.0025,0.6018
4.2,0.70461,0.0,3.0,0.0,0.0,0.41666,0.0025,0.47753
4.3,0.55995,0.0,3.0,0.0,0.0,0.35108,0.0025,0.37983
4.4,0.4441,0.0,2.0,0.0,0.0,0.2922,0.0025,0.30111
4.5,0.35244,0.0,2.0,0.0,0.0,0.24238,0.0025,0.23947
4.6,0.27882,0.0,2.0,0.0,0.0,0.19866,0.0025,0.1896
4.7,0.22057,0.0,2.0,0.0,0.0,0.1617,0.0025,0.14999
4.8,0.17368,0.0,1.0,0.0,0.0,0.13027,0.0025,0.11792
4.9,0.13742,0.0,1.0,0.0,0.0,0.10538,0.0025,0.09271
5.0,0.10862,0.0,1.0,0.0,0.0,0.08508,0.0025,0.07341
5.1,0.08581,0.0,1.0,0.0,0.0,0.06812,0.0025,0.05768
5.2,0.06752,0.0,1.0,0.0,0.0,0.05428,0.0025,0.04543
5.3,0.05269,0.0,1.0,0.0,0.0,0.0431,0.0025,0.03552
5.4,0.04096,0.0,1.0,0.0,0.0,0.03383,0.0025,0.02737
5.5,0.03193,0.0,1.0,0.0,0.0,0.02671,0.0025,0.02119
5.6,0.02458,0.0,0.0,0.0,0.0,0.02061,0.0025,0.01616
5.7,0.01886,0.0,0.0,0.0,0.0,0.01595,0.0025,0.01231
5.8,0.01419,0.0,0.0,0.0,0.0,0.01228,0.0025,0.00938
5.9,0.01079,0.0,0.0,0.0,0.0,0.00942,0.00249,0.00721
6.0,0.00825,0.0,0.0,0.0,0.0,0.0072,0.00249,0.00544
6.1,0.00607,0.0,0.0,0.0,0.0,0.0054,0.00222,0.00399
6.2,0.00409,0.0,0.0,0.0,0.0,0.00364,0.00161,0.00263
6.3,0.00298,0.0,0.0,0.0,0.0,0.0027,0.00138,0.00198
6.4,0.00212,0.0,0.0,0.0,0.0,0.00195,0.00118,0.00145
6.5,0.0016,0.0,0.0,0.0,0.0,0.00148,9.9E-4,0.0011
6.6,0.00139,0.0,0.0,0.0,0.0,0.00128,9.2E-4,9.8E-4
6.7,0.00112,0.0,0.0,0.0,0.0,0.00102,8.0E-4,7.8E-4
6.8,9.3E-4,0.0,0.0,0.0,0.0,8.8E-4,7.4E-4,6.6E-4
6.9,7.4E-4,0.0,0.0,0.0,0.0,7.0E-4,6.2E-4,5.2E-4
7.0,6.2E-4,0.0,0.0,0.0,0.0,5.9E-4,5.3E-4,4.2E-4
7.1,4.8E-4,0.0,0.0,0.0,0.0,4.6E-4,4.6E-4,3.5E-4
7.2,3.5E-4,0.0,0.0,0.0,0.0,3.4E-4,3.4E-4,2.4E-4
7.3,2.5E-4,0.0,0.0,0.0,0.0,2.5E-4,2.5E-4,1.7E-4
7.4,2.3E-4,0.0,0.0,0.0,0.0,2.3E-4,2.3E-4,1.7E-4
7.5,1.9E-4,0.0,0.0,0.0,0.0,1.9E-4,1.9E-4,1.4E-4
7.6,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,6.0E-5
7.7,5.0E-5,0.0,0.0,0.0,0.0,5.0E-5,5.0E-5,2.0E-5
7.8,3.0E-5,0.0,0.0,0.0,0.0,3.0E-5,3.0E-5,2.0E-5
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
