Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km)
Airport Lake,"358, 50, -90",0,,0,,12.124,2.716,12.221,2.716
Little Lake,"327, 90, 180",0,,0,,16.936,4.928,16.936,4.928
Tank Canyon,"189, 50, -90",0,,0,,17.039,16.895,17.039,16.895
So Sierra Nevada,"3, 50, -90",0,,0,,22.039,21.742,22.039,21.742
Garlock (Central),"71, 90, 0",0,,0,,22.766,10.797,22.766,10.797
Blackwater,"319, 90, 180",0,,0,,29.622,27.613,29.622,27.613
Panamint Valley,"346, 90, -150",0,,0,,34.237,22.311,34.350,22.425
Ash Hill,"161, 90, 180",0,,0,,35.431,27.240,35.690,27.529
