Parent ID,Parent Name,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
144,Little Lake,0.03968,0.01358,0.01939,0.02413,0.03209,0.03901,0.0238
16,Little Salmon (Offshore),0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Little Salmon (Onshore),0.0,0.0,0.0,0.0,0.0,0.0,0.0
683,Los Alamos 2011 CFM,3.0E-5,0.0,1.0E-5,1.0E-5,3.0E-5,3.0E-5,1.0E-5
780,Los Alamos extension,3.0E-5,0.0,1.0E-5,1.0E-5,3.0E-5,3.0E-5,1.0E-5
643,Los Medanos - Roe Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Los Osos 2011,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
201,Lost Hills,6.0E-5,1.0E-5,1.0E-5,3.0E-5,3.0E-5,6.0E-5,1.0E-5
166,Ludlow,7.0E-5,2.0E-5,3.0E-5,3.0E-5,4.0E-5,7.0E-5,2.0E-5
644,Maacama 2011 CFM,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
22,Mad River (alt1),0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,Malibu Coast (Extension) alt 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,Malibu Coast alt 1,2.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,2.0E-5,1.0E-5
164,Manix-Afton Hills,2.7E-4,1.0E-5,4.0E-5,7.0E-5,1.6E-4,2.5E-4,1.0E-5
21,McKinleyville (alt1),0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,McLean Lake,0.00295,3.3E-4,6.7E-4,8.9E-4,0.00175,0.00293,2.0E-4
13,Mendocino,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,Mission (connected) 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,Mission Creek,1.1E-4,5.0E-5,6.0E-5,6.0E-5,1.0E-4,1.1E-4,8.0E-5
779,Mission Hills 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Mission Ridge-Arroyo Parida-Santa Ana,6.0E-5,1.0E-5,2.0E-5,2.0E-5,2.0E-5,5.0E-5,2.0E-5
686,Mohawk Valley 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
707,Mono Lake 2011 CFM,2.0E-5,0.0,0.0,0.0,1.0E-5,2.0E-5,0.0
646,Monte Vista - Shannon 2011 CFM,1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5
11,Monterey Bay-Tularcitos,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
188,Morales (East),0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Morales (West),0.0,0.0,0.0,0.0,0.0,0.0,0.0
711,Mount Diablo Thrust North CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
713,Mount Diablo Thrust South,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
156,Nelson Lake,0.0011,8.0E-5,2.5E-4,3.1E-4,6.2E-4,0.00107,7.0E-5
122,Newport-Inglewood (Offshore),2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,0.0
235,Newport-Inglewood alt 1,3.0E-5,0.0,0.0,0.0,2.0E-5,3.0E-5,0.0
83,North Frontal  (East),0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,North Frontal  (West),1.0E-5,0.0,1.0E-5,1.0E-5,1.0E-5,1.0E-5,0.0
199,North Salt Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687,North Tahoe 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Northridge,4.0E-5,0.0,0.0,0.0,1.0E-5,4.0E-5,0.0
211,Northridge Hills,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
116,Oak Ridge (Onshore),8.0E-5,2.0E-5,2.0E-5,2.0E-5,3.0E-5,8.0E-5,3.0E-5
709,Oceanic - West Huasna,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5
777,Oceanside alt1,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,0.0
921,Ortigalita (North),2.0E-5,0.0,1.0E-5,1.0E-5,2.0E-5,2.0E-5,0.0
9,Ortigalita (South),1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
64,Owens Valley,1.2E-4,3.0E-5,4.0E-5,5.0E-5,9.0E-5,1.2E-4,3.0E-5
891,Owens Valley Keough Hot Springs,2.0E-5,0.0,1.0E-5,1.0E-5,1.0E-5,2.0E-5,0.0
47,Owl Lake,0.02618,0.00746,0.0114,0.01453,0.02023,0.0261,0.01046
841,Ozena,1.0E-5,0.0,0.0,1.0E-5,1.0E-5,1.0E-5,0.0
109,Palos Verdes,9.0E-5,0.0,0.0,0.0,2.0E-5,9.0E-5,1.0E-5
244,Panamint Valley,0.0308,0.00765,0.0122,0.01592,0.02292,0.0301,0.0117
162,Paradise,6.7E-4,7.0E-5,1.3E-4,2.4E-4,4.5E-4,6.7E-4,8.0E-5
186,Peralta Hills,0.0,0.0,0.0,0.0,0.0,0.0,0.0
647,Pilarcitos 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Pine Mtn,6.0E-5,1.0E-5,1.0E-5,3.0E-5,4.0E-5,6.0E-5,1.0E-5
93,Pinto Mtn,1.4E-4,1.0E-5,1.0E-5,1.0E-5,1.0E-4,1.3E-4,1.0E-5
89,Pisgah-Bullion Mtn-Mesquite Lk,2.0E-5,2.0E-5,2.0E-5,2.0E-5,2.0E-5,2.0E-5,1.0E-5
212,Pitas Point (Lower West),4.0E-5,0.0,1.0E-5,1.0E-5,2.0E-5,4.0E-5,1.0E-5
215,Pitas Point (Lower)-Montalvo,3.0E-5,0.0,1.0E-5,1.0E-5,1.0E-5,3.0E-5,1.0E-5
688,Pittville 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Pleito,1.3E-4,1.0E-5,1.0E-5,2.0E-5,6.0E-5,1.2E-4,2.0E-5
666,Point Reyes 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
843,Point Reyes 2011 connector,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,Polaris 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,Puente Hills,2.0E-5,1.0E-5,1.0E-5,1.0E-5,2.0E-5,2.0E-5,1.0E-5
648,Quien Sabe 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Raymond,8.0E-5,1.0E-5,1.0E-5,1.0E-5,3.0E-5,8.0E-5,1.0E-5
118,Red Mountain,1.4E-4,2.0E-5,3.0E-5,4.0E-5,6.0E-5,1.0E-4,2.0E-5
161,Red Pass,8.0E-5,1.0E-5,2.0E-5,3.0E-5,6.0E-5,8.0E-5,1.0E-5
232,Redondo Canyon alt 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649,Reliz 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Richfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,Rinconada 2011 CFM,2.0E-5,0.0,1.0E-5,1.0E-5,1.0E-5,2.0E-5,1.0E-5
38,Robinson Creek,0.0,0.0,0.0,0.0,0.0,0.0,0.0
