Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,2290.6472,1754.0,5395.0,2019.0,1942.0,1.0,0.20384459,1431.3247
2.6,1819.496,1387.0,4285.0,1605.0,1519.0,1.0,0.20384459,1136.9425
2.7,1445.2496,1097.0,3406.0,1275.0,1221.0,1.0,0.20384459,903.1198
2.8,1147.9948,867.0,2709.0,1014.0,979.0,1.0,0.20384459,717.39325
2.9,911.8273,684.0,2152.0,806.0,764.0,1.0,0.20384459,569.8147
3.0,724.259,539.0,1708.0,641.0,621.0,1.0,0.20384459,452.6455
3.1,575.26465,424.0,1358.0,509.0,481.0,1.0,0.20384459,359.50943
3.2,456.93192,333.0,1079.0,405.0,385.0,1.0,0.20384459,285.56924
3.3,362.95105,262.0,855.0,322.0,314.0,1.0,0.20384459,226.83403
3.4,288.26453,205.0,681.0,256.0,248.0,1.0,0.20384459,180.16591
3.5,228.96231,160.0,542.0,204.0,194.0,1.0,0.20384459,143.09415
3.6,181.79938,125.0,430.0,162.0,155.0,1.0,0.20384459,113.62592
3.7,144.38127,97.0,342.0,129.0,123.0,1.0,0.20384459,90.23337
3.8,114.64359,75.0,273.0,102.0,97.0,1.0,0.20384459,71.65936
3.9,91.038124,58.0,217.0,81.0,76.0,1.0,0.20384459,56.900692
4.0,72.286255,44.0,173.0,65.0,60.0,1.0,0.20384459,45.18721
4.1,57.379375,34.0,138.0,51.0,49.0,1.0,0.20384459,35.866985
4.2,45.533985,26.0,110.0,41.0,39.0,1.0,0.20384459,28.463375
4.3,36.13405,19.0,88.0,32.0,31.0,1.0,0.20384459,22.585966
4.4,28.659477,14.0,70.0,26.0,23.0,1.0,0.20384459,17.921846
4.5,22.725536,10.0,56.0,20.0,20.0,1.0,0.20384459,14.208009
4.6,18.01747,8.0,45.0,16.0,15.0,1.0,0.20384459,11.266898
4.7,14.282156,5.0,36.0,13.0,12.0,0.99997914,0.20384459,8.929484
4.8,11.30835,4.0,29.0,10.0,9.0,0.99978083,0.20384459,7.0771527
4.9,8.948353,2.0,23.0,8.0,7.0,0.999019,0.20384459,5.6045732
5.0,7.072154,2.0,19.0,6.0,6.0,0.9957213,0.20384459,4.429062
5.1,5.5826783,1.0,15.0,5.0,4.0,0.98730993,0.20384459,3.4961858
5.2,4.399497,0.0,13.0,4.0,3.0,0.9692976,0.20384459,2.759181
5.3,3.4545987,0.0,10.0,3.0,2.0,0.9365184,0.20384459,2.1687279
5.4,2.7078571,0.0,8.0,2.0,2.0,0.88672864,0.20384459,1.7019713
5.5,2.1156716,0.0,7.0,2.0,1.0,0.821786,0.20384459,1.3318723
5.6,1.6453148,0.0,6.0,1.0,1.0,0.7432871,0.20383415,1.039479
5.7,1.2709371,0.0,5.0,1.0,0.0,0.6550828,0.20383415,0.80410755
5.8,0.9740668,0.0,4.0,1.0,0.0,0.5633616,0.20383415,0.6181188
5.9,0.7415026,0.0,3.0,0.0,0.0,0.47487554,0.20381328,0.47274664
6.0,0.5789424,0.0,3.0,0.0,0.0,0.39860994,0.20377153,0.3693059
6.1,0.43949783,0.0,2.0,0.0,0.0,0.32543334,0.18698016,0.2851925
6.2,0.28808323,0.0,2.0,0.0,0.0,0.23018482,0.14228317,0.18823247
6.3,0.21604416,0.0,2.0,0.0,0.0,0.1804264,0.1188963,0.14190747
