Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,2992.484,2191.0,8100.0,2576.0,2497.0,1.0,0.24813472,1690.2599
2.6,2376.876,1735.0,6422.0,2047.0,1891.0,1.0,0.24813472,1342.5282
2.7,1888.0264,1373.0,5097.0,1628.0,1557.0,1.0,0.24813472,1066.3495
2.8,1499.6555,1086.0,4063.0,1293.0,1215.0,1.0,0.24813472,847.10974
2.9,1191.1854,858.0,3235.0,1027.0,966.0,1.0,0.24813472,672.9658
3.0,946.2087,678.0,2567.0,817.0,776.0,1.0,0.24813472,534.5869
3.1,751.5735,535.0,2033.0,650.0,610.0,1.0,0.24813472,424.66083
3.2,597.01764,421.0,1615.0,516.0,471.0,1.0,0.24813472,337.3319
3.3,474.20056,332.0,1287.0,410.0,389.0,1.0,0.24813472,267.94467
3.4,376.6285,260.0,1023.0,326.0,319.0,1.0,0.24813472,212.79025
3.5,299.2117,203.0,815.0,259.0,243.0,1.0,0.24813472,168.9918
3.6,237.61617,159.0,650.0,206.0,198.0,1.0,0.24813472,134.22067
3.7,188.68373,124.0,511.0,164.0,154.0,1.0,0.24813472,106.573364
3.8,149.78746,97.0,406.0,130.0,121.0,1.0,0.24813472,84.60119
3.9,118.90254,75.0,324.0,104.0,98.0,1.0,0.24813472,67.16798
4.0,94.42762,57.0,257.0,83.0,79.0,1.0,0.24813472,53.374092
4.1,74.95171,44.0,204.0,66.0,62.0,1.0,0.24813472,42.346375
4.2,59.468655,33.0,164.0,52.0,48.0,1.0,0.24813472,33.60767
4.3,47.187202,25.0,129.0,41.0,36.0,1.0,0.24813472,26.65482
4.4,37.38995,19.0,103.0,33.0,32.0,1.0,0.24813472,21.138134
4.5,29.662125,14.0,81.0,26.0,24.0,1.0,0.24813472,16.76601
4.6,23.55088,10.0,64.0,21.0,18.0,1.0,0.24813472,13.313472
4.7,18.649118,7.0,51.0,16.0,14.0,1.0,0.24813472,10.539793
4.8,14.757772,5.0,41.0,13.0,12.0,1.0,0.24813472,8.346425
4.9,11.673161,4.0,32.0,10.0,9.0,0.9999482,0.24813472,6.60886
5.0,9.22057,2.0,26.0,8.0,7.0,0.99901557,0.24813472,5.22
5.1,7.297876,1.0,21.0,6.0,5.0,0.9952332,0.24813472,4.136943
5.2,5.7448187,1.0,17.0,5.0,4.0,0.98678756,0.24813472,3.258601
5.3,4.5154405,0.0,14.0,4.0,3.0,0.96787566,0.24813472,2.5638342
5.4,3.5403626,0.0,11.0,3.0,2.0,0.9342487,0.24813472,2.016425
5.5,2.7640414,0.0,9.0,2.0,2.0,0.8847668,0.24813472,1.5760103
5.6,2.1507254,0.0,7.0,2.0,1.0,0.8184456,0.24813472,1.2343005
5.7,1.6607772,0.0,6.0,1.0,1.0,0.73989636,0.24813472,0.9550259
5.8,1.2704663,0.0,5.0,1.0,0.0,0.65005183,0.24813472,0.7311399
5.9,0.9649741,0.0,4.0,1.0,0.0,0.55740935,0.2480829,0.5564767
6.0,0.75093263,0.0,3.0,0.0,0.0,0.47279793,0.24797927,0.43222797
6.1,0.5654922,0.0,3.0,0.0,0.0,0.39015543,0.2277202,0.3335233
6.2,0.37051815,0.0,2.0,0.0,0.0,0.280829,0.17471503,0.21901554
6.3,0.27663213,0.0,2.0,0.0,0.0,0.22227979,0.14668393,0.16450778
6.4,0.2158031,0.0,2.0,0.0,0.0,0.17658031,0.12658031,0.12725389
6.5,0.16761658,0.0,1.0,0.0,0.0,0.14217617,0.10994819,0.101865284
6.6,0.13699482,0.0,1.0,0.0,0.0,0.121606216,0.09911917,0.08709844
6.7,0.11642487,0.0,1.0,0.0,0.0,0.10512953,0.08823834,0.07518135
6.8,0.097668394,0.0,1.0,0.0,0.0,0.09031088,0.078238346,0.06409326
6.9,0.07849741,0.0,1.0,0.0,0.0,0.07409327,0.066165805,0.05160622
7.0,0.0665285,0.0,1.0,0.0,0.0,0.064300515,0.059378237,0.04430052
7.1,0.0592228,0.0,1.0,0.0,0.0,0.05761658,0.054818653,0.04015544
7.2,0.046062175,0.0,1.0,0.0,0.0,0.045336787,0.04388601,0.030777203
7.3,0.03253886,0.0,1.0,0.0,0.0,0.03212435,0.03134715,0.02103627
7.4,0.028445596,0.0,1.0,0.0,0.0,0.028031088,0.027668394,0.018393783
7.5,0.022176165,0.0,0.0,0.0,0.0,0.0219171,0.021761658,0.014559586
7.6,0.011813471,0.0,0.0,0.0,0.0,0.011709845,0.011709845,0.0075129536
7.7,0.003523316,0.0,0.0,0.0,0.0,0.003523316,0.003523316,0.0021761658
7.8,0.0019689118,0.0,0.0,0.0,0.0,0.0019689118,0.0019689118,0.0012435233
7.9,0.0011917099,0.0,0.0,0.0,0.0,0.0011917099,0.0011917099,5.6994817E-4
8.0,4.1450778E-4,0.0,0.0,0.0,0.0,4.1450778E-4,4.1450778E-4,1.03626946E-4
8.1,1.5544042E-4,0.0,0.0,0.0,0.0,1.5544042E-4,1.5544042E-4,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
