Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob,Primary Aftershocks Mean
2.5,0.38286,0.0,2.0,0.0,0.0,0.30094,2.0E-5,0.35781
2.6,0.30457,0.0,2.0,0.0,0.0,0.24845,2.0E-5,0.28436
2.7,0.24169,0.0,2.0,0.0,0.0,0.20315,2.0E-5,0.22553
2.8,0.19212,0.0,1.0,0.0,0.0,0.16522,2.0E-5,0.17912
2.9,0.15233,0.0,1.0,0.0,0.0,0.13342,2.0E-5,0.14206
3.0,0.12173,0.0,1.0,0.0,0.0,0.10809,2.0E-5,0.11335
3.1,0.09654,0.0,1.0,0.0,0.0,0.08704,2.0E-5,0.08992
3.2,0.0771,0.0,1.0,0.0,0.0,0.07017,2.0E-5,0.07182
3.3,0.06168,0.0,1.0,0.0,0.0,0.05662,2.0E-5,0.05738
3.4,0.04876,0.0,1.0,0.0,0.0,0.04509,2.0E-5,0.04534
3.5,0.0388,0.0,1.0,0.0,0.0,0.03617,2.0E-5,0.03616
3.6,0.03088,0.0,1.0,0.0,0.0,0.02898,2.0E-5,0.02873
3.7,0.02451,0.0,0.0,0.0,0.0,0.02311,2.0E-5,0.02282
3.8,0.0193,0.0,0.0,0.0,0.0,0.01825,2.0E-5,0.01798
3.9,0.01508,0.0,0.0,0.0,0.0,0.01425,2.0E-5,0.01403
4.0,0.01177,0.0,0.0,0.0,0.0,0.01126,2.0E-5,0.011
4.1,0.00939,0.0,0.0,0.0,0.0,0.009,2.0E-5,0.00876
4.2,0.00733,0.0,0.0,0.0,0.0,0.00698,2.0E-5,0.00676
4.3,0.006,0.0,0.0,0.0,0.0,0.00574,2.0E-5,0.00551
4.4,0.0049,0.0,0.0,0.0,0.0,0.00473,2.0E-5,0.00452
4.5,0.00384,0.0,0.0,0.0,0.0,0.0037,2.0E-5,0.00355
4.6,0.00294,0.0,0.0,0.0,0.0,0.00285,2.0E-5,0.00273
4.7,0.00222,0.0,0.0,0.0,0.0,0.00215,2.0E-5,0.00203
4.8,0.0017,0.0,0.0,0.0,0.0,0.00166,2.0E-5,0.00154
4.9,0.0014,0.0,0.0,0.0,0.0,0.00136,2.0E-5,0.00125
5.0,0.00105,0.0,0.0,0.0,0.0,0.00102,2.0E-5,9.4E-4
5.1,7.3E-4,0.0,0.0,0.0,0.0,7.1E-4,2.0E-5,6.4E-4
5.2,5.8E-4,0.0,0.0,0.0,0.0,5.6E-4,2.0E-5,5.2E-4
5.3,3.9E-4,0.0,0.0,0.0,0.0,3.7E-4,2.0E-5,3.6E-4
5.4,3.3E-4,0.0,0.0,0.0,0.0,3.2E-4,2.0E-5,3.2E-4
5.5,2.8E-4,0.0,0.0,0.0,0.0,2.7E-4,2.0E-5,2.7E-4
5.6,2.5E-4,0.0,0.0,0.0,0.0,2.4E-4,2.0E-5,2.4E-4
5.7,1.9E-4,0.0,0.0,0.0,0.0,1.9E-4,2.0E-5,1.9E-4
5.8,1.5E-4,0.0,0.0,0.0,0.0,1.5E-4,2.0E-5,1.5E-4
5.9,8.0E-5,0.0,0.0,0.0,0.0,8.0E-5,2.0E-5,8.0E-5
6.0,7.0E-5,0.0,0.0,0.0,0.0,7.0E-5,2.0E-5,7.0E-5
6.1,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,2.0E-5,6.0E-5
6.2,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,1.0E-5,4.0E-5
6.3,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0,1.0E-5
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
