Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,Fault System Solution,500 yr Probability,500 yr Supra-Seis Prob
5.0,7.287588,6.736,7.924,7.27,7.254,8.608642,1.0,1.0
5.1,5.764126,5.31,6.266,5.754,5.692,6.830068,1.0,1.0
5.2,4.558664,4.18,4.964,4.554,4.704,5.4173,1.0,1.0
5.3,3.599166,3.282,3.948,3.596,3.628,4.2950974,1.0,1.0
5.4,2.836016,2.58,3.116,2.834,2.846,3.4037008,1.0,1.0
5.5,2.230812,2.022,2.464,2.228,2.264,2.6956394,1.0,1.0
5.6,1.749704,1.572,1.94,1.746,1.734,2.1332066,1.0,1.0
5.7,1.366856,1.22,1.53,1.364,1.35,1.6863642,1.0,1.0
5.8,1.062992,0.938,1.198,1.062,1.044,1.3311276,1.0,1.0
5.9,0.810826,0.712,0.918,0.808,0.802,1.0356472,1.0,1.0
6.0,0.64224,0.558,0.734,0.64,0.646,0.83624506,1.0,1.0
6.1,0.494334,0.424,0.572,0.494,0.484,0.66032434,1.0,1.0
6.2,0.389994,0.328,0.456,0.388,0.396,0.5290011,1.0,1.0
6.3,0.307954,0.258,0.364,0.306,0.316,0.42016467,1.0,1.0
6.4,0.240164,0.2,0.288,0.238,0.238,0.33243415,1.0,1.0
6.5,0.184784,0.15,0.226,0.184,0.186,0.2601263,1.0,1.0
6.6,0.143452,0.114,0.176,0.142,0.142,0.20548344,1.0,1.0
6.7,0.109834,0.084,0.14,0.11,0.102,0.16021843,1.0,1.0
6.8,0.086078,0.066,0.108,0.086,0.08,0.12689023,1.0,1.0
6.9,0.06689,0.048,0.086,0.066,0.07,0.09975841,1.0,1.0
7.0,0.05189,0.034,0.068,0.052,0.052,0.077940285,1.0,1.0
7.1,0.039164,0.026,0.054,0.038,0.038,0.05961322,1.0,1.0
7.2,0.029262,0.018,0.042,0.028,0.028,0.045241926,1.0,1.0
7.3,0.022848,0.012,0.034,0.022,0.022,0.035294022,1.0,1.0
7.4,0.017498,0.01,0.028,0.018,0.018,0.026938815,1.0,1.0
7.5,0.012402,0.006,0.02,0.012,0.01,0.019023713,1.0,1.0
7.6,0.009186,0.004,0.016,0.008,0.008,0.013821237,1.0,1.0
7.7,0.006476,0.002,0.012,0.006,0.006,0.009578903,0.999,0.999
7.8,0.004496,0.002,0.008,0.004,0.004,0.006191872,0.982,0.982
7.9,0.002444,0.0,0.006,0.002,0.002,0.0035149523,0.808,0.808
8.0,0.001322,0.0,0.004,0.002,0.0,0.0020316083,0.548,0.548
8.1,6.08E-4,0.0,0.002,0.0,0.0,0.0010248122,0.281,0.281
8.2,2.38E-4,0.0,0.002,0.0,0.0,4.4834707E-4,0.118,0.118
8.3,6.2E-5,0.0,0.002,0.0,0.0,1.0199686E-4,0.031,0.031
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
