Magnitude,Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
5.0,8.3553,8.2625,7.7875,1.2728924,6.2,7.075,9.55,11.125
5.1,6.627475,6.5375,6.275,1.0207808,4.9125,5.6,7.6125,8.875
5.2,5.252675,5.175,4.675,0.82492363,3.8375,4.425,6.0125,7.0875
5.3,4.1639624,4.1125,4.0375,0.6641732,3.0625,3.5125,4.7875,5.675
5.4,3.2981625,3.25,3.25,0.53595674,2.45,2.7625,3.8125,4.525
5.5,2.609275,2.575,2.6,0.43427247,1.9125,2.175,3.0375,3.5875
5.6,2.0621874,2.025,1.8625,0.3575145,1.475,1.725,2.4,2.85
5.7,1.623325,1.6,1.5,0.29063794,1.1375,1.325,1.9,2.2625
5.8,1.2796375,1.2625,1.25,0.2360833,0.8875,1.0375,1.5125,1.825
5.9,0.995625,0.975,1.0125,0.19389515,0.675,0.8,1.1875,1.45
6.0,0.805075,0.7875,0.7625,0.1633267,0.5375,0.6375,0.9625,1.1625
6.1,0.6355375,0.625,0.55,0.13796522,0.4,0.5,0.775,0.925
6.2,0.5104625,0.5,0.5,0.11524935,0.3125,0.4,0.625,0.75
6.3,0.4082375,0.4,0.4,0.095921196,0.2375,0.3125,0.5,0.6125
6.4,0.3272375,0.325,0.325,0.08150678,0.1875,0.25,0.4125,0.5
6.5,0.25635,0.25,0.2625,0.069113255,0.1375,0.1875,0.325,0.4125
6.6,0.2027125,0.2,0.2,0.059682373,0.1,0.15,0.2625,0.3375
6.7,0.1583,0.15,0.1625,0.050691392,0.075,0.1125,0.2,0.275
6.8,0.1249875,0.125,0.125,0.042651646,0.05,0.0875,0.1625,0.225
6.9,0.09875,0.1,0.0875,0.03620339,0.0375,0.0625,0.1375,0.1875
7.0,0.0778875,0.075,0.0625,0.031765983,0.025,0.05,0.1125,0.15
7.1,0.059825,0.05,0.05,0.027182637,0.0125,0.0375,0.0875,0.125
7.2,0.0466,0.05,0.0375,0.02304688,0.0125,0.025,0.0625,0.1
7.3,0.0375625,0.0375,0.0375,0.01957928,0.0,0.0125,0.0625,0.075
7.4,0.0291,0.025,0.025,0.017186051,0.0,0.0125,0.05,0.0625
7.5,0.020025,0.0125,0.0125,0.013559895,0.0,0.0125,0.0375,0.05
7.6,0.015125,0.0125,0.0125,0.010830012,0.0,0.0,0.025,0.0375
7.7,0.0104125,0.0125,0.0125,0.008870726,0.0,0.0,0.0125,0.025
7.8,0.0076,0.0125,0.0125,0.007381191,0.0,0.0,0.0125,0.025
7.9,0.0043625,0.0,0.0,0.006116556,0.0,0.0,0.0125,0.0125
8.0,0.0023625,0.0,0.0,0.004928147,0.0,0.0,0.0125,0.0125
8.1,8.75E-4,0.0,0.0,0.0031909335,0.0,0.0,0.0,0.0125
8.2,2.75E-4,0.0,0.0,0.0018344591,0.0,0.0,0.0,0.0
8.3,7.5E-5,0.0,0.0,9.6581975E-4,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
