Subsection Index,Subsection Name,Total Mean Annual Rate,Total 500 Year Prob
0,"Airport Lake, Subsection 0",1.438515E-4,0.07192575
1,"Airport Lake, Subsection 1",1.5777262E-4,0.07656612
2,"Airport Lake, Subsection 2",1.3457077E-4,0.06728538
3,"Airport Lake, Subsection 3",1.299304E-4,0.064965196
4,"Airport Lake, Subsection 4",1.2064965E-4,0.060324825
5,"Airport Lake, Subsection 5",8.816706E-5,0.04408353
6,"Almanor 2011 CFM, Subsection 0",6.6821347E-4,0.29466358
7,"Almanor 2011 CFM, Subsection 1",7.099768E-4,0.31090486
8,"Almanor 2011 CFM, Subsection 2",7.3317863E-4,0.31554523
9,"Almanor 2011 CFM, Subsection 3",7.37819E-4,0.31786543
10,"Almanor 2011 CFM, Subsection 4",7.424594E-4,0.3201856
11,"Almanor 2011 CFM, Subsection 5",7.424594E-4,0.3201856
12,"Almanor 2011 CFM, Subsection 6",6.12529E-4,0.28074247
13,"Anacapa-Dume alt 1, Subsection 0",1.1136891E-4,0.055684455
14,"Anacapa-Dume alt 1, Subsection 1",1.2529003E-4,0.06264501
15,"Anacapa-Dume alt 1, Subsection 2",1.299304E-4,0.064965196
16,"Anacapa-Dume alt 1, Subsection 3",1.2529003E-4,0.06264501
17,"Anacapa-Dume alt 1, Subsection 4",6.0324826E-5,0.030162413
18,"Anaheim, Subsection 0",2.3201856E-5,0.011600928
19,"Anaheim, Subsection 1",4.640371E-5,0.023201857
20,"Anaheim, Subsection 2",4.640371E-5,0.023201857
21,"Antelope Valley 2011, Subsection 0",3.712297E-4,0.18097448
22,"Antelope Valley 2011, Subsection 1",4.0835267E-4,0.19721578
23,"Antelope Valley 2011, Subsection 2",4.5475637E-4,0.22041763
24,"Antelope Valley 2011, Subsection 3",4.0835267E-4,0.19721578
25,"Antelope Valley 2011, Subsection 4",3.5730857E-4,0.17633411
26,"Antelope Valley 2011, Subsection 5",3.062645E-4,0.15081206
27,"Ash Hill, Subsection 0",2.1809744E-4,0.109048724
28,"Ash Hill, Subsection 1",2.412993E-4,0.12064965
29,"Ash Hill, Subsection 2",2.9234338E-4,0.1438515
30,"Ash Hill, Subsection 3",3.2018562E-4,0.15313224
31,"Ash Hill, Subsection 4",3.4802785E-4,0.16705337
32,"Ash Hill, Subsection 5",3.1554524E-4,0.15313224
33,"Ash Hill, Subsection 6",2.9698375E-4,0.1438515
34,"Ash Hill, Subsection 7",2.7842226E-4,0.13689095
35,"Baker, Subsection 0",5.5684453E-5,0.027842227
36,"Baker, Subsection 1",7.888631E-5,0.039443154
37,"Baker, Subsection 2",7.888631E-5,0.039443154
38,"Baker, Subsection 3",7.888631E-5,0.039443154
39,"Baker, Subsection 4",8.3526684E-5,0.041763343
40,"Baker, Subsection 5",8.3526684E-5,0.041763343
41,"Baker, Subsection 6",8.3526684E-5,0.041763343
42,"Baker, Subsection 7",9.280742E-5,0.04408353
43,"Baker, Subsection 8",6.9605565E-5,0.034802783
44,"Baker, Subsection 9",6.0324826E-5,0.030162413
45,"Baker, Subsection 10",5.5684453E-5,0.027842227
46,"Baker, Subsection 11",5.5684453E-5,0.027842227
47,"Baker, Subsection 12",6.9605565E-5,0.034802783
48,"Baker, Subsection 13",6.49652E-5,0.032482598
49,"Bartlett Springs 2011 CFM, Subsection 0",9.327146E-4,0.42923433
50,"Bartlett Springs 2011 CFM, Subsection 1",9.37355E-4,0.43155453
51,"Bartlett Springs 2011 CFM, Subsection 2",8.4918796E-4,0.39675173
52,"Bartlett Springs 2011 CFM, Subsection 3",8.3062646E-4,0.387471
53,"Bartlett Springs 2011 CFM, Subsection 4",8.3526684E-4,0.387471
54,"Bartlett Springs 2011 CFM, Subsection 5",8.1670535E-4,0.38283062
