Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,500 yr Probability,500 yr Supra-Seis Prob
5.0,7.9320416,7.188,8.702,7.912,8.132,1.0,1.0
5.1,6.284116,5.686,6.884,6.27,6.384,1.0,1.0
5.2,4.973406,4.466,5.492,4.956,4.906,1.0,1.0
5.3,3.9331508,3.526,4.37,3.918,3.752,1.0,1.0
5.4,3.1058097,2.778,3.436,3.1,3.068,1.0,1.0
5.5,2.4517727,2.198,2.724,2.446,2.426,1.0,1.0
5.6,1.934102,1.736,2.146,1.93,1.88,1.0,1.0
5.7,1.5199676,1.346,1.692,1.512,1.502,1.0,1.0
5.8,1.1915127,1.058,1.334,1.188,1.156,1.0,1.0
5.9,0.91807425,0.814,1.042,0.914,0.914,1.0,1.0
6.0,0.7361949,0.648,0.832,0.732,0.724,1.0,1.0
6.1,0.57362413,0.504,0.652,0.572,0.572,1.0,1.0
6.2,0.45890024,0.398,0.532,0.458,0.444,1.0,1.0
6.3,0.36842692,0.318,0.43,0.368,0.374,1.0,1.0
6.4,0.29323435,0.248,0.348,0.292,0.294,1.0,1.0
6.5,0.22903016,0.192,0.27,0.228,0.226,1.0,1.0
6.6,0.18177262,0.15,0.216,0.18,0.178,1.0,1.0
6.7,0.14100696,0.112,0.172,0.142,0.144,1.0,1.0
6.8,0.11187471,0.086,0.138,0.112,0.11,1.0,1.0
6.9,0.08866357,0.068,0.11,0.088,0.092,1.0,1.0
7.0,0.070529,0.054,0.09,0.07,0.068,1.0,1.0
7.1,0.054167055,0.04,0.072,0.054,0.05,1.0,1.0
7.2,0.041058004,0.028,0.056,0.04,0.04,1.0,1.0
7.3,0.032825988,0.022,0.046,0.034,0.034,1.0,1.0
7.4,0.02562877,0.016,0.036,0.026,0.026,1.0,1.0
7.5,0.017981438,0.01,0.028,0.018,0.018,1.0,1.0
7.6,0.01337355,0.008,0.02,0.014,0.012,1.0,1.0
7.7,0.009276102,0.004,0.014,0.01,0.008,1.0,1.0
7.8,0.006459397,0.002,0.012,0.006,0.006,0.9953596,0.9953596
7.9,0.0035406032,0.0,0.008,0.004,0.004,0.9071926,0.9071926
8.0,0.001837587,0.0,0.006,0.002,0.002,0.6635731,0.6635731
8.1,8.6774945E-4,0.0,0.004,0.0,0.0,0.38051045,0.38051045
8.2,3.8979118E-4,0.0,0.002,0.0,0.0,0.19025522,0.19025522
8.3,7.424594E-5,0.0,0.002,0.0,0.0,0.03712297,0.03712297
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
