Subsection Index,Subsection Name,Total Mean Annual Rate,Total 500 Year Prob
0,"Airport Lake, Subsection 0",1.26E-4,0.063
1,"Airport Lake, Subsection 1",1.48E-4,0.074
2,"Airport Lake, Subsection 2",1.46E-4,0.073
3,"Airport Lake, Subsection 3",1.4E-4,0.07
4,"Airport Lake, Subsection 4",1.52E-4,0.075
5,"Airport Lake, Subsection 5",1.4E-4,0.069
6,"Almanor 2011 CFM, Subsection 0",9.54E-4,0.398
7,"Almanor 2011 CFM, Subsection 1",9.88E-4,0.412
8,"Almanor 2011 CFM, Subsection 2",8.52E-4,0.37
9,"Almanor 2011 CFM, Subsection 3",7.72E-4,0.342
10,"Almanor 2011 CFM, Subsection 4",8.04E-4,0.349
11,"Almanor 2011 CFM, Subsection 5",9.32E-4,0.399
12,"Almanor 2011 CFM, Subsection 6",8.72E-4,0.379
13,"Anacapa-Dume alt 1, Subsection 0",8.8E-5,0.044
14,"Anacapa-Dume alt 1, Subsection 1",1.16E-4,0.058
15,"Anacapa-Dume alt 1, Subsection 2",1.0E-4,0.049
16,"Anacapa-Dume alt 1, Subsection 3",9.4E-5,0.046
17,"Anacapa-Dume alt 1, Subsection 4",4.0E-5,0.02
18,"Anaheim, Subsection 0",5.6E-5,0.028
19,"Anaheim, Subsection 1",6.8E-5,0.034
20,"Anaheim, Subsection 2",3.4E-5,0.017
21,"Antelope Valley 2011, Subsection 0",4.16E-4,0.205
22,"Antelope Valley 2011, Subsection 1",4.46E-4,0.219
23,"Antelope Valley 2011, Subsection 2",3.48E-4,0.17
24,"Antelope Valley 2011, Subsection 3",3.22E-4,0.157
25,"Antelope Valley 2011, Subsection 4",4.18E-4,0.205
26,"Antelope Valley 2011, Subsection 5",3.84E-4,0.189
27,"Ash Hill, Subsection 0",3.76E-4,0.186
28,"Ash Hill, Subsection 1",3.94E-4,0.194
29,"Ash Hill, Subsection 2",2.8E-4,0.138
30,"Ash Hill, Subsection 3",2.46E-4,0.122
31,"Ash Hill, Subsection 4",2.38E-4,0.117
32,"Ash Hill, Subsection 5",2.36E-4,0.114
33,"Ash Hill, Subsection 6",3.62E-4,0.177
34,"Ash Hill, Subsection 7",3.44E-4,0.17
35,"Baker, Subsection 0",9.8E-5,0.049
36,"Baker, Subsection 1",1.1E-4,0.055
37,"Baker, Subsection 2",7.2E-5,0.036
38,"Baker, Subsection 3",7.2E-5,0.036
39,"Baker, Subsection 4",6.4E-5,0.032
40,"Baker, Subsection 5",5.6E-5,0.028
41,"Baker, Subsection 6",6.2E-5,0.031
42,"Baker, Subsection 7",6.6E-5,0.033
43,"Baker, Subsection 8",4.0E-5,0.02
44,"Baker, Subsection 9",3.6E-5,0.018
45,"Baker, Subsection 10",3.0E-5,0.015
46,"Baker, Subsection 11",3.6E-5,0.018
