Time (years),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0038630238,6.0,6.5889,5.0,4.0,0.0,6845.0,1.0,2.0,8.0,14.0
0.0077260477,11.0,13.3068,10.0,9.0,0.0,8149.0,4.0,6.0,14.0,26.0
0.011589072,17.0,21.8003,15.0,14.0,2.0,14346.0,7.0,10.0,21.0,41.0
0.015452095,18.0,29.8082,20.0,19.0,5.0,17464.0,11.0,15.0,28.0,58.0
0.019315118,20.0,37.6364,25.0,23.0,6.0,18997.0,14.0,19.0,34.0,79.0
0.023178143,21.0,44.7288,31.0,29.0,10.0,19972.0,18.0,24.0,41.0,98.0
0.027041167,24.0,53.8399,36.0,35.0,13.0,20719.0,22.0,28.0,48.0,117.0
0.03090419,27.0,61.4117,42.0,37.0,15.0,22295.0,26.0,33.0,55.0,134.0
0.034767214,31.0,69.1129,47.0,46.0,19.0,24133.0,30.0,37.0,62.0,158.0
0.038630236,33.0,76.8821,52.0,51.0,21.0,25328.0,35.0,42.0,69.0,182.0
0.04249326,36.0,85.5642,58.0,54.0,25.0,26352.0,39.0,47.0,76.0,202.0
0.046356287,38.0,93.6697,63.0,60.0,27.0,27104.0,43.0,52.0,83.0,229.0
0.05021931,42.0,102.0122,69.0,62.0,30.0,27805.0,47.0,57.0,91.0,253.0
0.054082334,43.0,109.4766,74.0,73.0,32.0,28321.0,52.0,61.0,98.0,272.0
0.057945356,45.0,117.1694,80.0,76.0,32.0,28779.0,56.0,66.0,105.0,295.0
0.06180838,48.0,125.0602,85.0,82.0,33.0,29187.0,60.0,71.0,112.0,317.0
0.06567141,53.0,132.972,91.0,86.0,37.0,29672.0,65.0,76.0,120.0,352.0
0.06953443,60.0,140.7327,97.0,89.0,37.0,30027.0,70.0,81.0,128.0,375.0
0.07339745,62.0,148.5561,102.0,96.0,39.0,30346.0,74.0,86.0,136.0,401.0
0.07726047,63.0,156.4781,108.0,101.0,44.0,30722.0,78.0,91.0,143.0,440.0
0.0811235,64.0,165.5919,114.0,108.0,46.0,31210.0,83.0,96.0,151.0,464.0
0.08498652,68.0,173.574,120.0,108.0,49.0,31517.0,87.0,101.0,159.0,491.0
0.088849545,70.0,181.4253,126.0,115.0,53.0,31785.0,92.0,106.0,167.0,513.0
0.09271257,73.0,189.4523,131.0,127.0,55.0,32012.0,97.0,111.0,175.0,537.0
0.096575595,76.0,197.4734,137.0,126.0,62.0,32212.0,101.0,116.0,183.0,566.0
0.10043862,79.0,205.107,143.0,137.0,67.0,32429.0,106.0,122.0,190.0,588.0
0.10430164,82.0,213.6069,148.0,134.0,70.0,32663.0,111.0,127.0,199.0,619.0
0.10816467,82.0,221.5885,154.0,141.0,80.0,32848.0,115.0,132.0,206.0,635.0
0.11202769,85.0,230.1487,160.0,142.0,87.0,33048.0,120.0,137.0,215.0,671.0
0.11589071,87.0,237.9876,166.0,154.0,94.0,33217.0,125.0,142.0,223.0,685.0
0.11975373,88.0,247.3929,172.0,158.0,98.0,33362.0,129.0,147.0,231.0,728.0
0.12361676,91.0,255.4352,177.0,169.0,106.0,33549.0,134.0,152.0,240.0,767.0
0.12747978,93.0,263.6086,183.0,161.0,113.0,33750.0,139.0,158.0,248.0,789.0
0.13134281,99.0,271.9737,189.0,174.0,113.0,33908.0,144.0,163.0,256.0,824.0
0.13520584,103.0,280.6743,195.0,173.0,116.0,34073.0,149.0,168.0,264.0,843.0
0.13906886,114.0,288.3559,201.0,178.0,120.0,34216.0,154.0,173.0,273.0,882.0
0.14293188,117.0,296.0807,207.0,183.0,123.0,34349.0,158.0,178.0,280.0,894.0
0.1467949,122.0,304.2265,213.0,190.0,126.0,34499.0,163.0,183.0,289.0,948.0
0.15065792,128.0,313.5979,218.0,207.0,130.0,34625.0,167.0,189.0,297.0,968.0
0.15452094,130.0,322.7927,224.0,214.0,135.0,34751.0,172.0,194.0,305.0,986.0
0.15838398,134.0,331.5817,231.0,211.0,144.0,34857.0,178.0,199.0,314.0,1019.0
0.162247,141.0,339.6019,237.0,225.0,149.0,34975.0,183.0,205.0,323.0,1041.0
0.16611002,143.0,347.6591,242.0,227.0,155.0,35117.0,188.0,210.0,331.0,1056.0
0.16997305,146.0,355.2024,248.0,234.0,157.0,35250.0,192.0,215.0,339.0,1068.0
0.17383607,146.0,363.295,254.0,234.0,160.0,35366.0,197.0,220.0,348.0,1098.0
0.17769909,151.0,371.7452,261.0,239.0,161.0,35471.0,202.0,226.0,357.0,1123.0
0.18156211,154.0,379.2845,266.0,256.0,167.0,35553.0,207.0,231.0,365.0,1147.0
0.18542515,157.0,386.6892,272.0,261.0,172.0,35666.0,211.0,237.0,374.0,1161.0
0.18928817,159.0,394.2439,278.0,268.0,174.0,35766.0,216.0,242.0,383.0,1188.0
0.19315119,165.0,402.018,284.0,268.0,178.0,35843.0,222.0,247.0,392.0,1216.0
0.19701421,167.0,410.0548,291.0,274.0,180.0,35935.0,227.0,252.0,401.0,1232.0
0.20087723,169.0,417.6068,297.0,287.0,185.0,36027.0,232.0,258.0,409.0,1242.0
0.20474026,173.0,426.2417,303.0,285.0,192.0,36092.0,236.0,263.0,419.0,1262.0
0.20860328,177.0,435.1741,309.0,289.0,198.0,36164.0,241.0,268.0,429.0,1307.0
0.2124663,177.0,443.9012,315.0,295.0,201.0,36220.0,247.0,274.0,438.0,1325.0
0.21632934,180.0,452.7257,321.0,311.0,202.0,36302.0,251.0,279.0,448.0,1357.0
0.22019236,184.0,461.4214,327.0,301.0,203.0,36392.0,256.0,284.0,456.0,1380.0
0.22405538,188.0,469.7278,334.0,303.0,212.0,36471.0,260.0,290.0,466.0,1410.0
0.2279184,191.0,477.8413,340.0,313.0,214.0,36574.0,266.0,295.0,474.0,1462.0
0.23178142,194.0,486.5023,346.0,312.0,217.0,36658.0,271.0,300.0,482.0,1485.0
0.23564444,197.0,495.5699,353.0,322.0,224.0,36754.0,276.0,306.0,491.0,1510.0
0.23950747,198.0,504.9182,359.0,337.0,233.0,36818.0,282.0,312.0,501.0,1545.0
0.2433705,199.0,513.9453,366.0,326.0,240.0,36907.0,287.0,317.0,511.0,1580.0
0.24723352,202.0,522.3987,371.0,331.0,245.0,36967.0,292.0,323.0,520.0,1613.0
0.25109655,204.0,530.5219,378.0,355.0,249.0,37064.0,297.0,328.0,529.0,1645.0
0.25495955,209.0,538.9876,384.0,361.0,253.0,37137.0,302.0,334.0,538.0,1669.0
0.2588226,213.0,547.8615,391.0,355.0,263.0,37177.0,307.0,339.0,548.0,1712.0
0.26268563,219.0,556.2728,397.0,363.0,265.0,37243.0,313.0,345.0,557.0,1734.0
0.26654863,221.0,565.2371,403.0,362.0,269.0,37319.0,318.0,350.0,567.0,1772.0
0.27041167,227.0,574.2352,409.0,372.0,276.0,37396.0,323.0,355.0,577.0,1788.0
0.27427468,229.0,582.6117,416.0,395.0,279.0,37537.0,327.0,361.0,586.0,1823.0
0.2781377,230.0,591.5266,422.0,400.0,281.0,37638.0,333.0,366.0,595.0,1854.0
0.28200072,232.0,600.0784,428.0,393.0,286.0,37698.0,337.0,372.0,605.0,1880.0
0.28586376,233.0,608.2745,435.0,396.0,290.0,37767.0,342.0,378.0,615.0,1917.0
