Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob
2.5,0.165,0.0,1.0,0.0,0.0,0.1233,1.0E-4
2.6,0.1321,0.0,1.0,0.0,0.0,0.1003,1.0E-4
2.7,0.1064,0.0,1.0,0.0,0.0,0.0814,1.0E-4
2.8,0.0835,0.0,1.0,0.0,0.0,0.0651,1.0E-4
2.9,0.0684,0.0,1.0,0.0,0.0,0.0542,1.0E-4
3.0,0.054,0.0,1.0,0.0,0.0,0.0435,1.0E-4
3.1,0.0426,0.0,1.0,0.0,0.0,0.0345,1.0E-4
3.2,0.0334,0.0,1.0,0.0,0.0,0.0274,1.0E-4
3.3,0.0271,0.0,0.0,0.0,0.0,0.0222,1.0E-4
3.4,0.021,0.0,0.0,0.0,0.0,0.0172,1.0E-4
3.5,0.016,0.0,0.0,0.0,0.0,0.013,1.0E-4
3.6,0.013,0.0,0.0,0.0,0.0,0.0109,1.0E-4
3.7,0.0111,0.0,0.0,0.0,0.0,0.0091,1.0E-4
3.8,0.0096,0.0,0.0,0.0,0.0,0.0077,1.0E-4
3.9,0.008,0.0,0.0,0.0,0.0,0.0066,1.0E-4
4.0,0.0059,0.0,0.0,0.0,0.0,0.0052,1.0E-4
4.1,0.0049,0.0,0.0,0.0,0.0,0.0043,1.0E-4
4.2,0.0041,0.0,0.0,0.0,0.0,0.0039,1.0E-4
4.3,0.0031,0.0,0.0,0.0,0.0,0.0029,1.0E-4
4.4,0.0022,0.0,0.0,0.0,0.0,0.0021,1.0E-4
4.5,0.0019,0.0,0.0,0.0,0.0,0.0019,1.0E-4
4.6,0.0016,0.0,0.0,0.0,0.0,0.0016,1.0E-4
4.7,0.0013,0.0,0.0,0.0,0.0,0.0013,1.0E-4
4.8,0.001,0.0,0.0,0.0,0.0,0.001,1.0E-4
4.9,8.0E-4,0.0,0.0,0.0,0.0,8.0E-4,1.0E-4
5.0,6.0E-4,0.0,0.0,0.0,0.0,6.0E-4,1.0E-4
5.1,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,1.0E-4
5.2,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,1.0E-4
5.3,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,1.0E-4
5.4,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,1.0E-4
5.5,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,1.0E-4
5.6,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
5.7,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
5.8,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
5.9,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
6.0,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
6.1,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
6.2,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
6.3,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
6.4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
6.5,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
6.6,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
6.7,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
6.8,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
6.9,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
