Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob
2.5,4.7423,0.0,10.0,3.0,3.0,0.9541,9.0E-4
2.6,3.7824,0.0,8.0,3.0,2.0,0.9178,9.0E-4
2.7,3.0054,0.0,7.0,2.0,1.0,0.8627,9.0E-4
2.8,2.3815,0.0,6.0,1.0,1.0,0.7925,9.0E-4
2.9,1.9063,0.0,5.0,1.0,1.0,0.7175,9.0E-4
3.0,1.5173,0.0,5.0,1.0,0.0,0.635,9.0E-4
3.1,1.2027,0.0,4.0,1.0,0.0,0.5542,9.0E-4
3.2,0.9522,0.0,3.0,0.0,0.0,0.4766,9.0E-4
3.3,0.7578,0.0,3.0,0.0,0.0,0.4078,9.0E-4
3.4,0.6012,0.0,2.0,0.0,0.0,0.3439,9.0E-4
3.5,0.4718,0.0,2.0,0.0,0.0,0.2791,9.0E-4
3.6,0.3783,0.0,2.0,0.0,0.0,0.2326,9.0E-4
3.7,0.3042,0.0,2.0,0.0,0.0,0.1923,9.0E-4
3.8,0.2409,0.0,2.0,0.0,0.0,0.1553,9.0E-4
3.9,0.1912,0.0,1.0,0.0,0.0,0.1271,9.0E-4
4.0,0.1516,0.0,1.0,0.0,0.0,0.1027,9.0E-4
4.1,0.1204,0.0,1.0,0.0,0.0,0.0829,9.0E-4
4.2,0.0948,0.0,1.0,0.0,0.0,0.0664,9.0E-4
4.3,0.0752,0.0,1.0,0.0,0.0,0.053,9.0E-4
4.4,0.0603,0.0,1.0,0.0,0.0,0.0421,9.0E-4
4.5,0.049,0.0,1.0,0.0,0.0,0.0345,9.0E-4
4.6,0.0395,0.0,1.0,0.0,0.0,0.0283,9.0E-4
4.7,0.0321,0.0,0.0,0.0,0.0,0.0232,9.0E-4
4.8,0.0251,0.0,0.0,0.0,0.0,0.0187,9.0E-4
4.9,0.0203,0.0,0.0,0.0,0.0,0.0158,9.0E-4
5.0,0.0159,0.0,0.0,0.0,0.0,0.0126,9.0E-4
5.1,0.0125,0.0,0.0,0.0,0.0,0.0098,9.0E-4
5.2,0.0095,0.0,0.0,0.0,0.0,0.0073,9.0E-4
5.3,0.0075,0.0,0.0,0.0,0.0,0.0061,9.0E-4
5.4,0.0061,0.0,0.0,0.0,0.0,0.0051,9.0E-4
5.5,0.005,0.0,0.0,0.0,0.0,0.0042,9.0E-4
5.6,0.004,0.0,0.0,0.0,0.0,0.0034,9.0E-4
5.7,0.0032,0.0,0.0,0.0,0.0,0.0028,9.0E-4
5.8,0.0026,0.0,0.0,0.0,0.0,0.0024,9.0E-4
5.9,0.0024,0.0,0.0,0.0,0.0,0.0022,9.0E-4
6.0,0.0017,0.0,0.0,0.0,0.0,0.0016,9.0E-4
6.1,0.0013,0.0,0.0,0.0,0.0,0.0013,8.0E-4
6.2,0.0012,0.0,0.0,0.0,0.0,0.0012,7.0E-4
6.3,0.0011,0.0,0.0,0.0,0.0,0.0011,7.0E-4
6.4,8.0E-4,0.0,0.0,0.0,0.0,8.0E-4,6.0E-4
6.5,8.0E-4,0.0,0.0,0.0,0.0,8.0E-4,6.0E-4
6.6,6.0E-4,0.0,0.0,0.0,0.0,6.0E-4,5.0E-4
6.7,4.0E-4,0.0,0.0,0.0,0.0,4.0E-4,3.0E-4
6.8,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,3.0E-4
6.9,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,3.0E-4
7.0,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
7.1,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
7.2,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
7.3,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
7.4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
7.5,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
7.6,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
7.7,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
7.8,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
