Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob
2.5,37.3703,14.0,78.0,25.0,23.0,1.0,0.0071
2.6,29.6793,10.0,62.0,20.0,18.0,1.0,0.0071
2.7,23.5737,8.0,49.0,16.0,15.0,1.0,0.0071
2.8,18.7214,5.0,39.0,13.0,11.0,1.0,0.0071
2.9,14.8913,4.0,32.0,10.0,9.0,0.9997,0.0071
3.0,11.8376,2.0,27.0,8.0,7.0,0.9994,0.0071
3.1,9.4098,2.0,22.0,6.0,5.0,0.9947,0.0071
3.2,7.4679,1.0,18.0,5.0,4.0,0.9854,0.0071
3.3,5.9223,0.0,14.0,4.0,3.0,0.9678,0.0071
3.4,4.71,0.0,12.0,3.0,2.0,0.938,0.0071
3.5,3.7452,0.0,10.0,2.0,2.0,0.8954,0.0071
3.6,2.9766,0.0,8.0,2.0,1.0,0.839,0.0071
3.7,2.3637,0.0,7.0,1.0,1.0,0.7674,0.0071
3.8,1.8744,0.0,6.0,1.0,1.0,0.6874,0.0071
3.9,1.4856,0.0,5.0,1.0,0.0,0.6073,0.0071
4.0,1.1733,0.0,4.0,1.0,0.0,0.5227,0.0071
4.1,0.9272,0.0,4.0,0.0,0.0,0.4453,0.0071
4.2,0.7304,0.0,3.0,0.0,0.0,0.3712,0.0071
4.3,0.5802,0.0,3.0,0.0,0.0,0.3101,0.0071
4.4,0.4617,0.0,2.0,0.0,0.0,0.2569,0.0071
4.5,0.374,0.0,2.0,0.0,0.0,0.2141,0.0071
4.6,0.2991,0.0,2.0,0.0,0.0,0.1773,0.0071
4.7,0.2377,0.0,2.0,0.0,0.0,0.1456,0.0071
4.8,0.1922,0.0,2.0,0.0,0.0,0.1204,0.0071
4.9,0.1522,0.0,1.0,0.0,0.0,0.0961,0.0071
5.0,0.1211,0.0,1.0,0.0,0.0,0.0788,0.0071
5.1,0.0964,0.0,1.0,0.0,0.0,0.0655,0.0071
5.2,0.0756,0.0,1.0,0.0,0.0,0.0534,0.0071
5.3,0.0612,0.0,1.0,0.0,0.0,0.0447,0.0071
5.4,0.0504,0.0,1.0,0.0,0.0,0.0375,0.0071
5.5,0.0401,0.0,1.0,0.0,0.0,0.0303,0.0071
5.6,0.0316,0.0,0.0,0.0,0.0,0.0243,0.0071
5.7,0.0254,0.0,0.0,0.0,0.0,0.02,0.0071
5.8,0.021,0.0,0.0,0.0,0.0,0.0173,0.0071
5.9,0.0165,0.0,0.0,0.0,0.0,0.0139,0.007
6.0,0.0133,0.0,0.0,0.0,0.0,0.0115,0.0067
6.1,0.0105,0.0,0.0,0.0,0.0,0.0093,0.0055
6.2,0.0089,0.0,0.0,0.0,0.0,0.008,0.0051
6.3,0.0072,0.0,0.0,0.0,0.0,0.0064,0.0047
6.4,0.005,0.0,0.0,0.0,0.0,0.0045,0.0035
6.5,0.0045,0.0,0.0,0.0,0.0,0.0043,0.0033
6.6,0.0038,0.0,0.0,0.0,0.0,0.0036,0.0027
6.7,0.003,0.0,0.0,0.0,0.0,0.0029,0.0023
6.8,0.0022,0.0,0.0,0.0,0.0,0.0021,0.0019
6.9,0.0017,0.0,0.0,0.0,0.0,0.0017,0.0015
7.0,0.0012,0.0,0.0,0.0,0.0,0.0012,0.0011
7.1,0.0011,0.0,0.0,0.0,0.0,0.0011,0.0011
7.2,7.0E-4,0.0,0.0,0.0,0.0,7.0E-4,7.0E-4
7.3,7.0E-4,0.0,0.0,0.0,0.0,7.0E-4,7.0E-4
7.4,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,5.0E-4
7.5,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,5.0E-4
7.6,4.0E-4,0.0,0.0,0.0,0.0,4.0E-4,4.0E-4
7.7,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
7.8,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
7.9,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
8.0,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
8.1,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
