Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob
2.5,19.2127,4.0,36.0,10.0,8.0,0.9996,0.0039
2.6,15.2404,2.0,29.0,8.0,7.0,0.9987,0.0039
2.7,12.1071,1.0,24.0,6.0,5.0,0.9954,0.0039
2.8,9.6191,1.0,19.0,5.0,4.0,0.9866,0.0039
2.9,7.6442,0.0,16.0,4.0,3.0,0.9676,0.0039
3.0,6.0734,0.0,13.0,3.0,2.0,0.9386,0.0039
3.1,4.8182,0.0,11.0,2.0,2.0,0.8929,0.0039
3.2,3.8345,0.0,9.0,2.0,1.0,0.833,0.0039
3.3,3.0495,0.0,8.0,1.0,1.0,0.7615,0.0039
3.4,2.4152,0.0,6.0,1.0,0.0,0.6826,0.0039
3.5,1.9081,0.0,6.0,1.0,0.0,0.6023,0.0039
3.6,1.5134,0.0,5.0,1.0,0.0,0.5219,0.0039
3.7,1.1966,0.0,4.0,0.0,0.0,0.4448,0.0039
3.8,0.944,0.0,4.0,0.0,0.0,0.3719,0.0039
3.9,0.7467,0.0,3.0,0.0,0.0,0.3117,0.0039
4.0,0.5919,0.0,3.0,0.0,0.0,0.2577,0.0039
4.1,0.4667,0.0,2.0,0.0,0.0,0.2123,0.0039
4.2,0.372,0.0,2.0,0.0,0.0,0.174,0.0039
4.3,0.2939,0.0,2.0,0.0,0.0,0.1417,0.0039
4.4,0.2309,0.0,2.0,0.0,0.0,0.1139,0.0039
4.5,0.1862,0.0,1.0,0.0,0.0,0.0936,0.0039
4.6,0.1487,0.0,1.0,0.0,0.0,0.0761,0.0039
4.7,0.1169,0.0,1.0,0.0,0.0,0.0621,0.0039
4.8,0.0936,0.0,1.0,0.0,0.0,0.0506,0.0039
4.9,0.0741,0.0,1.0,0.0,0.0,0.0411,0.0039
5.0,0.0601,0.0,1.0,0.0,0.0,0.0342,0.0039
5.1,0.0469,0.0,1.0,0.0,0.0,0.0271,0.0039
5.2,0.0371,0.0,0.0,0.0,0.0,0.0224,0.0039
5.3,0.0294,0.0,0.0,0.0,0.0,0.0181,0.0039
5.4,0.0241,0.0,0.0,0.0,0.0,0.0157,0.0039
5.5,0.0191,0.0,0.0,0.0,0.0,0.0128,0.0039
5.6,0.0158,0.0,0.0,0.0,0.0,0.011,0.0039
5.7,0.0124,0.0,0.0,0.0,0.0,0.0087,0.0039
5.8,0.0092,0.0,0.0,0.0,0.0,0.007,0.0039
5.9,0.0075,0.0,0.0,0.0,0.0,0.006,0.0039
6.0,0.0065,0.0,0.0,0.0,0.0,0.0054,0.0039
6.1,0.0055,0.0,0.0,0.0,0.0,0.0046,0.0035
6.2,0.0049,0.0,0.0,0.0,0.0,0.0041,0.0032
6.3,0.0036,0.0,0.0,0.0,0.0,0.0031,0.0025
6.4,0.0025,0.0,0.0,0.0,0.0,0.0022,0.0019
6.5,0.0024,0.0,0.0,0.0,0.0,0.0022,0.0019
6.6,0.0021,0.0,0.0,0.0,0.0,0.0019,0.0016
6.7,0.0017,0.0,0.0,0.0,0.0,0.0015,0.0012
6.8,0.0014,0.0,0.0,0.0,0.0,0.0013,0.0011
6.9,0.0011,0.0,0.0,0.0,0.0,0.0011,0.001
7.0,9.0E-4,0.0,0.0,0.0,0.0,9.0E-4,8.0E-4
7.1,8.0E-4,0.0,0.0,0.0,0.0,8.0E-4,7.0E-4
7.2,4.0E-4,0.0,0.0,0.0,0.0,4.0E-4,4.0E-4
7.3,4.0E-4,0.0,0.0,0.0,0.0,4.0E-4,4.0E-4
7.4,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,3.0E-4
7.5,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
7.6,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
7.7,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
7.8,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
7.9,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
8.0,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
8.1,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
