Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,253.96973,175.0,488.0,220.0,209.0,1.0,0.015479616,170.69308
2.6,201.73659,136.0,389.0,175.0,164.0,1.0,0.015479616,135.58783
2.7,160.23596,106.0,310.0,139.0,135.0,1.0,0.015479616,107.68561
2.8,127.25246,82.0,247.0,111.0,105.0,1.0,0.015479616,85.50988
2.9,101.10654,63.0,196.0,88.0,83.0,1.0,0.015479616,67.930275
3.0,80.285866,49.0,156.0,70.0,66.0,1.0,0.015479616,53.9467
3.1,63.764282,37.0,125.0,56.0,51.0,1.0,0.015479616,42.84493
3.2,50.653767,28.0,100.0,44.0,41.0,1.0,0.015479616,34.03782
3.3,40.221764,21.0,80.0,35.0,32.0,1.0,0.015479616,27.028538
3.4,31.961727,16.0,65.0,28.0,27.0,1.0,0.015479616,21.47596
3.5,25.384161,12.0,52.0,22.0,21.0,1.0,0.015479616,17.05163
3.6,20.158094,9.0,42.0,18.0,16.0,1.0,0.015479616,13.543178
3.7,15.997147,6.0,34.0,14.0,12.0,0.999988,0.015479616,10.753357
3.8,12.699569,4.0,28.0,11.0,10.0,0.99994004,0.015479616,8.541583
3.9,10.085611,3.0,23.0,9.0,8.0,0.9994005,0.015479616,6.7831054
4.0,8.000288,2.0,19.0,7.0,6.0,0.9976499,0.015479616,5.3794603
4.1,6.3469305,1.0,15.0,5.0,5.0,0.9918825,0.015479616,4.2694483
4.2,5.0407195,1.0,13.0,4.0,4.0,0.97898084,0.015479616,3.391451
4.3,3.998729,0.0,11.0,3.0,3.0,0.9539688,0.015479616,2.6906354
4.4,3.1719065,0.0,9.0,3.0,2.0,0.91516787,0.015479616,2.1358035
4.5,2.515012,0.0,8.0,2.0,1.0,0.86155874,0.015479616,1.6948321
4.6,1.9985132,0.0,7.0,2.0,1.0,0.7941007,0.015479616,1.3483573
4.7,1.5832974,0.0,6.0,1.0,1.0,0.71757793,0.015479616,1.0689569
