Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,642.5273,450.0,1316.0,550.0,513.0,1.0,0.03838,391.02505
2.6,510.3879,354.0,1047.0,437.0,413.0,1.0,0.03838,310.60602
2.7,405.38757,278.0,832.0,348.0,328.0,1.0,0.03838,246.71393
2.8,321.963,218.0,663.0,277.0,262.0,1.0,0.03838,195.91528
2.9,255.7254,170.0,525.0,220.0,209.0,1.0,0.03838,155.59946
3.0,203.07639,133.0,418.0,175.0,161.0,1.0,0.03838,123.58443
3.1,161.28658,103.0,333.0,139.0,132.0,1.0,0.03838,98.15131
3.2,128.11613,80.0,266.0,111.0,105.0,1.0,0.03838,77.97129
3.3,101.75239,62.0,212.0,88.0,84.0,1.0,0.03838,61.9229
3.4,80.8249,47.0,169.0,70.0,67.0,1.0,0.03838,49.18376
3.5,64.19514,36.0,135.0,56.0,54.0,1.0,0.03838,39.06028
3.6,50.98579,28.0,108.0,44.0,40.0,1.0,0.03838,31.02501
3.7,40.48492,21.0,86.0,35.0,34.0,1.0,0.03838,24.63795
3.8,32.13918,15.0,69.0,28.0,27.0,1.0,0.03838,19.56382
3.9,25.5262,11.0,55.0,22.0,21.0,1.0,0.03838,15.53527
4.0,20.26345,8.0,45.0,18.0,16.0,1.0,0.03838,12.32916
4.1,16.08774,6.0,36.0,14.0,12.0,1.0,0.03838,9.7885
4.2,12.77405,4.0,30.0,11.0,10.0,0.9999,0.03838,7.77208
4.3,10.13206,3.0,24.0,9.0,7.0,0.99944,0.03838,6.16722
4.4,8.04283,2.0,20.0,7.0,6.0,0.9974,0.03838,4.89562
4.5,6.37665,1.0,16.0,5.0,5.0,0.99103,0.03838,3.88358
4.6,5.05875,1.0,13.0,4.0,3.0,0.97681,0.03838,3.08137
4.7,4.00727,0.0,11.0,3.0,3.0,0.94932,0.03838,2.4399
4.8,3.16881,0.0,9.0,3.0,2.0,0.90884,0.03838,1.93144
4.9,2.50505,0.0,8.0,2.0,1.0,0.85269,0.03838,1.52795
5.0,1.97964,0.0,7.0,1.0,1.0,0.78313,0.03838,1.20748
5.1,1.55952,0.0,6.0,1.0,1.0,0.70517,0.03838,0.95238
5.2,1.22725,0.0,5.0,1.0,0.0,0.62206,0.03838,0.74994
5.3,0.9638,0.0,4.0,1.0,0.0,0.53849,0.03838,0.58824
5.4,0.75501,0.0,4.0,0.0,0.0,0.45672,0.03838,0.4594
5.5,0.59136,0.0,3.0,0.0,0.0,0.38363,0.03838,0.35878
5.6,0.4573,0.0,3.0,0.0,0.0,0.3153,0.03838,0.27726
5.7,0.3522,0.0,2.0,0.0,0.0,0.25554,0.03838,0.21385
5.8,0.26883,0.0,2.0,0.0,0.0,0.2049,0.03837,0.16426
5.9,0.20406,0.0,2.0,0.0,0.0,0.1617,0.03834,0.12449
6.0,0.15704,0.0,1.0,0.0,0.0,0.12835,0.03832,0.09533
6.1,0.11718,0.0,1.0,0.0,0.0,0.09886,0.03183,0.07154
6.2,0.08214,0.0,1.0,0.0,0.0,0.07168,0.02532,0.05116
6.3,0.06058,0.0,1.0,0.0,0.0,0.05396,0.02038,0.03783
6.4,0.04573,0.0,1.0,0.0,0.0,0.04109,0.0179,0.02814
6.5,0.03435,0.0,1.0,0.0,0.0,0.03126,0.01534,0.02107
6.6,0.02687,0.0,1.0,0.0,0.0,0.02502,0.01392,0.0165
6.7,0.02085,0.0,0.0,0.0,0.0,0.01958,0.01198,0.01269
6.8,0.01607,0.0,0.0,0.0,0.0,0.01525,0.01027,0.00979
6.9,0.01219,0.0,0.0,0.0,0.0,0.01175,0.00851,0.00745
7.0,0.00929,0.0,0.0,0.0,0.0,0.00906,0.00696,0.00564
7.1,0.00753,0.0,0.0,0.0,0.0,0.00737,0.00611,0.00449
7.2,0.00554,0.0,0.0,0.0,0.0,0.00545,0.00475,0.00314
7.3,0.0038,0.0,0.0,0.0,0.0,0.00378,0.00348,0.00212
7.4,0.0031,0.0,0.0,0.0,0.0,0.00308,0.00294,0.00177
7.5,0.00233,0.0,0.0,0.0,0.0,0.00231,0.00226,0.0013
7.6,0.0013,0.0,0.0,0.0,0.0,0.0013,0.0013,6.9E-4
7.7,3.5E-4,0.0,0.0,0.0,0.0,3.5E-4,3.5E-4,1.5E-4
7.8,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4,7.0E-5
7.9,1.4E-4,0.0,0.0,0.0,0.0,1.4E-4,1.4E-4,5.0E-5
8.0,5.0E-5,0.0,0.0,0.0,0.0,5.0E-5,5.0E-5,1.0E-5
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
