Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km),Min Hypo Dist To Largest (km),Min Hypo Poly Dist To Largest (km)
Airport Lake,"359, 50, -90",90,7.1,90,7.1,0.259,0.000,0.259,0.000,5.612,0.000
Little Lake,"327, 90, 180",16,3.75,17,7.1,2.268,0.000,8.432,0.000,13.471,1.469
Garlock (Central),"71, 90, 0",2,3.21,3,7.1,3.023,0.000,3.023,0.000,31.947,19.940
So Sierra Nevada,"2, 50, -90",1,2.75,2,7.1,0.251,0.000,0.251,0.000,16.191,15.188
Tank Canyon,"189, 50, -90",0,,0,,10.550,10.162,10.550,10.162,23.737,23.674
Blackwater,"323, 90, 180",0,,0,,11.636,6.544,11.636,6.544,39.380,38.300
Scodie Lineament,"221, 68, 0",0,,0,,16.722,15.781,27.087,25.862,36.559,32.668
Panamint Valley,"334, 90, -150",0,,0,,29.109,17.187,31.003,19.220,40.236,28.550
White Wolf (Extension),"46, 75, 60",0,,0,,30.051,29.618,40.428,40.224,45.679,43.721
Sierra Nevada  (No Extension),"344, 50, -90",0,,0,,30.129,29.805,30.129,29.805,58.680,58.391
Ash Hill,"162, 90, 180",0,,0,,31.594,22.790,35.973,24.858,36.003,25.242
Gravel Hills-Harper Lk,"311, 90, 180",0,,0,,33.392,23.658,33.392,23.658,58.562,52.470
Lake Isabella (Seismicity),"9, 90, 0",0,,0,,36.514,24.660,43.492,31.730,65.700,53.653
McLean Lake,"91, 90, 0",0,,0,,37.308,37.224,37.308,37.224,64.927,61.453
Owens Valley,"346, 90, 180",0,,0,,38.708,38.635,38.708,38.635,68.299,66.819
Goldstone Lake,"325, 90, 180",0,,0,,39.346,32.679,39.346,32.679,67.845,63.678
Kern Canyon (South Kern) 2011,"357, 60, -90",0,,0,,40.346,38.302,47.657,47.639,64.327,63.973
Lenwood-Lockhart-Old Woman Springs,"302, 90, 180",0,,0,,41.188,30.428,50.883,39.006,63.646,53.437
Kern Canyon (Lake Isabella) 2011,"17, 60, -90",0,,0,,43.209,41.308,51.666,51.654,66.376,66.044
Nelson Lake,"91, 90, 0",0,,0,,43.766,42.976,43.766,42.976,72.715,68.544
Paradise,"347, 90, 180",0,,0,,44.371,35.234,44.371,35.234,74.184,66.540
Garlock (East),"92, 90, 0",0,,0,,44.737,44.331,44.737,44.331,67.792,65.602
Owl Lake,"58, 90, 0",0,,0,,45.005,41.476,45.005,41.476,67.691,59.287
Garlock (West),"58, 90, 0",0,,0,,47.768,46.428,63.436,61.368,66.727,62.627
Helendale-So Lockhart,"325, 90, 180",0,,0,,50.353,42.783,52.923,42.783,73.478,66.589
Kern Canyon (North Kern) 2011,"360, 60, -90",0,,0,,51.383,50.809,51.383,51.365,81.168,80.888
Towne Pass,"195, 50, -90",0,,0,,53.590,52.668,53.590,52.668,59.662,59.451
Coyote Canyon,"91, 90, 0",0,,0,,56.516,52.014,56.516,52.014,86.686,80.117
Independence rev 2011,"327, 50, -90",0,,0,,62.911,62.393,62.911,62.393,92.154,92.123
Death Valley (Black Mtns Frontal),"167, 60, -150",0,,0,,63.598,63.362,65.623,65.072,74.420,74.227
Hunter Mountain-Saline Valley,"303, 90, -150",0,,0,,64.371,52.617,64.371,52.617,77.497,67.795
Coyote Lake,"74, 90, 0",0,,0,,67.987,56.865,67.987,56.865,99.919,88.876
Garlic Springs,"130, 90, 180",0,,0,,69.588,68.199,69.588,68.199,99.984,99.657
Breckenridge 2011,"7, 60, -90",0,,0,,69.737,68.575,79.799,79.791,84.833,84.574
Bicycle Lake,"112, 90, 0",0,,0,,70.496,69.780,70.496,69.780,100.468,97.861
Death Valley (So),"319, 90, 180",0,,0,,70.853,59.809,72.171,60.284,83.064,72.895
Calico-Hidalgo,"306, 90, 180",0,,0,,73.133,72.924,73.133,72.924,104.984,104.911
White Wolf,"49, 75, 60",0,,0,,75.716,74.922,86.663,86.213,89.285,88.663
Manix-Afton Hills,"73, 90, 0",0,,0,,88.944,78.659,88.944,78.659,120.954,110.645
Cady,"106, 90, 0",0,,0,,94.453,87.213,94.453,87.213,126.431,118.924
Death Valley (No),"313, 90, 180",0,,0,,102.981,91.087,102.981,91.087,107.220,95.600
