Parent ID,Parent Name,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
861,Airport Lake,0.0557,0.02123,0.02932,0.03559,0.04617,0.05542,0.03618
667,Almanor 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Anacapa-Dume alt 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Anaheim,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,Antelope Valley 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
845,Ash Hill,0.01304,0.00207,0.00361,0.005,0.00828,0.01213,0.00168
881,Baker,2.7E-4,8.0E-5,1.2E-4,1.4E-4,1.7E-4,2.7E-4,5.0E-5
668,Bartlett Springs 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,Battle Creek 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842,Bear River fault zone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581,Bennett Valley 2011 CFM,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
158,Bicycle Lake,0.00203,2.3E-4,3.7E-4,5.6E-4,0.00112,0.00181,2.0E-4
741,Big Lagoon - Bald Mtn 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Big Pine (Central),7.0E-5,1.0E-5,4.0E-5,5.0E-5,5.0E-5,6.0E-5,1.0E-5
191,Big Pine (East),1.1E-4,1.0E-5,4.0E-5,5.0E-5,8.0E-5,1.1E-4,1.0E-5
200,Big Pine (West),0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Blackwater,0.01348,0.00234,0.00407,0.00566,0.0089,0.01283,0.00309
169,Blue Cut,1.1E-4,3.0E-5,5.0E-5,6.0E-5,7.0E-5,1.1E-4,3.0E-5
170,Brawley (Seismic Zone) alt 1,1.4E-4,3.0E-5,4.0E-5,4.0E-5,7.0E-5,1.4E-4,2.0E-5
541,Breckenridge 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
882,Bullion Mountains,1.4E-4,1.0E-5,3.0E-5,4.0E-5,7.0E-5,1.3E-4,0.0
94,Burnt Mtn,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
561,Butano 2011 CFM,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
165,Cady,4.8E-4,9.0E-5,1.7E-4,2.0E-4,2.9E-4,4.6E-4,7.0E-5
602,Calaveras (Central) 2011 CFM,8.0E-5,0.0,0.0,1.0E-5,4.0E-5,6.0E-5,1.0E-5
