Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 yr Probability,1 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,4133.454,2941.0,10359.0,3569.0,3385.0,1.0,0.25589,2076.8267
2.6,3283.386,2330.0,8238.0,2836.0,2621.0,1.0,0.25589,1649.7058
2.7,2608.0122,1846.0,6548.0,2253.0,2120.0,1.0,0.25589,1310.3914
2.8,2071.5574,1461.0,5205.0,1790.0,1644.0,1.0,0.25589,1040.826
2.9,1645.4841,1156.0,4132.0,1423.0,1358.0,1.0,0.25589,826.76855
3.0,1306.9764,914.0,3283.0,1131.0,1033.0,1.0,0.25589,656.69104
3.1,1038.1667,722.0,2609.0,899.0,835.0,1.0,0.25589,521.60297
3.2,824.6637,570.0,2073.0,714.0,662.0,1.0,0.25589,414.359
3.3,654.95953,449.0,1649.0,568.0,542.0,1.0,0.25589,329.0896
3.4,520.1929,353.0,1309.0,451.0,415.0,1.0,0.25589,261.37137
3.5,413.15918,278.0,1038.0,359.0,326.0,1.0,0.25589,207.58281
3.6,328.106,218.0,823.0,286.0,268.0,1.0,0.25589,164.82733
3.7,260.55927,170.0,655.0,227.0,208.0,1.0,0.25589,130.91293
3.8,206.90358,133.0,521.0,180.0,171.0,1.0,0.25589,103.93804
3.9,164.27386,103.0,412.0,144.0,129.0,1.0,0.25589,82.53315
4.0,130.43684,80.0,329.0,114.0,106.0,1.0,0.25589,65.52453
4.1,103.55623,62.0,262.0,91.0,83.0,1.0,0.25589,52.02551
4.2,82.17103,47.0,208.0,72.0,65.0,1.0,0.25589,41.27118
4.3,65.19136,36.0,165.0,57.0,51.0,1.0,0.25589,32.74561
4.4,51.70444,27.0,132.0,45.0,40.0,1.0,0.25589,25.96304
4.5,40.99191,21.0,105.0,36.0,32.0,1.0,0.25589,20.58769
4.6,32.50201,15.0,83.0,29.0,26.0,1.0,0.25589,16.32314
4.7,25.73643,11.0,66.0,23.0,21.0,1.0,0.25589,12.93216
4.8,20.37416,8.0,53.0,18.0,16.0,1.0,0.25589,10.23656
4.9,16.10966,6.0,42.0,14.0,13.0,1.0,0.25589,8.09168
5.0,12.71898,4.0,34.0,11.0,10.0,0.99984,0.25589,6.3898
5.1,10.02705,3.0,27.0,9.0,7.0,0.99892,0.25589,5.03863
5.2,7.89229,2.0,22.0,7.0,6.0,0.99607,0.25589,3.96635
5.3,6.19719,1.0,18.0,5.0,4.0,0.98782,0.25589,3.11272
5.4,4.84288,0.0,14.0,4.0,3.0,0.97028,0.25589,2.43369
5.5,3.77042,0.0,11.0,3.0,2.0,0.93946,0.25589,1.8939
5.6,2.91921,0.0,9.0,2.0,2.0,0.89145,0.25589,1.46658
5.7,2.24267,0.0,8.0,2.0,1.0,0.82383,0.25589,1.12711
5.8,1.70273,0.0,6.0,1.0,1.0,0.73829,0.25589,0.85457
5.9,1.28334,0.0,5.0,1.0,0.0,0.64386,0.25586,0.64491
6.0,0.98441,0.0,4.0,1.0,0.0,0.55225,0.2558,0.49054
6.1,0.71446,0.0,3.0,0.0,0.0,0.44929,0.22051,0.3608
6.2,0.46895,0.0,3.0,0.0,0.0,0.33077,0.17353,0.23696
6.3,0.35307,0.0,2.0,0.0,0.0,0.26465,0.1483,0.18071
6.4,0.26891,0.0,2.0,0.0,0.0,0.20836,0.12908,0.13551
6.5,0.20723,0.0,2.0,0.0,0.0,0.16617,0.11283,0.10548
6.6,0.16821,0.0,1.0,0.0,0.0,0.14244,0.10416,0.08919
6.7,0.13619,0.0,1.0,0.0,0.0,0.1177,0.09057,0.07281
6.8,0.10922,0.0,1.0,0.0,0.0,0.09782,0.07905,0.05962
6.9,0.08379,0.0,1.0,0.0,0.0,0.07767,0.06556,0.04698
7.0,0.06458,0.0,1.0,0.0,0.0,0.06129,0.05374,0.03606
7.1,0.05315,0.0,1.0,0.0,0.0,0.05108,0.04681,0.0296
7.2,0.03978,0.0,1.0,0.0,0.0,0.03855,0.03613,0.02158
7.3,0.02793,0.0,1.0,0.0,0.0,0.02722,0.02596,0.01496
7.4,0.02454,0.0,0.0,0.0,0.0,0.02396,0.02338,0.01317
7.5,0.01893,0.0,0.0,0.0,0.0,0.01852,0.01834,0.01
7.6,0.01014,0.0,0.0,0.0,0.0,0.00993,0.0099,0.00513
7.7,0.00322,0.0,0.0,0.0,0.0,0.00319,0.00317,0.0016
7.8,0.00209,0.0,0.0,0.0,0.0,0.00208,0.00208,0.00112
7.9,0.00119,0.0,0.0,0.0,0.0,0.00118,0.00118,6.6E-4
8.0,2.7E-4,0.0,0.0,0.0,0.0,2.7E-4,2.7E-4,1.7E-4
8.1,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,4.0E-5,2.0E-5
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
