# Year	Month	Day	Hour	Minute	Sec	Lat	Lon	Depth	Magnitude	[event-ID]
2020	04	08	04	03	49.240	33.498833	-116.5225	10.38	2.63	ci39142559
2020	04	08	02	53	37.320	33.499	-116.522	10.37	2.64	ci39142391
2020	04	08	01	00	14.260	33.498165	-116.522835	10.27	3.22	ci39141967
2020	04	08	00	35	56.820	33.500668	-116.52367	10.28	3.27	ci39141695
2020	04	08	00	30	49.230	33.4985	-116.52533	9.98	3.54	ci39141591
2020	04	05	23	11	58.930	33.497665	-116.5215	10.39	2.6	ci39135751
2020	04	05	22	37	18.820	33.496166	-116.49617	13.25	3.5	ci39135575
2020	04	05	22	34	49.700	33.498	-116.496	12.65	2.64	ci39135567
2020	04	05	21	54	23.660	33.5015	-116.526	11.1	2.7	ci39135327
2020	04	05	21	07	44.910	33.503666	-116.52783	10.53	3.49	ci39134871
2020	04	05	16	27	47.340	33.507168	-116.519	13.14	2.62	ci39134127
2020	04	04	11	49	17.950	33.497833	-116.519165	9.96	2.81	ci39129687
2020	04	04	05	12	35.150	33.49217	-116.51183	9.85	3.46	ci39128103
2020	04	04	04	07	22.120	33.491333	-116.51884	9.62	3.6	ci39127679
2020	04	04	02	59	23.280	33.501167	-116.519	10.37	3.11	ci39126951
2020	04	04	02	16	24.880	33.496666	-116.51984	10.26	2.55	ci39126455
2020	04	04	02	05	00.170	33.494667	-116.515335	10.28	3.66	ci39126263
2020	04	04	01	56	57.670	33.496	-116.50667	10.78	2.57	ci39126135
2020	04	04	01	55	35.800	33.480167	-116.49033	9.21	3.07	ci39126103
2020	04	04	01	54	22.570	33.493168	-116.505	10.31	3.76	ci39126087
