Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,Fault System Solution,100 yr Probability,100 yr Supra-Seis Prob
5.0,7.46682,6.1,9.25,7.37,7.15,8.608642,1.0,1.0
5.1,5.91068,4.81,7.39,5.84,5.63,6.830068,1.0,1.0
5.2,4.67459,3.8,5.84,4.62,4.85,5.4173,1.0,1.0
5.3,3.69363,2.97,4.63,3.65,3.63,4.2950974,1.0,1.0
5.4,2.91556,2.32,3.67,2.88,2.66,3.4037008,1.0,1.0
5.5,2.29529,1.82,2.96,2.27,2.07,2.6956394,1.0,1.0
5.6,1.80086,1.39,2.32,1.78,1.61,2.1332066,1.0,1.0
5.7,1.41006,1.07,1.84,1.39,1.38,1.6863642,1.0,1.0
5.8,1.098,0.82,1.42,1.08,1.12,1.3311276,1.0,1.0
5.9,0.84001,0.62,1.11,0.83,0.89,1.0356472,1.0,1.0
6.0,0.66709,0.47,0.9,0.66,0.68,0.83624506,1.0,1.0
6.1,0.51243,0.35,0.72,0.5,0.49,0.66032434,1.0,1.0
6.2,0.40337,0.26,0.58,0.4,0.36,0.5290011,1.0,1.0
6.3,0.31351,0.2,0.46,0.31,0.31,0.42016467,1.0,1.0
6.4,0.24197,0.15,0.37,0.24,0.22,0.33243415,1.0,1.0
6.5,0.18471,0.1,0.3,0.18,0.16,0.2601263,1.0,1.0
6.6,0.14206,0.07,0.23,0.14,0.12,0.20548344,1.0,1.0
6.7,0.10639,0.05,0.18,0.1,0.11,0.16021843,1.0,1.0
6.8,0.08024,0.03,0.14,0.08,0.06,0.12689023,1.0,1.0
6.9,0.06021,0.02,0.11,0.06,0.05,0.09975841,1.0,0.998
7.0,0.04508,0.01,0.09,0.04,0.04,0.077940285,0.994,0.988
7.1,0.03297,0.0,0.07,0.03,0.03,0.05961322,0.972,0.965
7.2,0.02302,0.0,0.05,0.02,0.02,0.045241926,0.907,0.893
7.3,0.01664,0.0,0.05,0.01,0.01,0.035294022,0.824,0.808
7.4,0.01115,0.0,0.03,0.01,0.01,0.026938815,0.683,0.672
7.5,0.00718,0.0,0.03,0.01,0.0,0.019023713,0.516,0.506
7.6,0.00429,0.0,0.02,0.0,0.0,0.013821237,0.352,0.348
7.7,0.00211,0.0,0.01,0.0,0.0,0.009578903,0.189,0.187
7.8,0.00109,0.0,0.01,0.0,0.0,0.006191872,0.105,0.104
7.9,5.7E-4,0.0,0.01,0.0,0.0,0.0035149523,0.057,0.057
8.0,2.9E-4,0.0,0.01,0.0,0.0,0.0020316083,0.029,0.029
8.1,1.5E-4,0.0,0.0,0.0,0.0,0.0010248122,0.015,0.015
8.2,2.0E-5,0.0,0.0,0.0,0.0,4.4834707E-4,0.002,0.002
8.3,1.0E-5,0.0,0.0,0.0,0.0,1.0199686E-4,0.001,0.001
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
