Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,10 yr Probability,10 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,5029.269,3641.0,10343.0,4442.0,4083.0,1.0,0.121286705,2395.1497
2.6,3994.575,2885.0,8231.0,3529.0,3348.0,1.0,0.121286705,1902.2788
2.7,3172.7827,2286.0,6537.0,2804.0,2718.0,1.0,0.121286705,1510.9597
2.8,2520.1553,1813.0,5199.0,2228.0,2036.0,1.0,0.121286705,1200.2771
2.9,2001.8427,1434.0,4135.0,1770.0,1669.0,1.0,0.121286705,953.3624
3.0,1590.0298,1135.0,3284.0,1407.0,1321.0,1.0,0.121286705,757.3088
3.1,1262.7948,897.0,2608.0,1117.0,1050.0,1.0,0.121286705,601.3879
3.2,1002.9173,708.0,2071.0,888.0,851.0,1.0,0.121286705,477.63568
3.3,796.60614,559.0,1644.0,706.0,678.0,1.0,0.121286705,379.43768
3.4,632.55255,440.0,1304.0,561.0,522.0,1.0,0.121286705,301.3314
3.5,502.24228,345.0,1040.0,446.0,412.0,1.0,0.121286705,239.26187
3.6,398.78705,271.0,822.0,354.0,334.0,1.0,0.121286705,189.96701
3.7,316.63782,213.0,655.0,282.0,270.0,1.0,0.121286705,150.83942
3.8,251.4568,166.0,522.0,224.0,210.0,1.0,0.121286705,119.76102
3.9,199.60228,129.0,415.0,178.0,165.0,1.0,0.121286705,95.08773
4.0,158.46277,100.0,330.0,141.0,131.0,1.0,0.121286705,75.489586
4.1,125.767075,78.0,263.0,112.0,106.0,1.0,0.121286705,59.912495
4.2,99.74724,60.0,209.0,89.0,85.0,1.0,0.121286705,47.516495
4.3,79.11192,46.0,167.0,71.0,66.0,1.0,0.121286705,37.684376
4.4,62.69394,35.0,133.0,56.0,51.0,1.0,0.121286705,29.850393
4.5,49.670116,26.0,106.0,44.0,41.0,1.0,0.121286705,23.639393
4.6,39.32063,20.0,86.0,35.0,33.0,1.0,0.121286705,18.71912
4.7,31.074718,15.0,69.0,28.0,25.0,1.0,0.121286705,14.789311
4.8,24.540232,11.0,55.0,22.0,19.0,1.0,0.121286705,11.676993
4.9,19.353561,8.0,44.0,17.0,15.0,1.0,0.121286705,9.207633
5.0,15.208652,5.0,35.0,13.0,13.0,1.0,0.121286705,7.2287107
5.1,11.916964,4.0,28.0,11.0,10.0,0.99985856,0.121286705,5.6601877
5.2,9.326515,2.0,23.0,8.0,7.0,0.99884003,0.121286705,4.4284782
5.3,7.254371,1.0,19.0,6.0,5.0,0.9948792,0.121286705,3.4436429
5.4,5.614949,1.0,15.0,5.0,4.0,0.983902,0.121286705,2.6683643
5.5,4.319131,0.0,12.0,4.0,3.0,0.9601652,0.121286705,2.046059
5.6,3.2922254,0.0,10.0,3.0,2.0,0.9173032,0.121286705,1.5600634
5.7,2.471567,0.0,8.0,2.0,1.0,0.8511288,0.121286705,1.1680529
5.8,1.8146608,0.0,6.0,1.0,1.0,0.7632264,0.121286705,0.8560233
5.9,1.2996662,0.0,5.0,1.0,0.0,0.65102136,0.121286705,0.6115261
6.0,0.930855,0.0,4.0,1.0,0.0,0.53649634,0.121286705,0.43345782
6.1,0.6723533,0.0,3.0,0.0,0.0,0.42893115,0.12108867,0.30690885
6.2,0.4667006,0.0,3.0,0.0,0.0,0.32026255,0.12108867,0.20327619
6.3,0.36796242,0.0,2.0,0.0,0.0,0.26365077,0.12108867,0.15441634
6.4,0.2347366,0.0,2.0,0.0,0.0,0.17334352,0.071549825,0.098370396
6.5,0.19640128,0.0,2.0,0.0,0.0,0.14592882,0.07152153,0.0794998
6.6,0.14208114,0.0,1.0,0.0,0.0,0.11418548,0.06178917,0.059299495
6.7,0.11158264,0.0,1.0,0.0,0.0,0.09036383,0.05369773,0.0459175
6.8,0.09228767,0.0,1.0,0.0,0.0,0.07576529,0.0514061,0.03810898
6.9,0.055564985,0.0,1.0,0.0,0.0,0.04653992,0.030045833,0.02285973
7.0,0.045691166,0.0,1.0,0.0,0.0,0.03842019,0.027980534,0.018531093
7.1,0.03612856,0.0,1.0,0.0,0.0,0.030922877,0.024840152,0.014824874
7.2,0.028659537,0.0,1.0,0.0,0.0,0.025547445,0.02206756,0.012278617
7.3,0.02189781,0.0,0.0,0.0,0.0,0.01912522,0.017569173,0.008996774
7.4,0.0181633,0.0,0.0,0.0,0.0,0.015984835,0.015164375,0.008063147
7.5,0.014259039,0.0,0.0,0.0,0.0,0.012391784,0.012052283,0.0059129745
7.6,0.012929327,0.0,0.0,0.0,0.0,0.011146948,0.0109771965,0.0052622645
7.7,0.0052905562,0.0,0.0,0.0,0.0,0.0048095966,0.004668138,0.0016409212
7.8,0.0016409212,0.0,0.0,0.0,0.0,0.0016126294,0.0014994624,2.546257E-4
7.9,4.526679E-4,0.0,0.0,0.0,0.0,4.526679E-4,4.526679E-4,5.658349E-5
8.0,1.1316698E-4,0.0,0.0,0.0,0.0,1.1316698E-4,1.1316698E-4,2.8291744E-5
8.1,8.487523E-5,0.0,0.0,0.0,0.0,8.487523E-5,8.487523E-5,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
