Subsection Index,Subsection Name,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
22,"Antelope Valley 2011, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"Antelope Valley 2011, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"Antelope Valley 2011, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Antelope Valley 2011, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"Antelope Valley 2011, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"Ash Hill, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"Ash Hill, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,"Ash Hill, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"Ash Hill, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Ash Hill, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,"Ash Hill, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"Ash Hill, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,"Ash Hill, Subsection 7",0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"Baker, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"Baker, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"Baker, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"Baker, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,"Baker, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"Baker, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"Baker, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"Baker, Subsection 7",0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"Baker, Subsection 8",0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"Baker, Subsection 9",0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"Baker, Subsection 10",0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"Baker, Subsection 11",0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"Baker, Subsection 12",0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,"Baker, Subsection 13",0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"Bartlett Springs 2011 CFM, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Bartlett Springs 2011 CFM, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,"Bartlett Springs 2011 CFM, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,"Bartlett Springs 2011 CFM, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"Bartlett Springs 2011 CFM, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,"Bartlett Springs 2011 CFM, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,"Bartlett Springs 2011 CFM, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,"Bartlett Springs 2011 CFM, Subsection 7",0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,"Bartlett Springs 2011 CFM, Subsection 8",0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,"Bartlett Springs 2011 CFM, Subsection 9",0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,"Bartlett Springs 2011 CFM, Subsection 10",3.2348432E-6,0.0,3.2348432E-6,3.2348432E-6,3.2348432E-6,3.2348432E-6,0.0
