Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,500 yr Probability,500 yr Supra-Seis Prob
5.0,7.28453,6.734,7.924,7.262,7.198,1.0,1.0
5.1,5.762499,5.304,6.266,5.748,5.74,1.0,1.0
5.2,4.557991,4.178,4.964,4.552,4.704,1.0,1.0
5.3,3.5993528,3.278,3.948,3.596,3.518,1.0,1.0
5.4,2.836263,2.584,3.116,2.834,2.846,1.0,1.0
5.5,2.2316046,2.026,2.464,2.228,2.264,1.0,1.0
5.6,1.7503821,1.572,1.94,1.746,1.78,1.0,1.0
5.7,1.367373,1.222,1.53,1.362,1.35,1.0,1.0
5.8,1.0634584,0.948,1.202,1.062,1.044,1.0,1.0
5.9,0.8107236,0.714,0.918,0.808,0.802,1.0,1.0
6.0,0.6420719,0.558,0.734,0.64,0.646,1.0,1.0
6.1,0.49391684,0.424,0.568,0.492,0.484,1.0,1.0
6.2,0.38931012,0.328,0.452,0.388,0.406,1.0,1.0
6.3,0.30744046,0.258,0.36,0.306,0.316,1.0,1.0
6.4,0.23986292,0.2,0.288,0.238,0.238,1.0,1.0
6.5,0.18451236,0.15,0.224,0.184,0.186,1.0,1.0
6.6,0.1431528,0.114,0.176,0.142,0.146,1.0,1.0
6.7,0.109550565,0.084,0.138,0.11,0.102,1.0,1.0
6.8,0.0858,0.066,0.108,0.086,0.08,1.0,1.0
6.9,0.06662247,0.048,0.086,0.066,0.07,1.0,1.0
7.0,0.051674157,0.034,0.068,0.052,0.052,1.0,1.0
7.1,0.039076403,0.024,0.054,0.038,0.038,1.0,1.0
7.2,0.029229213,0.018,0.042,0.028,0.028,1.0,1.0
7.3,0.02284719,0.012,0.034,0.022,0.022,1.0,1.0
7.4,0.017519102,0.01,0.028,0.018,0.018,1.0,1.0
7.5,0.012420225,0.006,0.02,0.012,0.01,1.0,1.0
7.6,0.009193258,0.004,0.016,0.008,0.008,1.0,1.0
7.7,0.0064853933,0.002,0.012,0.006,0.006,0.9988764,0.9988764
7.8,0.0045078653,0.002,0.008,0.004,0.004,0.9831461,0.9831461
7.9,0.0024426966,0.0,0.006,0.002,0.002,0.80898875,0.80898875
8.0,0.0013146068,0.0,0.004,0.002,0.0,0.5449438,0.5449438
8.1,6.0449436E-4,0.0,0.002,0.0,0.0,0.2797753,0.2797753
8.2,2.269663E-4,0.0,0.002,0.0,0.0,0.11235955,0.11235955
8.3,6.0674156E-5,0.0,0.002,0.0,0.0,0.030337078,0.030337078
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
