Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,Fault System Solution,100 yr Probability,100 yr Supra-Seis Prob
5.0,7.972,6.78,9.52,7.91,8.4,8.608642,1.0,1.0
5.1,6.31172,5.39,7.52,6.26,6.08,6.830068,1.0,1.0
5.2,4.99304,4.19,6.02,4.93,4.89,5.4173,1.0,1.0
5.3,3.94273,3.3,4.79,3.91,3.87,4.2950974,1.0,1.0
5.4,3.1086,2.55,3.79,3.09,3.16,3.4037008,1.0,1.0
5.5,2.44891,2.01,3.01,2.43,2.47,2.6956394,1.0,1.0
5.6,1.92522,1.54,2.39,1.91,1.83,2.1332066,1.0,1.0
5.7,1.50718,1.19,1.88,1.49,1.47,1.6863642,1.0,1.0
5.8,1.17608,0.91,1.5,1.16,1.13,1.3311276,1.0,1.0
5.9,0.90041,0.68,1.16,0.9,0.92,1.0356472,1.0,1.0
6.0,0.71553,0.53,0.94,0.71,0.69,0.83624506,1.0,1.0
6.1,0.55227,0.39,0.73,0.55,0.55,0.66032434,1.0,1.0
6.2,0.43234,0.29,0.59,0.43,0.43,0.5290011,1.0,1.0
6.3,0.33768,0.22,0.47,0.34,0.34,0.42016467,1.0,1.0
6.4,0.25892,0.16,0.37,0.25,0.24,0.33243415,1.0,1.0
6.5,0.19903,0.12,0.3,0.2,0.2,0.2601263,1.0,1.0
6.6,0.15222,0.08,0.24,0.15,0.14,0.20548344,1.0,1.0
6.7,0.11365,0.05,0.19,0.11,0.11,0.16021843,1.0,1.0
6.8,0.08608,0.03,0.15,0.08,0.08,0.12689023,1.0,1.0
6.9,0.06448,0.02,0.12,0.06,0.05,0.09975841,0.996,0.992
7.0,0.04759,0.01,0.09,0.05,0.04,0.077940285,0.986,0.975
7.1,0.03406,0.0,0.07,0.03,0.02,0.05961322,0.962,0.947
7.2,0.02394,0.0,0.06,0.02,0.02,0.045241926,0.915,0.897
7.3,0.01778,0.0,0.05,0.02,0.01,0.035294022,0.84,0.822
7.4,0.01171,0.0,0.04,0.01,0.01,0.026938815,0.684,0.673
7.5,0.00781,0.0,0.03,0.01,0.0,0.019023713,0.531,0.524
7.6,0.00479,0.0,0.02,0.0,0.0,0.013821237,0.376,0.375
7.7,0.00229,0.0,0.01,0.0,0.0,0.009578903,0.206,0.205
7.8,0.00113,0.0,0.01,0.0,0.0,0.006191872,0.111,0.111
7.9,5.1E-4,0.0,0.01,0.0,0.0,0.0035149523,0.051,0.051
8.0,2.1E-4,0.0,0.0,0.0,0.0,0.0020316083,0.021,0.021
8.1,6.0E-5,0.0,0.0,0.0,0.0,0.0010248122,0.006,0.006
8.2,0.0,0.0,0.0,0.0,0.0,4.4834707E-4,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,1.0199686E-4,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
