Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,2778.5547,2102.0,5863.0,2467.0,2298.0,1.0,0.18271606,1627.5477
2.6,2207.072,1665.0,4658.0,1960.0,1828.0,1.0,0.18271606,1292.7158
2.7,1752.9949,1318.0,3701.0,1557.0,1468.0,1.0,0.18271606,1026.736
2.8,1392.4417,1043.0,2933.0,1238.0,1161.0,1.0,0.18271606,815.47156
2.9,1106.1082,823.0,2331.0,984.0,923.0,1.0,0.18271606,647.8315
3.0,878.51495,650.0,1853.0,782.0,764.0,1.0,0.18271606,514.5358
3.1,697.7549,512.0,1473.0,621.0,611.0,1.0,0.18271606,408.59756
3.2,554.1599,403.0,1168.0,494.0,473.0,1.0,0.18271606,324.47458
3.3,440.1272,316.0,927.0,393.0,376.0,1.0,0.18271606,257.70108
3.4,349.58246,249.0,736.0,312.0,293.0,1.0,0.18271606,204.72484
3.5,277.634,195.0,586.0,248.0,234.0,1.0,0.18271606,162.58707
3.6,220.4245,152.0,468.0,197.0,189.0,1.0,0.18271606,129.07834
3.7,175.051,118.0,371.0,157.0,146.0,1.0,0.18271606,102.50697
3.8,138.99188,92.0,297.0,125.0,114.0,1.0,0.18271606,81.411606
3.9,110.40266,71.0,237.0,99.0,92.0,1.0,0.18271606,64.654015
4.0,87.67707,55.0,190.0,79.0,76.0,1.0,0.18271606,51.345894
4.1,69.62331,42.0,151.0,63.0,60.0,1.0,0.18271606,40.769135
4.2,55.2625,32.0,122.0,50.0,46.0,1.0,0.18271606,32.361267
4.3,43.88253,24.0,98.0,40.0,37.0,1.0,0.18271606,25.69034
4.4,34.81,18.0,78.0,31.0,29.0,1.0,0.18271606,20.373056
4.5,27.619722,13.0,62.0,25.0,22.0,1.0,0.18271606,16.165493
4.6,21.885958,10.0,50.0,20.0,18.0,1.0,0.18271606,12.809907
4.7,17.343147,7.0,40.0,16.0,15.0,1.0,0.18271606,10.150494
4.8,13.738858,5.0,32.0,12.0,11.0,1.0,0.18271606,8.045834
4.9,10.8748455,3.0,26.0,10.0,9.0,0.9998148,0.18271606,6.3728395
5.0,8.568488,2.0,22.0,8.0,7.0,0.9985802,0.18271606,5.012994
5.1,6.757006,1.0,17.0,6.0,5.0,0.99438274,0.18271606,3.9509568
5.2,5.3169136,1.0,14.0,5.0,4.0,0.98419756,0.18271606,3.1101234
5.3,4.1671605,0.0,12.0,4.0,3.0,0.96268517,0.18271606,2.4378703
5.4,3.2525308,0.0,10.0,3.0,2.0,0.9244753,0.18271606,1.9023457
5.5,2.53179,0.0,8.0,2.0,1.0,0.86762345,0.18271606,1.4807099
5.6,1.9629012,0.0,7.0,2.0,1.0,0.79296297,0.18271606,1.1433024
5.7,1.5038888,0.0,5.0,1.0,1.0,0.70611113,0.18271606,0.87490743
5.8,1.1441976,0.0,5.0,1.0,0.0,0.613179,0.18271606,0.6669753
5.9,0.8625617,0.0,4.0,1.0,0.0,0.5182099,0.18271606,0.5058642
6.0,0.661821,0.0,3.0,0.0,0.0,0.43132716,0.18265432,0.3850926
6.1,0.48259258,0.0,3.0,0.0,0.0,0.34271604,0.15941358,0.2846605
6.2,0.31589505,0.0,2.0,0.0,0.0,0.24410494,0.1245679,0.18743826
6.3,0.2366358,0.0,2.0,0.0,0.0,0.19219136,0.10654321,0.14200617
6.4,0.18037038,0.0,1.0,0.0,0.0,0.15009259,0.09348766,0.106882714
6.5,0.14117284,0.0,1.0,0.0,0.0,0.11978395,0.082160495,0.08441358
6.6,0.11589506,0.0,1.0,0.0,0.0,0.10166667,0.075833336,0.07111111
6.7,0.093919754,0.0,1.0,0.0,0.0,0.084012344,0.0657716,0.05814815
6.8,0.076450616,0.0,1.0,0.0,0.0,0.070462964,0.05756173,0.048271604
6.9,0.058672838,0.0,1.0,0.0,0.0,0.05537037,0.047376543,0.037438273
7.0,0.043765433,0.0,1.0,0.0,0.0,0.042438272,0.037777778,0.027962962
7.1,0.037006173,0.0,1.0,0.0,0.0,0.03595679,0.03345679,0.023240741
7.2,0.027037038,0.0,1.0,0.0,0.0,0.026450617,0.025401235,0.016512346
7.3,0.019290123,0.0,0.0,0.0,0.0,0.018950617,0.018364197,0.011450618
7.4,0.017469136,0.0,0.0,0.0,0.0,0.017191358,0.01691358,0.010432099
7.5,0.013518519,0.0,0.0,0.0,0.0,0.013395062,0.013302469,0.008179013
7.6,0.0069135805,0.0,0.0,0.0,0.0,0.006851852,0.0067901234,0.004197531
7.7,0.0018827161,0.0,0.0,0.0,0.0,0.0018518518,0.0018209877,9.567901E-4
7.8,0.0013580247,0.0,0.0,0.0,0.0,0.0013580247,0.0013271605,7.7160494E-4
7.9,6.17284E-4,0.0,0.0,0.0,0.0,6.17284E-4,6.17284E-4,2.1604939E-4
8.0,2.4691358E-4,0.0,0.0,0.0,0.0,2.4691358E-4,2.4691358E-4,1.2345679E-4
8.1,1.2345679E-4,0.0,0.0,0.0,0.0,1.2345679E-4,1.2345679E-4,3.0864197E-5
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
