Subsection Index,Subsection Name,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
0,"Airport Lake, Subsection 0",0.036084335,0.023841046,0.028414499,0.031204525,0.03414773,0.03604057,0.026576364
1,"Airport Lake, Subsection 1",0.038206942,0.025197763,0.03012134,0.033020776,0.036171865,0.038141295,0.028140968
2,"Airport Lake, Subsection 2",0.027747082,0.018271934,0.02182785,0.023895752,0.026237184,0.027714258,0.020361718
3,"Airport Lake, Subsection 3",0.020252306,0.013293653,0.015864853,0.017363809,0.019125354,0.020219482,0.014880138
4,"Airport Lake, Subsection 4",0.012976356,0.008435725,0.010109741,0.011050691,0.012254232,0.012965415,0.009562677
5,"Airport Lake, Subsection 5",0.010394215,0.0068164165,0.008184076,0.0089062005,0.00984715,0.010394215,0.0076151295
6,"Almanor 2011 CFM, Subsection 0",1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5,0.0
7,"Almanor 2011 CFM, Subsection 1",1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5,0.0
8,"Almanor 2011 CFM, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"Almanor 2011 CFM, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"Almanor 2011 CFM, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"Almanor 2011 CFM, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"Almanor 2011 CFM, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"Anacapa-Dume alt 1, Subsection 0",1.0941279E-5,0.0,1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5,0.0
14,"Anacapa-Dume alt 1, Subsection 1",1.0941279E-5,0.0,1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5,0.0
15,"Anacapa-Dume alt 1, Subsection 2",1.0941279E-5,0.0,1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5,0.0
16,"Anacapa-Dume alt 1, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"Anacapa-Dume alt 1, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Anaheim, Subsection 0",1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5
19,"Anaheim, Subsection 1",1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5,1.0941279E-5
20,"Anaheim, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"Antelope Valley 2011, Subsection 0",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
22,"Antelope Valley 2011, Subsection 1",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
23,"Antelope Valley 2011, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"Antelope Valley 2011, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Antelope Valley 2011, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"Antelope Valley 2011, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"Ash Hill, Subsection 0",0.0027462607,0.0011269517,0.0016193092,0.0018928411,0.0023851986,0.0027353195,4.1576856E-4
28,"Ash Hill, Subsection 1",0.0029541452,0.0011925993,0.0017068394,0.0020350777,0.002560259,0.0029322626,4.8141624E-4
29,"Ash Hill, Subsection 2",0.0022101381,9.628325E-4,0.0013238947,0.001575544,0.0019366062,0.0022101381,4.5953368E-4
30,"Ash Hill, Subsection 3",0.002089784,9.4094995E-4,0.0012910708,0.001531779,0.0018600173,0.0020788428,4.8141624E-4
31,"Ash Hill, Subsection 4",0.002275786,9.847151E-4,0.0014004837,0.0016958981,0.002013195,0.0022648445,5.1424006E-4
32,"Ash Hill, Subsection 5",0.0025274353,0.0010394214,0.001531779,0.0018818999,0.0022429621,0.0025055527,5.7988777E-4
33,"Ash Hill, Subsection 6",0.0041905097,0.001805311,0.0026040243,0.0030526165,0.0036434457,0.0041358033,9.518912E-4
34,"Ash Hill, Subsection 7",0.0039169774,0.0016958981,0.002439905,0.0028775563,0.00342462,0.0038841537,8.9718483E-4
35,"Baker, Subsection 0",5.470639E-5,3.2823835E-5,5.470639E-5,5.470639E-5,5.470639E-5,5.470639E-5,3.2823835E-5
36,"Baker, Subsection 1",7.658895E-5,4.3765114E-5,7.658895E-5,7.658895E-5,7.658895E-5,7.658895E-5,3.2823835E-5
37,"Baker, Subsection 2",6.564767E-5,3.2823835E-5,6.564767E-5,6.564767E-5,6.564767E-5,6.564767E-5,2.1882557E-5
38,"Baker, Subsection 3",6.564767E-5,3.2823835E-5,6.564767E-5,6.564767E-5,6.564767E-5,6.564767E-5,2.1882557E-5
39,"Baker, Subsection 4",5.470639E-5,3.2823835E-5,5.470639E-5,5.470639E-5,5.470639E-5,5.470639E-5,2.1882557E-5
40,"Baker, Subsection 5",5.470639E-5,3.2823835E-5,5.470639E-5,5.470639E-5,5.470639E-5,5.470639E-5,2.1882557E-5
41,"Baker, Subsection 6",6.564767E-5,3.2823835E-5,5.470639E-5,6.564767E-5,6.564767E-5,6.564767E-5,2.1882557E-5
42,"Baker, Subsection 7",7.658895E-5,2.1882557E-5,4.3765114E-5,7.658895E-5,7.658895E-5,7.658895E-5,1.0941279E-5
43,"Baker, Subsection 8",8.753023E-5,2.1882557E-5,4.3765114E-5,8.753023E-5,8.753023E-5,8.753023E-5,1.0941279E-5
44,"Baker, Subsection 9",7.658895E-5,1.0941279E-5,3.2823835E-5,7.658895E-5,7.658895E-5,7.658895E-5,0.0
45,"Baker, Subsection 10",7.658895E-5,1.0941279E-5,3.2823835E-5,7.658895E-5,7.658895E-5,7.658895E-5,0.0
46,"Baker, Subsection 11",7.658895E-5,1.0941279E-5,3.2823835E-5,7.658895E-5,7.658895E-5,7.658895E-5,0.0
47,"Baker, Subsection 12",8.753023E-5,2.1882557E-5,4.3765114E-5,8.753023E-5,8.753023E-5,8.753023E-5,0.0
48,"Baker, Subsection 13",8.753023E-5,2.1882557E-5,4.3765114E-5,8.753023E-5,8.753023E-5,8.753023E-5,0.0
49,"Bartlett Springs 2011 CFM, Subsection 0",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
50,"Bartlett Springs 2011 CFM, Subsection 1",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
51,"Bartlett Springs 2011 CFM, Subsection 2",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
52,"Bartlett Springs 2011 CFM, Subsection 3",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
53,"Bartlett Springs 2011 CFM, Subsection 4",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
54,"Bartlett Springs 2011 CFM, Subsection 5",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
55,"Bartlett Springs 2011 CFM, Subsection 6",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
56,"Bartlett Springs 2011 CFM, Subsection 7",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
57,"Bartlett Springs 2011 CFM, Subsection 8",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
58,"Bartlett Springs 2011 CFM, Subsection 9",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
59,"Bartlett Springs 2011 CFM, Subsection 10",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
60,"Bartlett Springs 2011 CFM, Subsection 11",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
61,"Bartlett Springs 2011 CFM, Subsection 12",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
62,"Bartlett Springs 2011 CFM, Subsection 13",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
63,"Bartlett Springs 2011 CFM, Subsection 14",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
64,"Bartlett Springs 2011 CFM, Subsection 15",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
65,"Bartlett Springs 2011 CFM, Subsection 16",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
66,"Bartlett Springs 2011 CFM, Subsection 17",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
67,"Bartlett Springs 2011 CFM, Subsection 18",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
68,"Bartlett Springs 2011 CFM, Subsection 19",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
69,"Bartlett Springs 2011 CFM, Subsection 20",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
70,"Bartlett Springs 2011 CFM, Subsection 21",1.0941279E-5,0.0,0.0,0.0,1.0941279E-5,1.0941279E-5,0.0
71,"Bartlett Springs 2011 CFM, Subsection 22",0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,"Battle Creek 2011 CFM, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,"Battle Creek 2011 CFM, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,"Battle Creek 2011 CFM, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,"Battle Creek 2011 CFM, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,"Battle Creek 2011 CFM, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"Battle Creek 2011 CFM, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,"Battle Creek 2011 CFM, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,"Bear River fault zone, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,"Bear River fault zone, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,"Bear River fault zone, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,"Bear River fault zone, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,"Bear River fault zone, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,"Bear River fault zone, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,"Bear River fault zone, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,"Bear River fault zone, Subsection 7",0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,"Bear River fault zone, Subsection 8",0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,"Bear River fault zone, Subsection 9",0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,"Bear River fault zone, Subsection 10",0.0,0.0,0.0,0.0,0.0,0.0,0.0
