Duration (years),Mean,Median,Mode,Std. Dev.,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
1.0,7.8344674,6.0,5.0,11.216066,1.0,3.0,11.0,25.0
4.0,7.8344674,6.5,5.5,6.3906546,3.0,4.5,10.0,21.0
8.0,7.838132,6.75,5.75,4.792994,3.875,5.0,9.875,19.0
12.0,7.832969,6.9166665,5.8333335,3.9986796,4.25,5.3333335,9.75,17.583334
16.0,7.838132,7.0,6.0625,3.5832367,4.5,5.5,9.6875,16.375
20.0,7.8344674,7.05,6.1,3.2260494,4.65,5.65,9.7,15.55
24.0,7.8329306,7.125,6.75,2.898468,4.8333335,5.7916665,9.708333,14.958333
28.0,7.83204,7.214286,6.107143,2.7189574,4.928571,5.857143,9.571428,14.571428
32.0,7.8329306,7.21875,6.46875,2.5483232,5.03125,5.9375,9.5625,14.28125
36.0,7.8305283,7.2777777,6.7777777,2.3831844,5.138889,6.0,9.527778,13.805555
40.0,7.8329306,7.275,6.575,2.3206847,5.2,6.05,9.5,13.7
44.0,7.8304334,7.318182,7.0227275,2.2067642,5.2727275,6.1136365,9.431818,13.431818
48.0,7.8329306,7.375,6.9166665,2.1487613,5.3333335,6.1458335,9.354167,13.291667
52.0,7.8305283,7.3846154,7.4615383,2.026748,5.4038463,6.2115383,9.346154,12.788462
56.0,7.831232,7.392857,7.035714,1.9502727,5.464286,6.25,9.321428,12.714286
60.0,7.8329306,7.4333334,6.8,1.9203321,5.45,6.266667,9.3,12.583333
64.0,7.831232,7.453125,6.75,1.8125063,5.5625,6.328125,9.171875,12.3125
68.0,7.83204,7.4558825,6.9852943,1.7982144,5.5735292,6.367647,9.161765,12.176471
72.0,7.828142,7.486111,6.611111,1.7485197,5.5833335,6.375,9.138889,12.236111
76.0,7.8334527,7.486842,7.25,1.6860554,5.631579,6.4210525,9.157895,12.013158
80.0,7.8329306,7.5125,7.3625,1.6299129,5.675,6.45,9.0875,11.9
84.0,7.8383713,7.5119047,7.0119047,1.5934222,5.7261906,6.464286,9.119047,11.809524
88.0,7.8261385,7.5227275,7.215909,1.5667028,5.693182,6.4772725,9.090909,11.625
92.0,7.8306375,7.5326085,7.152174,1.5404767,5.75,6.5434785,9.086957,11.73913
96.0,7.8329306,7.5416665,6.9895835,1.5334576,5.8229165,6.53125,9.0625,11.59375
100.0,7.8344674,7.54,7.08,1.529209,5.82,6.55,9.05,11.5
200.0,7.8554964,7.695,7.27,1.0609373,6.28,6.86,8.79,10.26
300.0,7.871652,7.76,7.2166667,0.8868739,6.536667,7.016667,8.636666,10.163333
400.0,7.8554964,7.8,7.8775,0.7457882,6.65,7.1325,8.495,9.705
500.0,7.8344674,7.764,7.962,0.6786385,6.736,7.218,8.438,9.396
