Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,Fault System Solution,500 yr Probability,500 yr Supra-Seis Prob
5.0,7.831644,6.742,9.408,7.746,7.984,8.608642,1.0,1.0
5.1,6.19356,5.334,7.478,6.126,5.674,6.830068,1.0,1.0
5.2,4.895824,4.198,5.91,4.846,4.542,5.4173,1.0,1.0
5.3,3.863976,3.31,4.634,3.832,3.668,4.2950974,1.0,1.0
5.4,3.039876,2.606,3.636,3.01,2.966,3.4037008,1.0,1.0
5.5,2.387428,2.038,2.874,2.364,2.266,2.6956394,1.0,1.0
5.6,1.869562,1.606,2.244,1.852,1.782,2.1332066,1.0,1.0
5.7,1.45582,1.244,1.742,1.446,1.452,1.6863642,1.0,1.0
5.8,1.12737,0.958,1.338,1.12,1.084,1.3311276,1.0,1.0
5.9,0.856946,0.732,1.008,0.852,0.814,1.0356472,1.0,1.0
6.0,0.676366,0.58,0.786,0.674,0.662,0.83624506,1.0,1.0
6.1,0.520142,0.444,0.61,0.518,0.5,0.66032434,1.0,1.0
6.2,0.409652,0.344,0.48,0.408,0.408,0.5290011,1.0,1.0
6.3,0.322248,0.268,0.376,0.322,0.322,0.42016467,1.0,1.0
6.4,0.252144,0.208,0.3,0.252,0.248,0.33243415,1.0,1.0
6.5,0.19454,0.158,0.236,0.194,0.194,0.2601263,1.0,1.0
6.6,0.151626,0.118,0.184,0.152,0.154,0.20548344,1.0,1.0
6.7,0.117348,0.092,0.146,0.118,0.118,0.16021843,1.0,1.0
6.8,0.092662,0.07,0.118,0.092,0.09,0.12689023,1.0,1.0
6.9,0.072398,0.052,0.094,0.072,0.076,0.09975841,1.0,1.0
7.0,0.05686,0.04,0.074,0.056,0.058,0.077940285,1.0,1.0
7.1,0.043412,0.03,0.058,0.044,0.044,0.05961322,1.0,1.0
7.2,0.03303,0.022,0.044,0.032,0.03,0.045241926,1.0,1.0
7.3,0.026196,0.016,0.038,0.026,0.026,0.035294022,1.0,1.0
7.4,0.020302,0.012,0.03,0.02,0.02,0.026938815,1.0,1.0
7.5,0.01472,0.008,0.022,0.014,0.014,0.019023713,1.0,1.0
7.6,0.01112,0.006,0.018,0.01,0.01,0.013821237,1.0,1.0
7.7,0.007874,0.004,0.014,0.008,0.008,0.009578903,0.999,0.999
7.8,0.005482,0.002,0.01,0.006,0.006,0.006191872,0.994,0.994
7.9,0.003038,0.0,0.006,0.002,0.002,0.0035149523,0.894,0.894
8.0,0.001688,0.0,0.004,0.002,0.002,0.0020316083,0.644,0.644
8.1,8.3E-4,0.0,0.004,0.0,0.0,0.0010248122,0.363,0.363
8.2,3.86E-4,0.0,0.002,0.0,0.0,4.4834707E-4,0.186,0.186
8.3,6.4E-5,0.0,0.002,0.0,0.0,1.0199686E-4,0.032,0.032
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
