Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,Fault System Solution,100 yr Probability,100 yr Supra-Seis Prob
5.0,7.91045,6.72,9.34,7.86,7.46,8.608642,1.0,1.0
5.1,6.26034,5.24,7.42,6.24,6.26,6.830068,1.0,1.0
5.2,4.95729,4.15,5.87,4.94,5.28,5.4173,1.0,1.0
5.3,3.91175,3.24,4.69,3.89,3.96,4.2950974,1.0,1.0
5.4,3.08932,2.54,3.7,3.08,2.92,3.4037008,1.0,1.0
5.5,2.42915,1.96,2.98,2.42,2.51,2.6956394,1.0,1.0
5.6,1.90908,1.5,2.38,1.9,1.97,2.1332066,1.0,1.0
5.7,1.49579,1.16,1.87,1.49,1.44,1.6863642,1.0,1.0
5.8,1.1667,0.9,1.48,1.16,1.08,1.3311276,1.0,1.0
5.9,0.8967,0.67,1.15,0.89,0.88,1.0356472,1.0,1.0
6.0,0.71347,0.51,0.92,0.71,0.63,0.83624506,1.0,1.0
6.1,0.54949,0.38,0.74,0.55,0.51,0.66032434,1.0,1.0
6.2,0.43189,0.29,0.59,0.43,0.45,0.5290011,1.0,1.0
6.3,0.3361,0.22,0.47,0.34,0.34,0.42016467,1.0,1.0
6.4,0.25726,0.16,0.37,0.26,0.28,0.33243415,1.0,1.0
6.5,0.19608,0.11,0.29,0.19,0.21,0.2601263,1.0,1.0
6.6,0.15048,0.08,0.23,0.15,0.16,0.20548344,1.0,1.0
6.7,0.1118,0.05,0.18,0.11,0.12,0.16021843,1.0,1.0
6.8,0.08468,0.03,0.15,0.08,0.08,0.12689023,1.0,1.0
6.9,0.06389,0.02,0.12,0.06,0.05,0.09975841,0.999,0.995
7.0,0.04772,0.01,0.1,0.05,0.04,0.077940285,0.991,0.982
7.1,0.0347,0.0,0.07,0.03,0.03,0.05961322,0.972,0.948
7.2,0.02419,0.0,0.06,0.02,0.02,0.045241926,0.918,0.88
7.3,0.01756,0.0,0.05,0.02,0.01,0.035294022,0.837,0.817
7.4,0.01165,0.0,0.04,0.01,0.01,0.026938815,0.708,0.692
7.5,0.00726,0.0,0.03,0.01,0.0,0.019023713,0.535,0.528
7.6,0.00449,0.0,0.02,0.0,0.0,0.013821237,0.386,0.381
7.7,0.00224,0.0,0.01,0.0,0.0,0.009578903,0.208,0.206
7.8,0.00118,0.0,0.01,0.0,0.0,0.006191872,0.114,0.112
7.9,5.6E-4,0.0,0.01,0.0,0.0,0.0035149523,0.056,0.056
8.0,2.4E-4,0.0,0.0,0.0,0.0,0.0020316083,0.024,0.024
8.1,3.0E-5,0.0,0.0,0.0,0.0,0.0010248122,0.003,0.003
8.2,1.0E-5,0.0,0.0,0.0,0.0,4.4834707E-4,0.001,0.001
8.3,0.0,0.0,0.0,0.0,0.0,1.0199686E-4,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
