Subsection Index,Subsection Name,Total Mean Annual Rate,Total 1000 Year Prob,Long-Term Fault System Solution Rate
0,"Airport Lake, Subsection 0",1.43E-4,0.139,2.9338957E-4
1,"Airport Lake, Subsection 1",1.54E-4,0.148,3.1973762E-4
2,"Airport Lake, Subsection 2",1.59E-4,0.155,3.1357096E-4
3,"Airport Lake, Subsection 3",1.66E-4,0.164,3.214753E-4
4,"Airport Lake, Subsection 4",2.29E-4,0.219,4.3677073E-4
5,"Airport Lake, Subsection 5",2.07E-4,0.2,4.0593147E-4
6,"Almanor 2011 CFM, Subsection 0",0.001497,0.783,0.0018917301
7,"Almanor 2011 CFM, Subsection 1",0.001554,0.787,0.0019707337
8,"Almanor 2011 CFM, Subsection 2",0.001371,0.762,0.001749289
9,"Almanor 2011 CFM, Subsection 3",0.001277,0.74,0.0016255941
10,"Almanor 2011 CFM, Subsection 4",0.001288,0.747,0.0017234321
11,"Almanor 2011 CFM, Subsection 5",0.001426,0.789,0.0019981645
12,"Almanor 2011 CFM, Subsection 6",0.001323,0.767,0.0018625765
13,"Anacapa-Dume alt 1, Subsection 0",1.28E-4,0.128,1.9454768E-4
14,"Anacapa-Dume alt 1, Subsection 1",1.44E-4,0.144,2.2410021E-4
15,"Anacapa-Dume alt 1, Subsection 2",1.36E-4,0.135,2.0702143E-4
16,"Anacapa-Dume alt 1, Subsection 3",1.27E-4,0.126,1.9576242E-4
17,"Anacapa-Dume alt 1, Subsection 4",7.9E-5,0.079,1.2726267E-4
18,"Anaheim, Subsection 0",1.0E-4,0.098,1.3215712E-4
19,"Anaheim, Subsection 1",1.12E-4,0.109,1.5264863E-4
20,"Anaheim, Subsection 2",6.2E-5,0.061,8.915614E-5
21,"Antelope Valley 2011, Subsection 0",6.08E-4,0.512,9.916205E-4
22,"Antelope Valley 2011, Subsection 1",6.4E-4,0.531,0.0010624981
23,"Antelope Valley 2011, Subsection 2",4.73E-4,0.42,8.6585E-4
24,"Antelope Valley 2011, Subsection 3",4.65E-4,0.408,8.644737E-4
25,"Antelope Valley 2011, Subsection 4",5.55E-4,0.467,0.0010675386
26,"Antelope Valley 2011, Subsection 5",5.17E-4,0.444,9.939806E-4
27,"Ash Hill, Subsection 0",4.99E-4,0.455,5.2065734E-4
28,"Ash Hill, Subsection 1",5.4E-4,0.481,5.571091E-4
29,"Ash Hill, Subsection 2",3.73E-4,0.339,4.1858046E-4
30,"Ash Hill, Subsection 3",3.66E-4,0.333,4.119298E-4
31,"Ash Hill, Subsection 4",3.68E-4,0.344,4.1227322E-4
32,"Ash Hill, Subsection 5",3.99E-4,0.368,4.1686627E-4
33,"Ash Hill, Subsection 6",5.59E-4,0.474,5.542713E-4
34,"Ash Hill, Subsection 7",5.34E-4,0.46,5.2061724E-4
35,"Baker, Subsection 0",1.42E-4,0.137,1.7858914E-4
36,"Baker, Subsection 1",1.5E-4,0.145,1.9097161E-4
37,"Baker, Subsection 2",1.06E-4,0.105,1.2772193E-4
38,"Baker, Subsection 3",1.03E-4,0.102,1.2039913E-4
39,"Baker, Subsection 4",8.0E-5,0.08,1.0585449E-4
40,"Baker, Subsection 5",7.1E-5,0.07,1.00464655E-4
41,"Baker, Subsection 6",7.0E-5,0.069,9.622747E-5
42,"Baker, Subsection 7",6.3E-5,0.063,8.930945E-5
43,"Baker, Subsection 8",5.0E-5,0.05,7.174311E-5
44,"Baker, Subsection 9",4.8E-5,0.048,6.308318E-5
45,"Baker, Subsection 10",4.5E-5,0.045,5.775542E-5
46,"Baker, Subsection 11",4.7E-5,0.047,5.9393864E-5
47,"Baker, Subsection 12",6.4E-5,0.064,7.286544E-5
48,"Baker, Subsection 13",6.2E-5,0.062,7.092177E-5
49,"Bartlett Springs 2011 CFM, Subsection 0",0.001071,0.725,0.0014457427
50,"Bartlett Springs 2011 CFM, Subsection 1",0.001081,0.727,0.0014694276
51,"Bartlett Springs 2011 CFM, Subsection 2",0.001,0.692,0.001392971
52,"Bartlett Springs 2011 CFM, Subsection 3",9.56E-4,0.672,0.001365971
53,"Bartlett Springs 2011 CFM, Subsection 4",9.3E-4,0.662,0.0013625647
54,"Bartlett Springs 2011 CFM, Subsection 5",9.08E-4,0.651,0.0013706383
55,"Bartlett Springs 2011 CFM, Subsection 6",8.9E-4,0.644,0.0013594324
56,"Bartlett Springs 2011 CFM, Subsection 7",9.4E-4,0.665,0.0014456407
57,"Bartlett Springs 2011 CFM, Subsection 8",9.23E-4,0.655,0.0014310674
58,"Bartlett Springs 2011 CFM, Subsection 9",9.02E-4,0.645,0.001390834
59,"Bartlett Springs 2011 CFM, Subsection 10",7.29E-4,0.56,0.0010804604
60,"Bartlett Springs 2011 CFM, Subsection 11",7.36E-4,0.568,0.0010944785
61,"Bartlett Springs 2011 CFM, Subsection 12",0.001076,0.725,0.001483013
62,"Bartlett Springs 2011 CFM, Subsection 13",0.001124,0.741,0.001534972
