Subsection Index,Subsection Name,Total Mean Annual Rate,Total 1000 Year Prob
0,"Airport Lake, Subsection 0",1.24E-4,0.121
1,"Airport Lake, Subsection 1",1.33E-4,0.128
2,"Airport Lake, Subsection 2",1.41E-4,0.137
3,"Airport Lake, Subsection 3",1.47E-4,0.146
4,"Airport Lake, Subsection 4",1.21E-4,0.12
5,"Airport Lake, Subsection 5",1.02E-4,0.102
6,"Almanor 2011 CFM, Subsection 0",6.11E-4,0.492
7,"Almanor 2011 CFM, Subsection 1",6.62E-4,0.519
8,"Almanor 2011 CFM, Subsection 2",6.69E-4,0.522
9,"Almanor 2011 CFM, Subsection 3",6.72E-4,0.523
10,"Almanor 2011 CFM, Subsection 4",6.72E-4,0.523
11,"Almanor 2011 CFM, Subsection 5",6.72E-4,0.523
12,"Almanor 2011 CFM, Subsection 6",5.8E-4,0.473
13,"Anacapa-Dume alt 1, Subsection 0",1.28E-4,0.128
14,"Anacapa-Dume alt 1, Subsection 1",1.44E-4,0.144
15,"Anacapa-Dume alt 1, Subsection 2",1.36E-4,0.135
16,"Anacapa-Dume alt 1, Subsection 3",1.27E-4,0.126
17,"Anacapa-Dume alt 1, Subsection 4",7.9E-5,0.079
18,"Anaheim, Subsection 0",3.2E-5,0.031
19,"Anaheim, Subsection 1",4.2E-5,0.041
20,"Anaheim, Subsection 2",4.2E-5,0.041
21,"Antelope Valley 2011, Subsection 0",3.65E-4,0.339
22,"Antelope Valley 2011, Subsection 1",3.97E-4,0.364
23,"Antelope Valley 2011, Subsection 2",4.5E-4,0.404
24,"Antelope Valley 2011, Subsection 3",4.41E-4,0.391
25,"Antelope Valley 2011, Subsection 4",3.89E-4,0.353
26,"Antelope Valley 2011, Subsection 5",3.52E-4,0.323
27,"Ash Hill, Subsection 0",1.72E-4,0.171
28,"Ash Hill, Subsection 1",2.11E-4,0.209
29,"Ash Hill, Subsection 2",2.51E-4,0.244
30,"Ash Hill, Subsection 3",2.92E-4,0.28
31,"Ash Hill, Subsection 4",3.08E-4,0.294
