Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,1583.6918,1291.0,2857.0,1458.0,1410.0,1.0,0.11602523,1117.435
2.6,1258.0222,1019.0,2268.0,1158.0,1110.0,1.0,0.11602523,887.6915
2.7,999.10815,804.0,1807.0,920.0,909.0,1.0,0.11602523,705.0211
2.8,793.4667,635.0,1431.0,731.0,697.0,1.0,0.11602523,560.0212
2.9,630.141,500.0,1135.0,581.0,563.0,1.0,0.11602523,444.82535
3.0,500.6137,393.0,901.0,462.0,445.0,1.0,0.11602523,353.41058
3.1,397.55624,309.0,713.0,368.0,351.0,1.0,0.11602523,280.69254
3.2,315.80927,242.0,565.0,293.0,284.0,1.0,0.11602523,222.95378
3.3,250.8844,190.0,451.0,233.0,223.0,1.0,0.11602523,177.13899
3.4,199.17201,148.0,356.0,185.0,181.0,1.0,0.11602523,140.6432
3.5,158.19144,115.0,283.0,147.0,136.0,1.0,0.11602523,111.666245
3.6,125.662766,89.0,226.0,117.0,118.0,1.0,0.11602523,88.74364
3.7,99.78581,69.0,181.0,93.0,89.0,1.0,0.11602523,70.440216
3.8,79.14268,53.0,143.0,74.0,69.0,1.0,0.11602523,55.87802
3.9,62.841873,40.0,116.0,59.0,54.0,1.0,0.11602523,44.36771
4.0,49.892765,31.0,92.0,47.0,45.0,1.0,0.11602523,35.21823
4.1,39.592033,23.0,74.0,37.0,35.0,1.0,0.11602523,27.945637
4.2,31.42916,18.0,59.0,29.0,28.0,1.0,0.11602523,22.19718
4.3,24.933092,13.0,47.0,23.0,21.0,1.0,0.11602523,17.580269
4.4,19.774542,10.0,39.0,18.0,17.0,1.0,0.11602523,13.948544
4.5,15.6728325,7.0,31.0,15.0,13.0,1.0,0.11602523,11.059678
4.6,12.40584,5.0,25.0,11.0,11.0,1.0,0.11602523,8.752357
4.7,9.835778,3.0,21.0,9.0,8.0,0.9996456,0.11602523,6.9302573
4.8,7.7714224,2.0,17.0,7.0,6.0,0.9983698,0.11602523,5.4695582
4.9,6.143242,1.0,14.0,6.0,5.0,0.99475515,0.11602523,4.3205047
5.0,4.8619323,1.0,12.0,4.0,4.0,0.9824226,0.11602523,3.416897
5.1,3.8409526,0.0,10.0,3.0,3.0,0.9599546,0.11602523,2.7026012
5.2,3.0270748,0.0,8.0,3.0,2.0,0.9231696,0.11602523,2.1314764
5.3,2.3808916,0.0,7.0,2.0,2.0,0.87284714,0.11602523,1.6793536
5.4,1.8580339,0.0,6.0,2.0,1.0,0.8049472,0.11602523,1.3100858
5.5,1.4546034,0.0,5.0,1.0,1.0,0.722801,0.11602523,1.0238146
5.6,1.1216954,0.0,4.0,1.0,0.0,0.63328373,0.11602523,0.79013395
5.7,0.8622156,0.0,3.0,1.0,0.0,0.5400808,0.11602523,0.6058544
5.8,0.66064215,0.0,3.0,0.0,0.0,0.45020908,0.11602523,0.462329
5.9,0.49727124,0.0,2.0,0.0,0.0,0.36437735,0.11602523,0.34991848
6.0,0.37933233,0.0,2.0,0.0,0.0,0.29179958,0.115954354,0.2660713
6.1,0.27627754,0.0,2.0,0.0,0.0,0.22269474,0.10177901,0.1941314
6.2,0.18222411,0.0,1.0,0.0,0.0,0.15486568,0.07902757,0.12885392
6.3,0.13976894,0.0,1.0,0.0,0.0,0.12254589,0.067687295,0.09951095
6.4,0.10425969,0.0,1.0,0.0,0.0,0.093061164,0.057551917,0.07399532
6.5,0.081295624,0.0,1.0,0.0,0.0,0.073640935,0.05117301,0.05748104
6.6,0.067191154,0.0,1.0,0.0,0.0,0.062017154,0.04748742,0.04918846
6.7,0.05400808,0.0,1.0,0.0,0.0,0.050393365,0.040825006,0.039903607
6.8,0.044510596,0.0,1.0,0.0,0.0,0.042171665,0.036218017,0.033453822
6.9,0.034587853,0.0,1.0,0.0,0.0,0.033666454,0.02983911,0.026862286
7.0,0.027854562,0.0,1.0,0.0,0.0,0.027216671,0.02480686,0.021546531
7.1,0.02353108,0.0,0.0,0.0,0.0,0.023034941,0.021333901,0.0182862
7.2,0.018144447,0.0,0.0,0.0,0.0,0.018002693,0.017223049,0.014387979
7.3,0.01197817,0.0,0.0,0.0,0.0,0.011907293,0.011623786,0.009568361
7.4,0.010844142,0.0,0.0,0.0,0.0,0.010773266,0.010631512,0.008646963
7.5,0.009213977,0.0,0.0,0.0,0.0,0.0091431,0.009072224,0.007512935
7.6,0.0048196185,0.0,0.0,0.0,0.0,0.0048196185,0.004748742,0.0038273442
7.7,0.0014884117,0.0,0.0,0.0,0.0,0.0014884117,0.0014884117,0.0012757814
7.8,9.213977E-4,0.0,0.0,0.0,0.0,9.213977E-4,9.213977E-4,7.0876745E-4
7.9,2.83507E-4,0.0,0.0,0.0,0.0,2.83507E-4,2.83507E-4,2.83507E-4
