Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km),Min Hypo Dist To Largest (km),Min Hypo Poly Dist To Largest (km)
Airport Lake,"359, 50, -90",92,7.1,92,7.1,0.236,0.000,0.236,0.000,5.612,0.000
Little Lake,"327, 90, 180",16,3.85,17,7.1,2.321,0.000,8.698,0.000,13.471,1.469
Garlock (Central),"71, 90, 0",2,3.21,3,7.1,7.203,0.000,7.203,0.000,22.766,10.797
So Sierra Nevada,"2, 50, -90",1,2.75,2,7.1,1.352,0.000,1.352,0.000,16.191,15.188
Tank Canyon,"189, 50, -90",0,,0,,10.689,9.581,10.689,9.581,17.039,16.895
Kern Canyon (North Kern) 2011,"360, 60, -90",0,,0,,13.810,12.271,13.810,12.271,81.168,80.888
Blackwater,"323, 90, 180",0,,0,,14.854,11.110,14.854,11.110,29.622,27.613
Owens Valley,"344, 90, 180",0,,0,,16.146,4.568,16.146,4.568,68.299,66.819
Scodie Lineament,"221, 68, 0",0,,0,,16.722,15.781,27.181,26.035,36.559,32.668
Sierra Nevada  (No Extension),"344, 50, -90",0,,0,,18.049,2.308,18.049,2.308,58.680,58.391
Kern Canyon (South Kern) 2011,"357, 60, -90",0,,0,,18.162,16.777,18.162,16.777,64.327,63.973
Panamint Valley,"334, 90, -150",0,,0,,29.109,17.187,31.043,19.069,34.350,22.425
White Wolf (Extension),"46, 75, 60",0,,0,,30.051,29.618,40.591,40.381,45.679,43.721
Ash Hill,"162, 90, 180",0,,0,,31.244,20.916,35.715,24.656,35.690,25.242
Independence rev 2011,"337, 50, -90",0,,0,,31.588,24.015,31.588,24.015,92.154,92.123
Lake Isabella (Seismicity),"9, 90, 0",0,,0,,32.140,23.908,32.140,23.908,65.700,53.653
Gravel Hills-Harper Lk,"311, 90, 180",0,,0,,36.607,27.454,36.607,27.454,50.134,42.769
McLean Lake,"91, 90, 0",0,,0,,40.493,40.103,40.493,40.103,54.042,51.306
Lenwood-Lockhart-Old Woman Springs,"301, 90, 180",0,,0,,41.188,30.428,52.814,40.990,59.786,48.595
Goldstone Lake,"325, 90, 180",0,,0,,42.784,36.815,42.784,36.815,56.861,52.490
Kern Canyon (Lake Isabella) 2011,"17, 60, -90",0,,0,,43.209,41.308,52.631,52.028,66.376,66.044
Garlock (East),"91, 90, 0",0,,0,,46.913,46.794,46.913,46.794,57.701,56.627
Owl Lake,"58, 90, 0",0,,0,,47.102,42.461,47.102,42.461,57.675,50.152
Nelson Lake,"89, 90, 0",0,,0,,47.353,45.831,47.353,45.831,61.695,58.028
Garlock (West),"56, 90, 0",0,,0,,47.768,46.428,63.776,61.781,66.575,62.627
Paradise,"347, 90, 180",0,,0,,48.194,39.481,48.194,39.481,63.073,55.355
Helendale-So Lockhart,"322, 90, 180",0,,0,,50.353,44.098,55.624,45.923,66.879,58.781
Hunter Mountain-Saline Valley,"317, 90, -150",0,,0,,52.745,40.405,52.745,40.405,77.497,67.795
Towne Pass,"195, 50, -90",0,,0,,53.630,52.693,53.630,52.693,59.662,59.451
Coyote Canyon,"96, 90, 0",0,,0,,60.472,55.433,60.472,55.433,75.557,69.236
Death Valley (Black Mtns Frontal),"167, 60, -150",0,,0,,63.598,63.362,66.067,65.123,68.782,68.724
Tin Mountain,"193, 50, -90",0,,0,,67.990,67.627,67.990,67.627,105.075,104.736
Dry Mountain,"211, 50, -90",0,,0,,68.956,68.304,68.956,68.304,115.972,114.744
Breckenridge 2011,"7, 60, -90",0,,0,,69.737,68.575,80.244,80.168,84.833,84.574
Death Valley (So),"315, 90, 180",0,,0,,70.853,59.809,72.372,60.633,76.238,65.398
Coyote Lake,"69, 90, 0",0,,0,,72.552,61.429,72.552,61.429,89.071,77.908
Garlic Springs,"128, 90, 180",0,,0,,73.627,72.553,73.627,72.553,88.845,88.468
Bicycle Lake,"103, 90, 0",0,,0,,74.429,73.276,74.429,73.276,89.373,87.038
White Wolf,"51, 75, 60",0,,0,,75.716,74.922,86.793,86.595,89.285,88.663
Calico-Hidalgo,"306, 90, 180",0,,0,,77.689,77.491,77.689,77.491,94.213,93.988
Death Valley (No),"319, 90, 180",0,,0,,102.833,90.930,102.833,90.930,107.220,95.600
