Parent ID,Parent Name,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
861,Airport Lake,0.02087,0.00738,0.01048,0.01282,0.01673,0.02083,0.01284
667,Almanor 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Anacapa-Dume alt 1,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
197,Anaheim,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,Antelope Valley 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
845,Ash Hill,0.01283,0.00165,0.00314,0.00471,0.00787,0.01184,0.00124
881,Baker,2.7E-4,5.0E-5,7.0E-5,9.0E-5,1.9E-4,2.7E-4,0.0
668,Bartlett Springs 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,Battle Creek 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842,Bear River fault zone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581,Bennett Valley 2011 CFM,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
158,Bicycle Lake,0.0033,2.4E-4,4.5E-4,7.6E-4,0.00178,0.00313,2.6E-4
741,Big Lagoon - Bald Mtn 2011 CFM,4.0E-5,0.0,1.0E-5,2.0E-5,4.0E-5,4.0E-5,2.0E-5
192,Big Pine (Central),1.4E-4,6.0E-5,7.0E-5,8.0E-5,1.0E-4,1.4E-4,2.0E-5
191,Big Pine (East),1.7E-4,4.0E-5,7.0E-5,7.0E-5,1.5E-4,1.7E-4,0.0
200,Big Pine (West),0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Blackwater,0.12018,0.04006,0.05621,0.06931,0.0911,0.11191,0.06435
169,Blue Cut,1.0E-4,0.0,0.0,1.0E-5,7.0E-5,1.0E-4,2.0E-5
170,Brawley (Seismic Zone) alt 1,2.4E-4,6.0E-5,8.0E-5,1.1E-4,1.8E-4,2.4E-4,3.0E-5
541,Breckenridge 2011,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
882,Bullion Mountains,9.0E-5,0.0,0.0,2.0E-5,6.0E-5,9.0E-5,1.0E-5
94,Burnt Mtn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,Butano 2011 CFM,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
165,Cady,4.2E-4,7.0E-5,9.0E-5,1.4E-4,2.2E-4,4.1E-4,8.0E-5
