Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,500 yr Probability,500 yr Supra-Seis Prob
5.0,7.764114,6.714,9.288,7.65,7.91,1.0,1.0
5.1,6.1377807,5.278,7.334,6.068,6.26,1.0,1.0
5.2,4.851342,4.18,5.832,4.802,5.184,1.0,1.0
5.3,3.827377,3.284,4.6,3.806,4.22,1.0,1.0
5.4,3.0160878,2.598,3.604,3.0,2.934,1.0,1.0
5.5,2.3717368,2.036,2.814,2.35,2.144,1.0,1.0
5.6,1.8572456,1.598,2.216,1.836,1.836,1.0,1.0
5.7,1.4477369,1.24,1.726,1.428,1.332,1.0,1.0
5.8,1.120614,0.96,1.31,1.11,1.192,1.0,1.0
5.9,0.85460526,0.742,1.004,0.846,0.836,1.0,1.0
6.0,0.6770351,0.578,0.786,0.674,0.676,1.0,1.0
6.1,0.5205263,0.446,0.628,0.516,0.514,1.0,1.0
6.2,0.41028947,0.352,0.48,0.406,0.404,1.0,1.0
6.3,0.3231579,0.276,0.388,0.322,0.332,1.0,1.0
6.4,0.25369298,0.212,0.304,0.252,0.246,1.0,1.0
6.5,0.19736843,0.162,0.24,0.198,0.19,1.0,1.0
6.6,0.15433334,0.122,0.188,0.154,0.148,1.0,1.0
6.7,0.118482456,0.094,0.144,0.118,0.116,1.0,1.0
6.8,0.09345614,0.072,0.12,0.092,0.098,1.0,1.0
6.9,0.07282456,0.05,0.094,0.072,0.072,1.0,1.0
7.0,0.05685965,0.038,0.074,0.056,0.054,1.0,1.0
7.1,0.04318421,0.028,0.06,0.044,0.04,1.0,1.0
7.2,0.032394737,0.02,0.046,0.032,0.03,1.0,1.0
7.3,0.025631579,0.016,0.036,0.026,0.028,1.0,1.0
7.4,0.020026315,0.01,0.03,0.02,0.02,1.0,1.0
7.5,0.014508772,0.008,0.022,0.014,0.014,1.0,1.0
7.6,0.0108508775,0.006,0.018,0.01,0.012,1.0,1.0
7.7,0.0077894735,0.004,0.012,0.008,0.008,1.0,1.0
7.8,0.0053157895,0.002,0.01,0.006,0.006,0.99561405,0.99561405
7.9,0.0029649122,0.0,0.006,0.002,0.004,0.8596491,0.8596491
8.0,0.0017807018,0.0,0.004,0.002,0.002,0.6447368,0.6447368
8.1,8.1578945E-4,0.0,0.004,0.0,0.0,0.36842105,0.36842105
8.2,4.122807E-4,0.0,0.002,0.0,0.0,0.18859649,0.18859649
8.3,1.05263156E-4,0.0,0.002,0.0,0.0,0.048245613,0.048245613
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
