Subsection Index,Subsection Name,Total Mean Annual Rate,Total 500 Year Prob
0,"Airport Lake, Subsection 0",1.228669E-4,0.061433446
1,"Airport Lake, Subsection 1",1.5017064E-4,0.07508533
2,"Airport Lake, Subsection 2",1.3651878E-4,0.06825939
3,"Airport Lake, Subsection 3",1.5699658E-4,0.0784983
4,"Airport Lake, Subsection 4",1.228669E-4,0.061433446
5,"Airport Lake, Subsection 5",1.0921502E-4,0.054607507
6,"Almanor 2011 CFM, Subsection 0",4.7098976E-4,0.22525597
7,"Almanor 2011 CFM, Subsection 1",5.1877135E-4,0.24914676
8,"Almanor 2011 CFM, Subsection 2",5.1877135E-4,0.24914676
9,"Almanor 2011 CFM, Subsection 3",5.1877135E-4,0.24914676
10,"Almanor 2011 CFM, Subsection 4",5.2559725E-4,0.25255972
11,"Almanor 2011 CFM, Subsection 5",5.2559725E-4,0.25255972
12,"Almanor 2011 CFM, Subsection 6",4.982935E-4,0.23890784
13,"Anacapa-Dume alt 1, Subsection 0",1.228669E-4,0.061433446
14,"Anacapa-Dume alt 1, Subsection 1",1.3651878E-4,0.06825939
15,"Anacapa-Dume alt 1, Subsection 2",1.1604096E-4,0.058020476
16,"Anacapa-Dume alt 1, Subsection 3",1.1604096E-4,0.058020476
17,"Anacapa-Dume alt 1, Subsection 4",7.508532E-5,0.037542664
18,"Anaheim, Subsection 0",1.3651877E-5,0.0068259384
19,"Anaheim, Subsection 1",2.0477815E-5,0.010238908
20,"Anaheim, Subsection 2",2.0477815E-5,0.010238908
21,"Antelope Valley 2011, Subsection 0",3.549488E-4,0.1672355
22,"Antelope Valley 2011, Subsection 1",3.754266E-4,0.17747441
23,"Antelope Valley 2011, Subsection 2",3.754266E-4,0.17747441
24,"Antelope Valley 2011, Subsection 3",3.4812288E-4,0.16382253
25,"Antelope Valley 2011, Subsection 4",3.003413E-4,0.14334472
26,"Antelope Valley 2011, Subsection 5",2.7303756E-4,0.12969284
27,"Ash Hill, Subsection 0",1.5017064E-4,0.07167236
28,"Ash Hill, Subsection 1",1.774744E-4,0.085324235
29,"Ash Hill, Subsection 2",2.0477816E-4,0.09897611
30,"Ash Hill, Subsection 3",2.116041E-4,0.102389075
31,"Ash Hill, Subsection 4",1.5699658E-4,0.07167236
32,"Ash Hill, Subsection 5",1.433447E-4,0.06825939
33,"Ash Hill, Subsection 6",1.2969284E-4,0.06484642
34,"Ash Hill, Subsection 7",1.2969284E-4,0.06484642
35,"Baker, Subsection 0",4.778157E-5,0.023890786
36,"Baker, Subsection 1",5.460751E-5,0.027303753
