Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,500 yr Probability,500 yr Supra-Seis Prob
5.0,7.8563805,7.196,8.59,7.852,7.57,1.0,1.0
5.1,6.2138343,5.68,6.79,6.2,6.144,1.0,1.0
5.2,4.908839,4.48,5.386,4.892,4.876,1.0,1.0
5.3,3.8748438,3.518,4.27,3.862,3.81,1.0,1.0
5.4,3.052722,2.77,3.372,3.046,3.08,1.0,1.0
5.5,2.3993683,2.164,2.676,2.392,2.356,1.0,1.0
5.6,1.8786366,1.68,2.1,1.872,1.892,1.0,1.0
5.7,1.4667708,1.31,1.638,1.464,1.468,1.0,1.0
5.8,1.1368805,1.006,1.276,1.136,1.144,1.0,1.0
5.9,0.8658,0.768,0.984,0.864,0.872,1.0,1.0
6.0,0.6854098,0.6,0.782,0.682,0.662,1.0,1.0
6.1,0.5289488,0.46,0.606,0.528,0.526,1.0,1.0
6.2,0.41733903,0.358,0.482,0.416,0.416,1.0,1.0
6.3,0.32919756,0.28,0.382,0.328,0.318,1.0,1.0
6.4,0.25805122,0.214,0.3,0.258,0.258,1.0,1.0
6.5,0.19899024,0.162,0.238,0.2,0.208,1.0,1.0
6.6,0.1550561,0.124,0.19,0.154,0.152,1.0,1.0
6.7,0.120129265,0.094,0.148,0.12,0.122,1.0,1.0
6.8,0.09505854,0.072,0.12,0.094,0.088,1.0,1.0
6.9,0.07394146,0.054,0.096,0.074,0.078,1.0,1.0
7.0,0.058029268,0.042,0.076,0.058,0.06,1.0,1.0
7.1,0.04412439,0.03,0.058,0.044,0.042,1.0,1.0
7.2,0.033707317,0.022,0.048,0.034,0.032,1.0,1.0
7.3,0.026697561,0.016,0.038,0.026,0.026,1.0,1.0
7.4,0.02044878,0.012,0.032,0.02,0.02,1.0,1.0
7.5,0.014682927,0.008,0.022,0.014,0.014,1.0,1.0
7.6,0.0110951215,0.006,0.018,0.01,0.012,1.0,1.0
7.7,0.007931707,0.004,0.014,0.008,0.008,1.0,1.0
7.8,0.0054560974,0.002,0.01,0.006,0.006,0.99268293,0.99268293
7.9,0.0029341464,0.0,0.006,0.002,0.002,0.87439024,0.87439024
8.0,0.0016292683,0.0,0.004,0.002,0.002,0.6329268,0.6329268
8.1,7.707317E-4,0.0,0.004,0.0,0.0,0.3512195,0.3512195
8.2,3.0487805E-4,0.0,0.002,0.0,0.0,0.15,0.15
8.3,4.1463416E-5,0.0,0.0,0.0,0.0,0.020731708,0.020731708
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
