Parent ID,Parent Name,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
861,Airport Lake,0.03224,0.01231,0.01687,0.02067,0.02663,0.03223,0.02075
667,Almanor 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Anacapa-Dume alt 1,2.0E-5,0.0,0.0,1.0E-5,1.0E-5,2.0E-5,1.0E-5
197,Anaheim,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,Antelope Valley 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
845,Ash Hill,0.00418,7.0E-4,0.00113,0.00156,0.0027,0.00415,5.5E-4
881,Baker,2.5E-4,4.0E-5,7.0E-5,1.0E-4,1.8E-4,2.5E-4,2.0E-5
668,Bartlett Springs 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,Battle Creek 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842,Bear River fault zone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581,Bennett Valley 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Bicycle Lake,9.8E-4,1.3E-4,2.2E-4,3.1E-4,5.3E-4,9.8E-4,7.0E-5
741,Big Lagoon - Bald Mtn 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Big Pine (Central),3.0E-5,0.0,0.0,0.0,1.0E-5,3.0E-5,0.0
191,Big Pine (East),9.0E-5,2.0E-5,2.0E-5,2.0E-5,5.0E-5,9.0E-5,0.0
200,Big Pine (West),0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Blackwater,0.00313,5.6E-4,9.8E-4,0.00137,0.00205,0.00312,6.0E-4
169,Blue Cut,1.1E-4,1.0E-5,2.0E-5,4.0E-5,6.0E-5,1.0E-4,1.0E-5
170,Brawley (Seismic Zone) alt 1,1.9E-4,3.0E-5,4.0E-5,6.0E-5,1.0E-4,1.9E-4,3.0E-5
541,Breckenridge 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
882,Bullion Mountains,2.0E-5,0.0,1.0E-5,1.0E-5,1.0E-5,2.0E-5,1.0E-5
94,Burnt Mtn,1.0E-5,0.0,1.0E-5,1.0E-5,1.0E-5,1.0E-5,0.0
561,Butano 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Cady,9.0E-5,2.0E-5,3.0E-5,6.0E-5,7.0E-5,9.0E-5,3.0E-5
602,Calaveras (Central) 2011 CFM,2.0E-5,0.0,0.0,0.0,1.0E-5,2.0E-5,0.0
601,Calaveras (No) 2011 CFM,2.0E-5,0.0,0.0,0.0,1.0E-5,2.0E-5,0.0
621,Calaveras (So) - Paicines extension 2011 CFM,4.0E-5,0.0,0.0,0.0,2.0E-5,4.0E-5,0.0
603,Calaveras (So) 2011 CFM,4.0E-5,0.0,0.0,0.0,2.0E-5,4.0E-5,0.0
88,Calico-Hidalgo,2.7E-4,3.0E-5,6.0E-5,1.2E-4,1.5E-4,2.7E-4,4.0E-5
724,Camp Rock 2011,1.2E-4,1.0E-5,2.0E-5,2.0E-5,3.0E-5,1.2E-4,2.0E-5
173,Canada David (Detachment),0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Carlsbad,2.0E-5,0.0,0.0,0.0,2.0E-5,2.0E-5,0.0
721,Carson Range (Genoa),1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,0.0
670,Casmalia 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Cedar Mtn-Mahogany Mtn,2.0E-5,0.0,0.0,1.0E-5,2.0E-5,2.0E-5,0.0
172,Cerro Prieto,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Channel Islands Thrust,1.2E-4,2.0E-5,2.0E-5,3.0E-5,5.0E-5,1.1E-4,3.0E-5
214,Channel Islands Western Deep Ramp,5.0E-5,0.0,0.0,2.0E-5,5.0E-5,5.0E-5,1.0E-5
238,Chino alt 1,3.0E-5,0.0,1.0E-5,2.0E-5,2.0E-5,3.0E-5,1.0E-5
124,Clamshell-Sawpit,2.0E-5,0.0,1.0E-5,1.0E-5,2.0E-5,2.0E-5,1.0E-5
844,Clayton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Cleghorn,9.0E-5,3.0E-5,4.0E-5,4.0E-5,8.0E-5,8.0E-5,4.0E-5
884,Cleghorn Lake,1.5E-4,1.0E-5,2.0E-5,3.0E-5,6.0E-5,1.4E-4,3.0E-5
883,Cleghorn Pass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582,Collayami 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Compton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,Concord 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626,Contra Costa (Lafayette) 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,Contra Costa Shear Zone (connector) 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
776,Coronado Bank alt1,4.0E-5,0.0,1.0E-5,2.0E-5,3.0E-5,4.0E-5,0.0
157,Coyote Canyon,0.00271,2.6E-4,4.9E-4,7.8E-4,0.00145,0.00252,2.0E-4
163,Coyote Lake,8.9E-4,6.0E-5,2.2E-4,3.0E-4,5.3E-4,8.5E-4,9.0E-5
125,Cucamonga,5.0E-5,1.0E-5,2.0E-5,2.0E-5,5.0E-5,5.0E-5,0.0
